index,taskId,language,description,context,topic_id,word_count
54,1169,1oTr9NmVjOc7V9UGrEs4ah,EN,"Translate ""Jane scheint sich auf der Party zu amüsieren."" to English.",,,11
55,1170,6hmk7XLEG7361cQCL6t3Wb,EN,"Translate ""Darf ich dir jetzt etwas zu trinken anbieten?"" to English.",,,11
56,1171,7EkwqUuuM7L71QhYSquY9C,EN,"Translate ""Das wird sich nicht ändern."" to English.",,,8
57,1172,3lriGJFEm9W8W71JHWyfDX,EN,"Translate ""Die Zeiten ändern sich."" to English.",,,7
58,1173,5flo6UARSgZ8n2lBBqtBn1,EN,"Translate ""Tom muss seine Einstellung ändern."" to English.",,,8
59,1175,aKyigEtilsvaz9cxURMjNY,EN,"Translate ""Es war dumm von dir, sein Angebot anzunehmen."" to English.",,,11
60,1176,51vgitPthWZ7rU5CTzq5VV,EN,"Translate ""Ich akzeptiere das Angebot."" to English.",,,7
61,1177,22UHAQsTne57THcsK0NPCi,EN,"Translate ""Ich werde dein Angebot annehmen."" to English.",,,8
62,1178,9MpZ9PyNope91FHJ6hDVrI,EN,"Translate ""Ich werde dein Angebot annehmen."" to English.",,,8
63,1180,5QMm78gBppxaJVq91HE6i5,EN,"Translate ""Du hast die Antwort gefunden."" to English.",,,8
64,1181,aS38m2r9A37aEFQXHdmakv,EN,"Translate ""Hast du eine Antwort von Tom erhalten?"" to English.",,,10
65,1182,1zeg3zMm9df7GMEk4S1mUH,EN,"Translate ""Kennen Sie die Antwort?"" to English.",,,7
66,1183,aCD2v49jXCD7FKmZex0H8I,EN,"Translate ""Deine Antworten waren bis auf eine richtig."" to English.",,,10
67,1184,6QkSj5tcnin7Hqbix7qbxW,EN,"Translate ""Muss ich auf die Frage antworten?"" to English.",,,9
68,1187,2PqNTcM5pSPav1Hou9ZWcW,EN,"Translate ""Ich esse gerade einen Apfel."" to English.",,,8
69,1188,WCz20kHwET8k3MVbqppy6,EN,"Translate ""Ist das ein Apfel?"" to English.",,,7
70,1189,BQF0srBMWT7Gzo7BZ2uzK,EN,"Translate ""Unter dem Schreibtisch liegt ein Apfel."" to English.",,,9
71,1190,63LwneDO7eg8AK3biY87MO,EN,"Translate ""Wie schmeckt der Apfel?"" to English.",,,7
72,1192,7eAdNIMwTdZ8bNDzMdsKNi,EN,"Translate ""Er ist mit seiner Arbeit zufrieden."" to English.",,,9
73,1193,66WZeewVaQUapMbr4L8zqc,EN,"Translate ""Ich bin von der Arbeit sehr müde."" to English.",,,10
74,1194,94XarI5tWg871T4PHzFaq0,EN,"Translate ""Ich habe Arbeit für dich."" to English.",,,8
75,1195,7QYKkjMFgIs6pLnqer8efv,EN,"Translate ""Ich muss die Arbeit bis vier Uhr abgeschlossen haben."" to English.",,,12
76,1196,48PYN7qDGQA88NvuCHTt7f,EN,"Translate ""Ich setze meine Arbeit fort."" to English.",,,8
77,1197,55935gEnVks6d5pwpkPcfP,EN,"Translate ""Tom fährt mit dem Auto zur Arbeit."" to English.",,,10
78,1198,62XXodCNboB9Cyi11h9FbL,EN,"Translate ""Tom hat schon eine Arbeit gefunden."" to English.",,,9
79,1199,g2dXexhLZjaE28QsnLCfW,EN,"Translate ""Unsere Arbeit hört nie auf."" to English.",,,8
80,1200,797sy1iQXSt8BJYZq96yLR,EN,"Translate ""Arbeiten Sie mit Tom zusammen?"" to English.",,,8
81,1201,4dylAImdwEVa6pPjZkhMUo,EN,"Translate ""Ein Mensch muss arbeiten."" to English.",,,7
82,1202,63YBIHhkCW38OC9yqetsjl,EN,"Translate ""Er will nicht in einer Fabrik arbeiten."" to English.",,,10
83,1204,7NnuagJq9QP9YdCJJbnutO,EN,"Translate ""Ich war am Arbeiten."" to English.",,,7
84,1205,azUng1lvtHdaD9eXmHM7uQ,EN,"Translate ""Ich brauche nur einen Arbeiter."" to English.",,,8
85,1206,1GVHJpYzrqt9ya6Zp92WoT,EN,"Translate ""Sie sind wirklich ein fleißiger Arbeiter."" to English.",,,9
86,1207,pwS6KHkC5ya2O14CH4bSX,EN,"Translate ""Das ist der Computer, auf dem er seine Artikel schreibt."" to English.",,,13
87,1208,3EjA3fuWrzb9aKIdPjGK2z,EN,"Translate ""Der Artikel war in französischer Sprache verfasst."" to English.",,,10
88,1209,Gd2rwRvZBJ8xQakCjGMDl,EN,"Translate ""Haben Sie diesen Artikel gelesen?"" to English.",,,8
89,1210,9FKxB1Z1sa689zUnfxMo3B,EN,"Translate ""Habt ihr diesen Artikel gelesen?"" to English.",,,8
90,1211,2VtkZeTFX3L9FLJIwep6bI,EN,"Translate ""Ich kann diesen Artikel nicht ins Arabische übersetzen."" to English.",,,11
91,1212,3whOtWugTQD9PEYssWCra7,EN,"Translate ""Ich beschloss, Arzt zu werden."" to English.",,,8
92,1213,863cPdHAwxM6jrpWi7Kx5h,EN,"Translate ""Wo ist der Arzt?"" to English.",,,7
93,1214,8yDGFEId9zC9J5b6jWEiXY,EN,"Translate ""Diese Aufgabe ist zu viel für ihn."" to English.",,,10
94,1215,79cfNQucdqR9l6Lm4XhKpQ,EN,"Translate ""Ich konnte die Aufgabe leicht lösen."" to English.",,,9
95,1217,2pXzMgU5xZH9y5Mlr1tFS4,EN,"Translate ""Die Zeitung hat eine große Auflage."" to English.",,,9
96,1218,7XOLcCX9H5W8l8aETO1gGX,EN,"Translate ""Es gibt keine Fehler in deinem Aufsatz."" to English.",,,10
97,1219,62HICEhR1sK6bT8gDgzzkI,EN,"Translate ""Der alte Mann ist auf einem Auge blind."" to English.",,,11
98,1221,aJsqPyUd9InaAF4SOj0z0B,EN,"Translate ""Was das Auge nicht sieht, bekümmert das Herz nicht."" to English.",,,12
99,1222,2NJsgQEIjJQ7TULpMozCyd,EN,"Translate ""Welches Auge tut dir weh?"" to English.",,,8
100,1223,2JmiuY3H00s7KurVGUjwwA,EN,"Translate ""Gibt es im Französischen einen ähnlichen Ausdruck?"" to English.",,,10
101,1224,aFtcB6e1XSKamsPzZYTTBO,EN,"Translate ""Was bedeutet dieser Ausdruck in diesem Zusammenhang?"" to English.",,,10
102,1225,2SvLuio6AlL5V2q7XMFOod,EN,"Translate ""Du solltest nicht mehr Geld ausgeben, als du verdienst."" to English.",,,12
103,1226,5G4iA5xgmbT8mZI5gL35GC,EN,"Translate ""Darf ich mir dein Auto ausleihen?"" to English.",,,9
104,1227,1CpKXSaT8uY6kOUILEEAqV,EN,"Translate ""Kann ich mir mal dein Auto ausleihen?"" to English.",,,10
105,1228,1XIEegpxpeo5Kd1rFXvYEO,EN,"Translate ""Wie viele Bücher kann ich gleichzeitig ausleihen?"" to English.",,,10
106,1229,2Euo5WsJi5D5Ud4n9QL89B,EN,"Translate ""Warum ist das Aussehen so wichtig?"" to English.",,,9
107,1230,1xKZgPaBlPsapUmouTzuZq,EN,"Translate ""Wir haben eine große Auswahl an Obst im Supermarkt."" to English.",,,12
108,1231,2fd2bEiRXlC5TpTCPiGvef,EN,"Translate ""Der Autor hat einen schönen Stil."" to English.",,,9
109,1232,9pNfo56cP8n8P5yxcKdePs,EN,"Translate ""Das Baby hörte auf zu schreien."" to English.",,,9
110,1233,3VuuoeU3MVV7zGdDRIs2Yu,EN,"Translate ""Das Baby schläft tief und fest."" to English.",,,9
111,1234,6fyE0CZX57F9oWwxdL5V72,EN,"Translate ""Das Baby wachte mitten in der Nacht auf."" to English.",,,11
112,1235,aNo0Vc3M5RLaHlfFOv92p3,EN,"Translate ""Ich schlief wie ein Baby."" to English.",,,8
113,1236,Z7XGAQVItb6RHRDpEoOL5,EN,"Translate ""Sie gebar ein gesundes Baby."" to English.",,,8
114,1238,3FYigAOOHYja0DyawKR3l4,EN,"Translate ""Hast du schon ein Bad genommen, Takashi?"" to English.",,,10
115,1239,Vn99qWpOWGaVsoZSkC7V6,EN,"Translate ""Ich nahm ein Bad."" to English.",,,7
116,1241,39F2sLPHte493osmUUVV0Y,EN,"Translate ""Es ist praktisch, so nahe am Bahnhof zu wohnen."" to English.",,,12
117,1242,7ySYPlY9zj28RgvoGihTEy,EN,"Translate ""Wie komme ich zum Bahnhof?"" to English.",,,8
118,1243,7Ks1kGHjbpq9KL42AlPJO2,EN,"Translate ""Wo ist der nächste Bahnhof?"" to English.",,,8
119,1244,2SJzyco6q2a8KXsVEko5IT,EN,"Translate ""Bakterien vermehren sich durch Teilung."" to English.",,,8
120,1245,23GDKYWKkYV6EtJc45lHhX,EN,"Translate ""Die Katze spielt mit dem Ball."" to English.",,,9
121,1246,5h9awIGOtrK89xuAuXw1rr,EN,"Translate ""Wo ist der Ball?"" to English.",,,7
122,1247,aJJVPDdcxXQ7YgQblDIngD,EN,"Translate ""Eine Banane ist gelb."" to English.",,,7
123,1248,3bg53tmUbUL7ghc0YnQURi,EN,"Translate ""Ich esse eine Banane."" to English.",,,7
124,1249,V2lGMV9xar6MerL0KV6H1,EN,"Translate ""Tom isst eine Banane."" to English.",,,7
125,1250,1lqAy1JrEmf6DQhE4SfgBi,EN,"Translate ""Die Bank kannst du leicht finden."" to English.",,,9
126,1251,aAdhFihRwCUaoNSUn3yV48,EN,"Translate ""Ich bin zur Bank gegangen."" to English.",,,8
127,1252,7mWRsp2zZNd9JDhaiSDrtM,EN,"Translate ""Sie arbeitet in einer Bank."" to English.",,,8
128,1253,QH17czdtDf7qdO5LomcPH,EN,"Translate ""Unter dem Baum ist eine Bank."" to English.",,,9
129,1254,1G3cU96xT406rDBe9RXqvr,EN,"Translate ""Wieso hast du die Bank rot gestrichen?"" to English.",,,10
130,1255,6fWFTlwHbNe8ZAAkw21GN6,EN,"Translate ""Ich will in bar bezahlt werden."" to English.",,,9
131,1256,596WDZdWc1X7tggFUrhhM7,EN,"Translate ""Alle Jungen spielen gerne Baseball."" to English.",,,8
132,1257,7ITnctAFbTk9FWeiqfmXHV,EN,"Translate ""Er interessiert sich nicht sehr für Baseball."" to English.",,,10
133,1258,9fRbalhkhsP6M7cPZKy5G9,EN,"Translate ""Ich spiele gern Baseball."" to English.",,,7
134,1259,2qjHZDKvS7j5QOxTlxgTwS,EN,"Translate ""Magst du Baseball, Bin?"" to English.",,,7
135,1260,5wuznrgH6Em9mF0A4VntPE,EN,"Translate ""Mike spielt gerne Basketball."" to English.",,,7
136,1261,8UgZ1bMvz798fQfSv23jKi,EN,"Translate ""Sie hat früher Basketball gespielt."" to English.",,,8
137,1262,3R9UH6cuCG46g0RemDHZLX,EN,"Translate ""Wir bauen Reis an."" to English.",,,7
138,1263,42fF4LfzZ225HS6hiVVzaD,EN,"Translate ""Wir werden eine Mauer bauen."" to English.",,,8
139,1264,3PWSNsM3Rgg6oOYIhqokrV,EN,"Translate ""Aber der Bauer lächelte ihn an."" to English.",,,9
140,1265,8UWHXHQylhY7qhz9rITmIy,EN,"Translate ""Was der Bauer nicht kennt, das isst er nicht."" to English.",,,12
141,1268,7COUUUJHoQ37uAvXkRc8EP,EN,"Translate ""Tom pflanzte einen Baum."" to English.",,,7
142,1269,8CxHtuRhGTZ7ffDlz1EXC5,EN,"Translate ""Tom pflückte einen Apfel vom Baum."" to English.",,,9
143,1270,7k9SyTuQbGL5Tz58WeH6Sb,EN,"Translate ""Die Grenzen meiner Sprache bedeuten die Grenzen meiner Welt."" to English.",,,12
144,1271,3xDAVb6XTwHavSJ5KJ4nz2,EN,"Translate ""Dieser Satz kann im Grunde alles bedeuten."" to English.",,,10
145,1272,jbVpsvDERJ9H72coj2D0U,EN,"Translate ""Was hat das zu bedeuten?"" to English.",,,8
146,1273,aaCSimvhtyda0JcHwNhbk9,EN,"Translate ""Die Bedeutung dieses Satzes ist unklar."" to English.",,,9
147,1274,9YUXS86bUMJapR6JgwbIFT,EN,"Translate ""Ja, aber das hat keine Bedeutung."" to English.",,,9
148,1275,1WppWXBUwQB99eNtrITCtD,EN,"Translate ""Worte haben selten nur eine Bedeutung."" to English.",,,9
149,1276,8183ifn7P2x8GV9CoE7m0n,EN,"Translate ""Ich akzeptiere, aber nur unter einer Bedingung."" to English.",,,10
150,1277,54LZXORfBJo7xukajs2nof,EN,"Translate ""Ich war naiv und leicht zu beeindrucken."" to English.",,,10
151,1279,eUPBrBIfqp7KeouooRLvT,EN,"Translate ""Wann hast du vor zu beginnen?"" to English.",,,9
152,1280,5seyDsjO5JO8ziexFoVuRq,EN,"Translate ""Wir müssen vor fünf beginnen."" to English.",,,8
153,1281,ajT9gezHfW06EUIRo0JYsc,EN,"Translate ""Werden Sie mich begleiten?"" to English.",,,7
154,1282,7wJfnjQzmwcabrqF6FJ0QT,EN,"Translate ""Ich habe meinen Hund auf dem Haustierfriedhof begraben."" to English.",,,11
155,1283,13c7Kvkm3XA6KRNfjo0Wbe,EN,"Translate ""Doktor, es ist das falsche Bein!"" to English.",,,9
156,1284,2s1jSgC2nFc6MxqViT2WB4,EN,"Translate ""Ich habe Schmerzen im rechten Bein."" to English.",,,9
157,1285,DZNA9pFWLL7r7kQlARNJN,EN,"Translate ""Mein Hund hat Tom ins Bein gebissen."" to English.",,,10
158,1286,3lr1ZeVsuyE6JWjdbK559N,EN,"Translate ""Tom hat ein Bein verloren."" to English.",,,8
159,1287,5uK1ZtM2bpna15nB1lHSod,EN,"Translate ""Wir haben ein interessantes Beispiel."" to English.",,,8
160,1288,4s8Al8iUEvM7OYPyKTMlOe,EN,"Translate ""Eugene wird den Nobelpreis für seinen Beitrag zur Literatur erhalten."" to English.",,,13
161,1289,7BESpFFTdAX8Wgqb4vHThL,EN,"Translate ""Jeder darf etwas beitragen."" to English.",,,7
162,1290,abEDm0m4HCSaHd48vsPzuW,EN,"Translate ""Ich wollte Tom nicht beleidigen."" to English.",,,8
163,1291,7kWwOuxLKCcaAApToX2dEN,EN,"Translate ""Sein Benehmen ist immer ehrenhaft."" to English.",,,8
164,1292,D29UMzfb2N6Qc3AwCfjbO,EN,"Translate ""Benötigen Sie unsere Hilfe?"" to English.",,,7
165,1293,8ziA9gkfFaS9jEN4oI147d,EN,"Translate ""Benötigen wir eine internationale Sprache?"" to English.",,,8
166,1295,9CtmMqhuqhG9IHJ0hju8YL,EN,"Translate ""Ich werde seine Hilfe benötigen."" to English.",,,8
167,1296,ajH6zEq9C0K9NlMoj5prV4,EN,"Translate ""Wir benötigen deine Unterstützung."" to English.",,,7
168,1297,1BK3wvJN1iV8hCqPx8JHFP,EN,"Translate ""Uns geht das Benzin aus."" to English.",,,8
169,1298,NFjZFecgiZ6TZ0ZTt1xa6,EN,"Translate ""Wir hatten kein Benzin mehr."" to English.",,,8
170,1299,3cxMDBWsbsGaeuGy8ksIyq,EN,"Translate ""Du hast mich gut beraten."" to English.",,,8
171,1300,4WnUilpxA9K5L8bYguNJEs,EN,"Translate ""Ich habe mich mit meiner Schwester beraten."" to English.",,,10
172,1301,7P4DANoTfzM69ZTW8OQTX2,EN,"Translate ""Auf dem Berg gibt es viele Affen."" to English.",,,10
173,1302,6TwaaiPuTSA8QNd1peprxj,EN,"Translate ""Die Sonne ist hinter einem Berg untergegangen."" to English.",,,10
174,1304,3aPyDiFFLsM9UmzDijsoGO,EN,"Translate ""Was sind Sie von Beruf?"" to English.",,,8
175,1305,qmXAxbDGwaAJRMTAx9Ie,EN,"Translate ""Wir können dich nicht beschützen."" to English.",,,8
176,1306,5Pdg54Aeie18YFwqXuylJ7,EN,"Translate ""Wir können Sie nicht beschützen."" to English.",,,8
177,1307,1oIv5PGOTut7XSCWpuIIQd,EN,"Translate ""Wir werden Sie beschützen."" to English.",,,7
178,1308,4CnVzYDLBMl6mjgncRPEO5,EN,"Translate ""Es bringt nichts, sich zu beschweren."" to English.",,,9
179,1309,nMjLrtGHOW6k6ZsxtqFHC,EN,"Translate ""Ich will mich beschweren."" to English.",,,7
180,1310,1KzItk0jPoJ8rQNsskP7Ug,EN,"Translate ""Meine Kunden beschweren sich nie."" to English.",,,8
181,1311,1rKKxlIInqm8hiYhiKLxF1,EN,"Translate ""Besitzen Sie ein Auto?"" to English.",,,7
182,1312,8E48tnqaG789WgoNa5QaRF,EN,"Translate ""Das Glück liegt nicht darin, viele Dinge zu besitzen."" to English.",,,12
183,1313,17enUA6MSwI86D5QoNM65x,EN,"Translate ""Ausnahmen bestätigen die Regel."" to English.",,,7
184,1314,4qYZCztHXQX8TcJjw0LvmO,EN,"Translate ""Ich kann das nicht bestätigen."" to English.",,,8
185,1315,3VYKZCESWCPajgZxBGBowi,EN,"Translate ""Kann jemand Ihre Geschichte bestätigen?"" to English.",,,8
186,1316,9LCfy3F8mxY9YaA5yZMQDa,EN,"Translate ""Münzen bestehen aus Metall."" to English.",,,7
187,1317,4zk7SwbHJNT8UBbIjXLlZB,EN,"Translate ""Nicht alle Kandidaten können die Prüfung bestehen."" to English.",,,10
188,1318,5squtglwZVbaEbR9atJO8x,EN,"Translate ""Die wollten mich bestrafen."" to English.",,,7
189,1319,9eVJukXagqq6AOQahiFzqi,EN,"Translate ""Unser Besucher sitzt im Wohnzimmer."" to English.",,,8
190,1320,5dDPXa5ma0U9tDqVhzphCs,EN,"Translate ""Ich werde mich an dieser Abmachung nicht beteiligen."" to English.",,,11
191,1321,8aa2ebRFs0k5VI7Va2DM61,EN,"Translate ""Wir alle beten für Japan."" to English.",,,8
192,1322,9mOMkcbC2y27uJoTplSZAh,EN,"Translate ""Das Telefon ist außer Betrieb."" to English.",,,8
193,1325,7wEsYMJDi7E7Od2pPSGOVM,EN,"Translate ""Er liegt schon eine Woche krank im Bett."" to English.",,,11
194,1326,im2v9YDif68sQe393eni3,EN,"Translate ""Ich geh etwa um zehn ins Bett."" to English.",,,10
195,1327,7zZdRH6Oj0K7Au4oI9uVYt,EN,"Translate ""Ich habe den ganzen Tag im Bett verbracht."" to English.",,,11
196,1328,82sdxfyyceM9RaAHcMxcBN,EN,"Translate ""Seid ihr noch im Bett?"" to English.",,,8
197,1329,4xdj6L8TQ165E50uhhgx2F,EN,"Translate ""Ich habe keinen Beweis."" to English.",,,7
198,1330,94hck44iOg466zd0xxQgOm,EN,"Translate ""Wir haben keinen Beweis."" to English.",,,7
199,1331,6489UW9fMFk87AO5nyWQmz,EN,"Translate ""Kannst du das beweisen?"" to English.",,,7
200,1332,aNTCZdFf9hW8DEGYi058Ut,EN,"Translate ""Wie können wir es beweisen?"" to English.",,,8
201,1333,1Mgk55i6YTh8ZSWgp1XO8H,EN,"Translate ""Wir haben die Beziehung mit ihnen beendet."" to English.",,,10
202,1334,8fZfHzAkN5y8jUIUHLOBQ3,EN,"Translate ""Die Bibliothek ist in der Stadtmitte."" to English.",,,9
203,1335,1yO06uSMcdj7ROMOlqSRXG,EN,"Translate ""Du darfst seine Bibliothek benutzen."" to English.",,,8
204,1337,94tfnGB5y1H7obUJdIfyLv,EN,"Translate ""Mich hat eine Biene gestochen."" to English.",,,8
205,1338,9DSb0YzQXAN7PKGOH6mSM8,EN,"Translate ""Ich bestellte ein Bier."" to English.",,,7
206,1339,578BgMSWupj9u3P9Gzxy22,EN,"Translate ""Sie mag Bier lieber als Wein."" to English.",,,9
