taskId,language,description,topic_id,word_count,sentence_count
930,bFnkviohpp9w8xLXYyFgj,EN,"A tragically beautiful incarnation of the Christmas Spirit was on December 25 1914, when WWI soldiers crossed no man's land to celebrate a Christmas truce. This ceasefire even ended in some shared carols, and even football matches! Which countries were involved in this Christmas truce?",,45,3
931,3ic4WkJzo38a3N18uRT4dN,EN,Describe the interaction between the girl and the dog in the following picture:,,13,1
933,qvpFCnVIvh9KSq5Zj8wpy,EN,Can you name some ingredients that go into eggnog?,,9,1
939,1eCGJjuvqMWa0XbPT8455E,EN,What are some signs of aging? (Give a concise answer),,10,2
943,2YUaD24fUfP7pWjwIr92iP,EN,"Translate the Following Sentence to English: ""Tim lives in a blue house.""",,12,1
944,2UMtJUswomA7LRi0R8WvXz,EN,Write what you hear: (John plays with the cat).,,9,1
945,5u9DZIU6uoD8WzGcFOR339,EN,"Write a sentence in Past simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",5145.0,33,3
946,3dJg4CNE4M6745TGO3hpJu,EN,"What are the five phases of Project Management? To test the feedback, write something like : meeting, scoping, realization",,19,2
947,5qBvawWa1k182LVJCTe121,EN,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",4815.0,34,3
948,3gKnqzVuNvU5AgcrVVzhqc,EN,"What have you learned about climate change? To test the feedback, write something like : ""Climate change is not a serious threat.""",4815.0,22,2
954,2HXatST9nZb6pCE7sJuWBr,EN,"This content belongs to Klett und Balmer Verlag. Find more information about the product here: digione.ch Why I love Edinburgh I first visited Edinburgh as a child with my parents and my sister. I thought it was a magical city with a very special atmosphere. It’s small enough to get around easily and not feel lost, but big enough that there’s a lot to do. So after I left school, I decided to go to university there. It was a good decision – I had a wonderful time! The locals were really friendly and after some time I even started to understand the Edinburgh accent. In fact, I loved Edinburgh so much that I stayed after university. At first I lived and worked in the city, but after I met my husband (who is a true Scotsman!) we moved to the countryside nearby. I work from home now as I have my own business. But I love to drive to the city at the weekend in my Mini. Last week my parents came to stay and we visited Edinburgh Castle and the Scottish National Gallery. One day we took the children to the zoo, and another day we took a boat out to Inchcolm Abbey on a nearby island. Most days we had a picnic lunch in the Princes Street Gardens.I love that there are so many different things to do in Edinburgh. This city really has become my home now. I couldn’t imagine moving away! Answer the question in a full sentence: Why did Caroline move to Edinburgh? (""She moved to Edinburgh to study and because she loved the city.”)",,271,19
955,4XqgBukjnrj5Ky0GUL8Isw,EN,Write what you hear: (John plays with the cat).,,9,1
956,3786WSi5Nn58r5VZESlFst,EN,"Write a sentence in Past simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,33,3
957,7GFPO0ukS7t7ejAs1Y2nix,EN,Translate This Sentence into English (Write in Present Simple): Homer works in a nuclear power plant.,,14,1
958,5aAMWr5wtut7HshyySFiwn,EN,"Translate the Following Sentence to English: ""Tim lives in a blue house.""",,12,1
961,aqdN5okrn7v96q2pZ6draC,EN,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",,34,3
965,9gUaAflhOOM8boMxbfwUKf,EN,"The speech by Federal President Ogi is strongly structured. In addition to the introduction and the end, the speech is divided into three main parts with one topic each. Hold down the topics of the three main parts.",1.0,33,3
966,7TYOlb7BQz66WlJXyI4XxN,EN,"The present text has been published with similar stories in the anthology “Business Class”. To what extent does this collective title also apply to ""educator Schnüriger""?",1.0,22,2
967,85J5YDDsQFt9lCuygZwIOV,EN,"What is the final sentence of the crying Jeno in the text of Martin Suter? Assess the three variants with regard to their plausibility (stringence) and the text effect. 1. ""Alec released me.""2. ""Alec does not want to share.""3. ""The chocolate was bad, I have bellyache.""",1.0,41,6
968,Zqyme9ks3LawmypFAc0Wm,EN,Quote three passages from the text that show the ratio of Gustav Schnarwer to his family.,1.0,16,1
969,5zJ9PCGtPjN5LHnh4fp6LI,EN,"Interpret the title ""Pedagogue Schnüriger"" in keywords.",1.0,7,1
970,2ZW78UEN6i95yZYthoNKFw,EN,The triangle $ ABC $ is given. Describe how to construct the area of ​​the triangle $ ABC $.,1032.0,14,2
971,4vYuDvuEtAP6bgwgMyidhX,EN,"Name three stylistic devices in the first paragraph. If you ask Alec Schnüriger (6) what he wants to be, he says as if shot out of the cannon: ""General Manager"". Then Gustav Schnüriger (42, General Manager) proudly laughs, and those who asked, laugh. Carla Schnüriger (27, housewife and mother) shakes his head, and Jeno Schnüriger (4) asks: ""What is General Manager? """"The highest,"" replies Alec, and the adults laugh again.",1.0,68,5
976,1Gs0VtDQxPH9WO8W15Revx,EN,Describe what you see on the image,,7,1
981,aMnKVp4XSra33C9zSsDIR,EN,"What could the cat say in this situation if it could speak? Write a sentence. To test the feedback, write something like : ""Play with me!""",5145.0,26,3
982,2hVjXIPswXaaxcD8sqe6WU,EN,Translate This Sentence into English (Write in Present Simple): Homer works in a nuclear power plant.,5145.0,14,1
983,4AUaLoTasUk86ezdbK3d7q,EN,The student answer of this task is evaluated for grammar and spelling only. What are your plans for this weekend? Write 3-5 sentences.,5145.0,24,3
984,8kVrscmjkny6CtVtjsqO30,EN,Put Words in Order Put the words below into the correct order to make sentences. from other communities | never | they | enemies | groom,,26,2
985,8FV1FHxBMDF8vnTy6FtguO,EN,From Active to Passive The band sang a song from Queen. (A song from Queen was sung by the band.),,20,2
986,8CHf6OTOwiM7b44ADOwK6P,EN,"Negate the Sentence This sentence about Caroline are not true. Correct it using negative sentences. Example : Caroline studied in Glasgow. Solution : No, she didn't study in Glasgow. She studied in Edinburgh. She understood the Scottish accent from the beginning.",,41,6
987,6k8QjfUF2b472CVTPitx8q,EN,"The student answer to thi s task is evaluated for grammar and spelling, and additionally for tense and keyword. Write a sentence in Past simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",5145.0,52,4
996,7YXAOXqXKk65WRBjKEmL0P,EN,How many reindeers does Santa Claus has and can you name one of them?,,14,1
1104,aRzlzAymuLD5NJdfqyfMNE,EN,The containers of the subsystem must be regenerated periodically alternately. Describe the regeneration process. Answer in one sentence.,,19,3
1109,3eFwaoVZANA7mLeCSUdt8J,EN,highlight the keywords that apply to bob,,7,1
1110,89EvLiSfvcb6YEF5S6wSyI,EN,"In the Ko3 column, the mixture is separated in atmospheric pressure. Describe the process that runs in the Ko3 column during the procedure. Answer in one sentence.",,29,3
1136,8kr659BCDps8XfAdE4DYQR,EN,Put the words below into the correct order to make sentences. usually | removes | the pieces of skin | the other hand,,23,2
1137,PrboJKJLSM6Ok9R2YeF4t,EN,Put the words below into the correct order to make sentences. use | to groom another chimpanzee | they | their lips or teeth | sometimes,,26,2
1143,3zHah3WHaBL69lxjz0xPdA,EN,"Translate ""I watched far last night."" to English.",,8,2
1144,7dgOqVF3wM07eiRRzsTEYV,EN,"Translate ""He ordered a dinner."" to English.",,8,2
1145,9yd745wscDf9ERA8P2pfhW,EN,"Translate ""I had nothing for dinner."" to English.",,8,2
1146,6ZsjZ1Fpkk76aNTpKZucfx,EN,"Translate ""I don't want dinner."" to English.",,7,2
1147,22BFD78ilPM8TchKxPNRFF,EN,"Translate ""Tom is currently doing dinner."" to English.",,7,2
1148,50vh0FAZ3TDaHo84QdFocv,EN,"Translate ""Life is full of adventure."" to English.",,8,2
1149,a8fhbpOctnB81BMgXtazcU,EN,"Translate ""I couldn't refuse."" to English.",,7,2
1150,20A4Hx4UDtf8CLvEdGBbCn,EN,"Translate ""You do that on purpose!"" to English.",,9,2
1151,7DSzCegF1Gz9C7jXDbf0ae,EN,"Translate ""That was certainly not on purpose."" to English.",,9,2
1152,SsFyvivPiXa3xCGUqNzhy,EN,"Translate ""He intended to marry her."" to English.",,10,2
1153,4iiM8cAHjYH75flvADkcFR,EN,"Translate ""Did you do that on purpose?"" to English.",,9,2
1154,4WQPpjZzXl05Tdu6W5xxVt,EN,"Translate ""I don't intend to apologize."" to English.",,11,2
1155,7FH3sCf1EL78jEz8orF9ab,EN,"Translate ""My wife wanted to adopt a child."" to English.",,9,2
1156,4YROUyqd8jj7fi3DT8SnHu,EN,"Translate ""The monkey fell off the tree."" to English.",,8,2
1157,8IRZQCLrsBh9uuBth2dbc3,EN,"Translate ""My monkey has run away."" to English.",,7,2
1158,f5FBKIiyFd7QCzbq4GgKP,EN,"Translate ""That was a nightmare."" to English.",,7,2
1159,50hyowIp3hd7pHJnrWGCla,EN,"Translate ""He showed me his album."" to English.",,8,2
1160,a2EFy1quyXd6bb286NW5Qb,EN,"Translate ""It is not allowed to drink alcohol."" to English.",,11,2
1161,6K4ImkCIaj08kpmj1XbVws,EN,"Translates ""Do you have drinks without alcohol?"" to English.",,8,2
1162,8ZITtwQdx9G9AKb7jyIPS3,EN,"Translate ""I can't drink alcohol."" to English.",,8,2
1163,9Wm7IWwrNhRayy5g2gj6rA,EN,"Translate ""I don't drink alcohol."" to English.",,7,2
1164,17aU9nWh0eLag81mXI2h3O,EN,"Translate ""It was not averse to alcohol."" to English.",,9,2
1165,8PqBcI1KZWl8Mtq0B8FxL4,EN,"Translate ""I lived in Osaka up to the age of 6."" to English.",,13,2
1166,aAkIziPCaJX7lPIBr9JQwY,EN,"Translate ""She got married at the age of 25."" to English.",,10,2
1167,3zGud8VQ8yNaycnVTBNazJ,EN,"Translate ""What age does your son have?"" to English.",,8,2
1168,acmZVlmedq577WAV5BInIC,EN,"Translate ""What is the alternative?"" to English.",,7,2
1169,1oTr9NmVjOc7V9UGrEs4ah,EN,"Translate ""Jane seems to have fun at the party."" to English.",,11,2
1170,6hmk7XLEG7361cQCL6t3Wb,EN,"Translate ""Can I offer you something to drink now?"" to English.",,11,2
1171,7EkwqUuuM7L71QhYSquY9C,EN,"Translate ""That won't change."" to English.",,8,2
1172,3lriGJFEm9W8W71JHWyfDX,EN,"Translates ""Times change."" to English.",,7,2
1173,5flo6UARSgZ8n2lBBqtBn1,EN,"Translate ""Tom has to change his attitude."" to English.",,8,2
1174,2whKClfmekVaHLvKfAiPVa,EN,"Translates ""Maybe the prices change."" to English.",,8,2
1175,aKyigEtilsvaz9cxURMjNY,EN,"Translate ""It was stupid of you to accept your offer."" to English.",,11,2
1176,51vgitPthWZ7rU5CTzq5VV,EN,"Translate ""I accept the offer."" to English.",,7,2
1177,22UHAQsTne57THcsK0NPCi,EN,"Translate ""I'll accept your offer."" to English.",,8,2
1178,9MpZ9PyNope91FHJ6hDVrI,EN,"Translate ""I'll accept your offer."" to English.",,8,2
1179,2tXp4qsxJtY5AN7ivJqsVE,EN,"Translate ""Your answer is wrong."" to English.",,7,2
1180,5QMm78gBppxaJVq91HE6i5,EN,"Translate ""You found the answer."" to English.",,8,2
1181,aS38m2r9A37aEFQXHdmakv,EN,"Translate ""Did you get a response from Tom?"" to English.",,10,2
1182,1zeg3zMm9df7GMEk4S1mUH,EN,"Translate ""Do you know the answer?"" to English.",,7,2
1183,aCD2v49jXCD7FKmZex0H8I,EN,"Translate ""Your answers were right."" to English.",,10,2
1184,6QkSj5tcnin7Hqbix7qbxW,EN,"Translate ""Do I have to answer the question?"" to English.",,9,2
1185,2r2SYFcYe9N6mNTHUlcK8f,EN,"Translate ""I don't need a lawyer."" to English.",,7,2
1186,8KAr1JaOTRu8nGNYfn9Vww,EN,"Translate ""The apple is not yet ripe."" to English.",,9,2
1187,2PqNTcM5pSPav1Hou9ZWcW,EN,"Translate ""I'm eating an apple."" to English.",,8,2
1188,WCz20kHwET8k3MVbqppy6,EN,"Translate ""Is that an apple?"" to English.",,7,2
1189,BQF0srBMWT7Gzo7BZ2uzK,EN,"Translate ""An apple is under the desk."" to English.",,9,2
1190,63LwneDO7eg8AK3biY87MO,EN,"Translate ""How does the apple taste?"" to English.",,7,2
1191,a9LEBCdqQ1T7bSqECtwYJb,EN,"Translate ""He does his job."" to English.",,7,2
1192,7eAdNIMwTdZ8bNDzMdsKNi,EN,"Translate ""He is satisfied with his work."" to English.",,9,2
1193,66WZeewVaQUapMbr4L8zqc,EN,"Translate ""I'm very tired from work."" to English.",,10,2
1194,94XarI5tWg871T4PHzFaq0,EN,"Translate ""I have work for you."" to English.",,8,2
1195,7QYKkjMFgIs6pLnqer8efv,EN,"Translate ""I must have completed the work by four o'clock."" to English.",,12,2
1196,48PYN7qDGQA88NvuCHTt7f,EN,"Translate ""I continue my work."" to English.",,8,2
1197,55935gEnVks6d5pwpkPcfP,EN,"Translate ""Tom drives to work by car."" to English.",,10,2
1198,62XXodCNboB9Cyi11h9FbL,EN,"Translate ""Tom has already found work."" to English.",,9,2
1199,g2dXexhLZjaE28QsnLCfW,EN,"Translate ""Our work never stops."" to English.",,8,2
1200,797sy1iQXSt8BJYZq96yLR,EN,"Translate ""Do you work with Tom?"" to English.",,8,2
1201,4dylAImdwEVa6pPjZkhMUo,EN,"Translate ""A person has to work."" to English.",,7,2
1202,63YBIHhkCW38OC9yqetsjl,EN,"Translate ""He doesn't want to work in a factory."" to English.",,10,2
1203,4YrjGF9DmAX6HVSsVxBnST,EN,"Translate ""I pretended to work."" to English.",,8,2
1204,7NnuagJq9QP9YdCJJbnutO,EN,"Translate ""I was working."" to English.",,7,2
1205,azUng1lvtHdaD9eXmHM7uQ,EN,"Translate ""I only need a worker."" to English.",,8,2
1206,1GVHJpYzrqt9ya6Zp92WoT,EN,"Translates ""You are really a hardworking worker."" to English.",,9,2
1207,pwS6KHkC5ya2O14CH4bSX,EN,"Translate ""This is the computer on which he writes his articles."" to English.",,13,2
1208,3EjA3fuWrzb9aKIdPjGK2z,EN,"Translate ""The article was written in French."" to English.",,10,2
1209,Gd2rwRvZBJ8xQakCjGMDl,EN,"Translate ""Did you read this article?"" to English.",,8,2
1210,9FKxB1Z1sa689zUnfxMo3B,EN,"Translate ""Did you read this article?"" to English.",,8,2
1211,2VtkZeTFX3L9FLJIwep6bI,EN,"Translate ""I can't translate this article into Arabic."" to English.",,11,2
1212,3whOtWugTQD9PEYssWCra7,EN,"Translate ""I decided to become a doctor."" to English.",,8,2
1213,863cPdHAwxM6jrpWi7Kx5h,EN,"Translate ""Where is the doctor?"" to English.",,7,2
1214,8yDGFEId9zC9J5b6jWEiXY,EN,"Translate ""This task is too much for him."" to English.",,10,2
1215,79cfNQucdqR9l6Lm4XhKpQ,EN,"Translate ""I could easily solve the task."" to English.",,9,2
1216,738Cr1GCEP49iUi8HnYTQ3,EN,"Translate ""I don't want to give up."" to English.",,7,2
1217,2pXzMgU5xZH9y5Mlr1tFS4,EN,"Translate ""The newspaper has a large edition."" to English.",,9,2
1218,7XOLcCX9H5W8l8aETO1gGX,EN,"Translates ""There are no mistakes in your essay."" to English.",,10,2
1219,62HICEhR1sK6bT8gDgzzkI,EN,"Translate ""The old man is blind in one eye."" to English.",,11,2
1220,1dxt2rW5BSQ8iLFIvlsExo,EN,"Translate ""I have sand in my eye."" to English.",,8,2
1221,aJsqPyUd9InaAF4SOj0z0B,EN,"Translate ""What the eye does not see does not take care of the heart."" to English.",,12,2
1222,2NJsgQEIjJQ7TULpMozCyd,EN,"Translate ""Which eye hurts you?"" to English.",,8,2
1223,2JmiuY3H00s7KurVGUjwwA,EN,"Translate ""Is there a similar expression in French?"" to English.",,10,2
1224,aFtcB6e1XSKamsPzZYTTBO,EN,"Translate ""What does this expression mean in this context?"" to English.",,10,2
1225,2SvLuio6AlL5V2q7XMFOod,EN,"Translates ""You shouldn't spend more money than you earn."" to English.",,12,2
1226,5G4iA5xgmbT8mZI5gL35GC,EN,"Translate ""Can I borrow your car?"" to English.",,9,2
1227,1CpKXSaT8uY6kOUILEEAqV,EN,"Translate ""Can I borrow your car?"" to English.",,10,2
1228,1XIEegpxpeo5Kd1rFXvYEO,EN,"Translate ""How many books can I borrow at the same time?"" to English.",,10,2
1229,2Euo5WsJi5D5Ud4n9QL89B,EN,"Translate ""Why is it so important?"" to English.",,9,2
1230,1xKZgPaBlPsapUmouTzuZq,EN,"Translates ""We have a large selection of fruit in the supermarket."" to English.",,12,2
1231,2fd2bEiRXlC5TpTCPiGvef,EN,"Translate ""The author has a nice style."" to English.",,9,2
1232,9pNfo56cP8n8P5yxcKdePs,EN,"Translate ""The baby stopped screaming."" to English.",,9,2
1233,3VuuoeU3MVV7zGdDRIs2Yu,EN,"Translate ""The baby sleeps deeply and firmly."" to English.",,9,2
1234,6fyE0CZX57F9oWwxdL5V72,EN,"Translate ""The baby woke up in the middle of the night."" to English.",,11,2
1235,aNo0Vc3M5RLaHlfFOv92p3,EN,"Translate ""I slept like a baby."" to English.",,8,2
1236,Z7XGAQVItb6RHRDpEoOL5,EN,"Translate ""She gave birth to a healthy baby."" to English.",,8,2
1237,9CRQwA02WE97kL7WGBnC7n,EN,"Translate ""He took a hot bath and switched on the TV."" to English.",,13,2
1238,3FYigAOOHYja0DyawKR3l4,EN,"Translate ""Have you already taken a bathroom, Takashi?"" to English.",,10,2
1239,Vn99qWpOWGaVsoZSkC7V6,EN,"Translate ""I took a bath."" to English.",,7,2
1240,6sSl1NwMUMwal80v3nnGET,EN,"Translate ""I take a bath almost every day."" to English.",,10,2
1241,39F2sLPHte493osmUUVV0Y,EN,"Translate ""It is practical to live so close to the train station."" to English.",,12,2
1242,7ySYPlY9zj28RgvoGihTEy,EN,"Translate ""How do I get to the train station?"" to English.",,8,2
1243,7Ks1kGHjbpq9KL42AlPJO2,EN,"Translate ""Where is the next train station?"" to English.",,8,2
1244,2SJzyco6q2a8KXsVEko5IT,EN,"Translate ""Bacteria multiply through division."" to English.",,8,2
1245,23GDKYWKkYV6EtJc45lHhX,EN,"Translate ""The cat plays with the ball."" to English.",,9,2
1246,5h9awIGOtrK89xuAuXw1rr,EN,"Translate ""Where's the ball?"" to English.",,7,2
1247,aJJVPDdcxXQ7YgQblDIngD,EN,"Translate ""A banana is yellow."" to English.",,7,2
1248,3bg53tmUbUL7ghc0YnQURi,EN,"Translate ""I eat a banana."" to English.",,7,2
1249,V2lGMV9xar6MerL0KV6H1,EN,"Translate ""Tom eats a banana."" to English.",,7,2
1250,1lqAy1JrEmf6DQhE4SfgBi,EN,"Translate ""You can easily find the bank."" to English.",,9,2
1251,aAdhFihRwCUaoNSUn3yV48,EN,"Translate ""I went to the bank."" to English.",,8,2
1252,7mWRsp2zZNd9JDhaiSDrtM,EN,"Translate ""She works in a bank."" to English.",,8,2
1253,QH17czdtDf7qdO5LomcPH,EN,"Translate ""is a bank under the tree."" to English.",,9,2
1254,1G3cU96xT406rDBe9RXqvr,EN,"Translate ""Why did you paint the bank red?"" to English.",,10,2
1255,6fWFTlwHbNe8ZAAkw21GN6,EN,"Translate ""I want to be paid in cash."" to English.",,9,2
1256,596WDZdWc1X7tggFUrhhM7,EN,"Translates ""All boys like to play baseball."" to English.",,8,2
1257,7ITnctAFbTk9FWeiqfmXHV,EN,"Translate ""He is not very interested in baseball."" to English.",,10,2
1258,9fRbalhkhsP6M7cPZKy5G9,EN,"Translate ""I like to play baseball."" to English.",,7,2
1259,2qjHZDKvS7j5QOxTlxgTwS,EN,"Translate ""Do you like baseball, am?"" to English.",,7,2
1260,5wuznrgH6Em9mF0A4VntPE,EN,"Translate ""Mike likes to play basketball."" to English.",,7,2
1261,8UgZ1bMvz798fQfSv23jKi,EN,"Translate ""She used to play basketball."" to English.",,8,2
1262,3R9UH6cuCG46g0RemDHZLX,EN,"Translate ""We are growing rice."" to English.",,7,2
1263,42fF4LfzZ225HS6hiVVzaD,EN,"Translate ""We will build a wall."" to English.",,8,2
1264,3PWSNsM3Rgg6oOYIhqokrV,EN,"Translate ""But the farmer smiled at him."" to English.",,9,2
1265,8UWHXHQylhY7qhz9rITmIy,EN,"Translate ""What the farmer does not know, he doesn't eat that."" to English.",,12,2
1266,5bG0oOEDdN4aifkqwUc8Q2,EN,"Translate ""This tree is as old as that."" to English.",,10,2
1267,6zgOsbf0aFm5AOlGiKSrhv,EN,"Translate ""I'm under the tree."" to English.",,8,2
1268,7COUUUJHoQ37uAvXkRc8EP,EN,"Translate ""Tom planted a tree."" to English.",,7,2
1269,8CxHtuRhGTZ7ffDlz1EXC5,EN,"Translate ""Tom picked an apple from the tree."" to English.",,9,2
1270,7k9SyTuQbGL5Tz58WeH6Sb,EN,"Translates ""The limits of my language mean the limits of my world."" to English.",,12,2
1271,3xDAVb6XTwHavSJ5KJ4nz2,EN,"Translate ""This sentence can basically mean everything."" to English.",,10,2
1272,jbVpsvDERJ9H72coj2D0U,EN,"Translate ""What does that mean?"" to English.",,8,2
1273,aaCSimvhtyda0JcHwNhbk9,EN,"Translate ""The meaning of this sentence is unclear."" to English.",,9,2
1274,9YUXS86bUMJapR6JgwbIFT,EN,"Translate ""Yes, but that has no meaning."" to English.",,9,2
1275,1WppWXBUwQB99eNtrITCtD,EN,"Translate ""Words rarely have only one meaning."" to English.",,9,2
1276,8183ifn7P2x8GV9CoE7m0n,EN,"Translate ""I accept, but only under one condition."" to English.",,10,2
1277,54LZXORfBJo7xukajs2nof,EN,"Translate ""I was naive and easy to impress."" to English.",,10,2
1278,4lgDkE60mFe6cUTL0oEkI8,EN,"Translate ""I wanted to impress Tom."" to English.",,7,2
1279,eUPBrBIfqp7KeouooRLvT,EN,"Translate ""When do you plan to start?"" to English.",,9,2
1280,5seyDsjO5JO8ziexFoVuRq,EN,"Translate ""We have to start five."" to English.",,8,2
1281,ajT9gezHfW06EUIRo0JYsc,EN,"Translate ""Will you accompany me?"" to English.",,7,2
1282,7wJfnjQzmwcabrqF6FJ0QT,EN,"Translate ""I buried my dog ​​in the pet cemetery."" to English.",,11,2
1283,13c7Kvkm3XA6KRNfjo0Wbe,EN,"Translate ""Doctor, it's the wrong leg!"" to English.",,9,2
1284,2s1jSgC2nFc6MxqViT2WB4,EN,"Translate ""I have pain in the right leg."" to English.",,9,2
