aspectId,description,type,groupId,categoryId,word_count
171,224668,antwort enthalt relativpronomen,CONCEPT,165260.0,17.0,3
172,224699,antwort enthalt vorgeben relativpronom,CONCEPT,165262.0,20.0,4
173,379666,antwort inhalt,CONCEPT,339971.0,3.0,2
174,379672,antwort rahmen aufgabenstellung,CONCEPT,339974.0,13.0,3
175,379669,antwort enthalt rechtschreibfehl,CONCEPT,339973.0,7.0,3
176,379713,lernend satzintegritatsfehl machen,CONCEPT,340018.0,7.0,3
177,379717,struktur antwort stimmen musterlosung uberein,CONCEPT,340019.0,15.0,5
178,184257,lernend adjekt komparativ anwend,CONCEPT,135780.0,11.0,4
179,174784,lernend prafix trennbaren verben erkennen,CONCEPT,127481.0,764.0,5
180,274668,lernend trennbar verben prasen bilden,CONCEPT,222716.0,10.0,5
181,379858,lernend vergleichssatz bilden,CONCEPT,340242.0,790.0,3
182,379777,antwort enthalt adjektiv,CONCEPT,340164.0,17.0,3
183,379811,antwort enthalt vorgeben adjektiv,CONCEPT,340181.0,20.0,4
184,379837,verb stehen indikativ,CONCEPT,340194.0,760.0,3
185,379842,verb indikativ hauptsatz subjekt angeglichen,CONCEPT,340197.0,16.0,5
186,379844,lernend verben prasen setzen,CONCEPT,340198.0,10.0,4
187,224592,lernend infinitiv erganzen,CONCEPT,165273.0,759.0,3
188,8067,werden genugend mobel einrichtungsgegenstand aufgezahlen,CONCEPT,,,5
189,8864,folgend konzept richtig erwahnen correctstat,CONCEPT,,,5
190,9048,antwort enthalt gesucht stichwort,CONCEPT,,,4
191,7977,antwort inhaltlich richtig,CONCEPT,,,3
192,9385,folgend konzept richtig erwahnen correctstat,CONCEPT,,,5
193,7924,antwort inhaltlich korrekt,CONCEPT,,,3
194,7966,antwort enthalt gesucht stichwort,CONCEPT,,,4
195,8872,mobel einrichtungsgegenstand kuch aufgezahlt,CONCEPT,,,4
