taskId,language,description,topic_id,word_count
12,4Mg9yzLtSfm7bFud4CGYn2,deu,fallvignett herr josi kunz leben famili siedlung stadtrand arbeiten buro versandhandel sportartikeln famili frau susann arbeiten teilzeit serviceangestellen cafeteria alt pflegeheim herr frau kunz eltern max tom lea drei kind gehen schule verhalten alltag herr kunz fahren auto arbeit firmengebaud benutzen buro dritter stock lift lift revis treppenabsatz auss atem pausieren gering ausdau stort jahr spielen zweiter liga fussbal seitdem mannschaft ausgetret machen keinerlei sport mehr wissen herr kunz risiko bewegungsmangel aufzahl arbeitsort lesen werbung fur sportartikel positiv folge regelmassig korperlich aktivitat ausgangslag herr kunz stark erkaltung bei hausarzt bieten abkling erkaltung standortgesprach dabei erlautern herrn kunz laborbefund anzeich diabet herzkreislaufproblemen sein bleibend schaden erkennbar sein dringend notwendig herr kunz regelmassig beweg mindest minute pro tag haus erzahlen herr kunz frau eigentlich ordnung sein sollen wenig mehr bewegen darum kummern beruflich mehr eingespennen sein nachst woch termin fachperson fur gesundheit gehen hausarzt zulieb genau auftrag hausarzt fur hausarzt uberweist herr kunz sollen programm minute bewegung pro tag erarbeit auftrag herrn kunz erster sitzung teilen herr kunz offensichtlich zufrieden sein vollkommen gesund wiss wenig mehr bewegen sein fur problem fur tun konn frage begrunden einschatzung antwort bitt stichworten,2079.0,187
13,3x1MfA2egc2aDydR7uUsp6,deu,bea fotografieren freizeit tier veroffentlichen foto homepag bea unternehmen foto urheberrecht schutzen begrunden antwort,3195.0,14
14,3boh9riWbYw5vj5P3G0lJD,deu,bea begeistert aufsatzen schulerinn schuler stolz stellen gut arbeit namensnennung homepag veroffentlichung anonym fragen weder betroffen kind der eltern beurteilen bea vorgehen rechtlich sicht,3195.0,24
15,anujPX52fQR6x3248F2rHV,deu,rolf finden internet bild obenstehend creativ common label kennzeichnen drei bedingung dürfen bild weiterverwenden,3466.0,14
16,837aEbasa688e557uvxTar,deu,rolf zeigen klassenlag schulerinn schuler aufgezeichnen fernsehsendung goldwasch napf einstimmung exkurs beurteilen rechtlich sicht,3195.0,14
17,3oWzcZ9w53u7LC1lmB6Zzz,deu,lehrerin bea publizieren rucksprach eltern offentlich klassenhomepag portratfoto schulerinn schuler sowi der vornamen beurteilen rechtlich sicht,3465.0,16
18,1US4mJ2ZPSW6YhwGn5sr8k,deu,rolf schulerband uhr paus ferien groß auftritt pausenplatz geben konzert ganz oberstuf begeistert passant programm stehen coverversion bekannt rock popsong schritt rolf unternehmen rechtlich sicht problem bekommen antwort kurz satz pro schritt,3195.0,32
19,38DVRUtUzmK80JIIPEQFK5,deu,rolf schulerinn schuler verwend vortragen powerpoint prasent gestalten fremd foto internet bedingung zulassig antwort kurz satz pro bedingung,3195.0,18
20,5XeRfbWOsAB8uOpsoObxdm,deu,bea werkstatt igel jahr verlagsprogramm lehrmittelverliegen aufnehmen verkaufen weshalb bea samtlich bild werkstatt ersetzen oben dargestellt creativ common lizenz finden antwort kurz satz,3466.0,23
21,4VzSTu3Qkbuat8MKShbRnu,deu,rolf bereiten klassenlag erstellen passwortgeschutzt excel lisen speziel bedurfniss schulerinn schuler darin festzuhalt etwa benotigt medikament nahrungsmittelallergien schicken eltern link dokument passwort entprechend angabe kind selber eintrag konn begrunden warum rolf vorgehen rechtlich sicht problematisch,3465.0,35
23,6YATLhC6EKb7FLyt1ul8dw,deu,ausgangslag privatschul ag bitten bewertung aktiv passiv hilf mobiliar schule veralten daher wurd anfang neu mobiliar pulen stuhl etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr linear restweren abgeschrieben nettoverausserungswert end chf schatzen frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,57
24,2KBKiamChix7AzgUXh7Fqw,deu,ausgangslag privatschul ag jahr fur kaufprei chf liegenschaft grossen gebaud erworben schulgebaud nutzen liegenschaft schulgebaud befinden gut lage zurich marktwert per end chf schatzen frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,41
25,NDDRbv7TYQ5ycFBk5dno8,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert chf kur kaufen schlusskur bilanzstichtag end betragen frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,35
26,5qyVy05gk247mvwo0zHkPa,deu,ausgangslag privatschul ag bitten bewertung aktiv passiv hilf mobiliar schule veralten daher wurd anfang neu mobiliar pulen stuhl etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr linear restweren abgeschrieben nettoverausserungswert end chf schatzen frage ermitteln wert mobiliar per end hochsten bilanziert dürfen punkt,2080.0,50
27,1uvGe8Nno5walGTtXriQ6F,deu,ausgangslag privatschul ag jahr fur kaufprei chf liegenschaft grossen gebaud erworben schulgebaud nutzen liegenschaft schulgebaud befinden gut lage zurich marktwert per end chf schatzen frage ermitteln wert liegenschaft schulgebaud hochsten bilanziert dürfen punkt,2080.0,33
28,7ylhApF5T4O97dnxC6nEZW,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert chf kur kaufen schlusskur bilanzstichtag end betragen frage ermitteln wert obligationen per end hochsten bilanzieren durfen punkt,2080.0,28
29,3zsKoSGA4LF8u3cxke7qAx,deu,wovon gehen klassisch marketingverstandni,,4
30,1fBIf6350GA6gq43VRCrsE,deu,nennen drei schritt planungsphas market managn prozess,,7
31,9WDKSx00vlW9K0bnORDcJS,deu,nennen haufig verwenden konzept analy umfeld unternehmen,,7
32,2uvDjDgO7X5aHZJsafVcan,deu,nennen funf anforderungskriteri segmentierung,,4
33,2dJT9P9U4fFaLp5CyP3NHk,deu,markenwert zwei element ausgedruckt nennen beide element,,7
34,2BpcPbqRzLZ6KqjSjgxSi7,deu,zwei art markenbekanntheit messen,,4
35,5QeevFBNgjK8J5oBsnMKiq,deu,nennen zwei normstrategien kundenakquisit,,4
36,9YJGjiwwmRmaO6UJLjt6K3,deu,erlautern unterschi potenziell aktuell kunde kundenbeziehungslebenszyklu,,6
37,36Cl8yhjcbaa6kY2PIMbRB,deu,art diversifik geben,,3
38,8CxNuOExW7T8AFVh6SHo8n,deu,typen prozessen lassen unternehmen unterscheiden,,5
39,5cB1PdSBUxsapU9Hcy7HtI,deu,aufgabe umfassen personalpolitik nennen vier aufgabe,,6
40,6zths9mH7Cq8EIwhbJMlMW,deu,erfolgsfaktor digital market,,3
41,59AwTgl3apR9fHoPM6KGPH,deu,nennen vier grundlegend stossrichtung digital instrument,,6
42,6TPlnzEFTBP7AFpUjaHhGt,deu,zusammenhang reaktion mitarbeitende strategisch veranderungen lassen grundsatzlich vier mitarbeitertype unterscheiden nennen vier type,,13
43,a3mnO3FTYVN9Oxoyp2Vh2I,deu,begriff unternehmenskultur lassen je betrachtet model verschied komponent zuordnen tomczak unterscheiden vier ebene nennen vier ebene,,16
44,1tWjiD8qkak6L7SO2GOUZz,deu,stehen ern market foku nennen wichtig merkmal,3086.0,7
45,6je9mSkTQUD6j0oXc0XQrA,deu,aufgabenbeschreibung prufen wissen transtheoretisch model ttm lernziel versteh ttm fallbeispiel anwened zeitkriterien ttm ttm gehor zeitkriterien autor beschreiben fur stadium innerhalb zeitspann jemand verhalten gedenken lang jemand erwunscht verhalten praktizieren praxi zeitkriterien fixen vorgabe orientierungshilfen art verwend zeitangab studierend arbeit ubrig praxi ttm ganz zeitkriterien fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil verpflichten kur stadtisch suchtpraventionsstel thema redukt stopp cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio kursleit informieren uber kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess tun weiss warum kiff aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium ttm befinden karl heinz,2079.0,126
46,an4Fz56H0WT6IEjQje3AMv,deu,aufgeben karl heinz scheinen erster sitzung herrn konsilio wenig beeindruckt lieb wurd mehr hingehen gut tun cannabi sein politisch problem kumpel ausbad musst herr konsilio lachelt machen pflichttermin ab nachst sitzung eroffnen karl heinz uberraschend drei tag kiffen erst gestern joinen rauchen aufwand paar joint machen find ubertrieben konn vorstellen wenig kiffen frage stadium ttm befinden karl heinz,2079.0,58
47,4NNxvy93M4B9ga8HmozWhz,deu,benennen phas kundenbeziehung,,3
48,1EPrTzqFvve9qvoHOr5bPP,deu,erlautern stichwortartig worum potenziell kunde kundenbeziehungslebenszyklu gehen,,7
49,1q8HjXTXl6pafd3UuTNn7a,deu,nennen drei verschieden kategorie kommunikationszielen,,5
50,6PqIlscbsyz8u399b8CvY1,deu,kernelement experi antwort stichwortartig,,4
51,2Mddfpq7qgDa8iYxEo1ZxT,deu,produktportfolio weiterentwickeln nennen stichwortartig verschieden moglichkeit,,6
52,9J2yHcGXsEfaxJmFU93t7q,deu,nennen drei eckpunkt magisch dreieck price,,6
53,6JbDfFBGSWL5PV7f1vfuQM,deu,ausdruck nachfahren stammen grundwort fahr althochdeutsch faran steuer fortbewegen erklar bildhaftigkeit ausdruck,2029.0,12
54,8JpcAKx32tR8iPBZXyy9Mv,deu,ausdruck fahren stammen grundwort fahr althochdeutsch faran steuer fortbewegen erklar bedeutung,2029.0,11
55,8NaclHgFFv79UrF6HKLluq,deu,ersetz fett gedruckt ausdruck synonym geschmack fur mode,2027.0,8
56,51vmUpiNHBf6NMTKufDbqw,deu,wichtig mittel neu erkenntniss sachverhalt sprachlich bestehend mittel erfassen ubertragung eigentlich bedeutung ding bildlich vorstellen erklar ausdruck fussnot eigentlich bedeutung fuss,2030.0,21
57,3w8ZWju1fX27KYHRHoYVZl,deu,ausdruck fahrt stammen grundwort fahr althochdeutsch faran steuer fortbewegen erklar bedeutung,2029.0,11
67,4KWbwnTRRMMawwNAZGhuox,deu,offen aufgeben,2130.0,2
68,auENLxQmQPpaV7QFcjwH3E,deu,erklar bedeutung folgend ausdruck dialekt,2031.0,5
69,1NBRv5heAsqbZa8sABf6mM,deu,erklar bedeutung folgend ausdruck fachsprachlich,2023.0,5
70,4EV.Ccg5Aa.a2jHtglgeSC,deu,erklar bedeutung folgend ausdruck durchschnittssprech,2023.0,5
71,3kWiRs7UiwT6Iy8PLc6eSd,deu,wichtig mittel neu erkenntniss sachverhalt sprachlich bestehend mittel erfassen ubertragung eigentlich bedeutung ding bildlich vorstellen erklar ausdruck fussnot eigentlich bedeutung fuss,2030.0,21
83,1Lp9RuD9olT6GPuS0p3qDW,deu,betriebsabrechnungsbog bestehen drei kernelementen kostenrechnung handeln,3261.0,6
92,9D8EK0vMjSP7TyovoezosK,deu,ausgangslag privatschul ag bitten bewertung aktiv passiv hilf mobiliar schule veralten daher wurd anfang neu mobiliar pulen stuhl etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr linear restweren abgeschrieben nettoverausserungswert end chf schatzen frage begrunden unten stehend textfeld stichwortartig vorgehen warum vorgegang punkt ziel vorgehen hilf gesetzlich bestimmung begrunden konn,2080.0,57
93,7VMqCoMCVKt9q3MA6S8OMF,deu,ausgangslag privatschul ag jahr fur kaufprei chf liegenschaft grossen gebaud erworben schulgebaud nutzen liegenschaft schulgebaud befinden gut lage zurich marktwert per end chf schatzen frage begrunden unten stehend textfeld stichwortartig vorgehen warum vorgegang punkt ziel vorgehen hilf gesetzlich bestimmung begrunden konn,2080.0,41
94,36q34vkz1298xvBYZgQIcr,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert chf kur kaufen schlusskur bilanzstichtag end betragen frage begrunden unten stehend textfeld stichwortartig vorgehen warum vorgegang punkt ziel vorgehen hilf gesetzlich bestimmung begrunden konn,2080.0,35
95,5MmwA7Y7AIs6QHqfqywBJx,deu,warenhandelsunternehmen bilden immer warendrittel zug bewertung warenlag geschehen still reserv warenlag abnehmen erklar unten stehend textfeld stichwortartig punkt,2080.0,18
96,4o6BJYhx09aarfMLMpExcJ,deu,einfluss hoch umrechnungskurs fur verbindlichkeit fremd wahrung bildung still reserv erklar unten stehend textfeld stichwortartig punkt,2080.0,16
97,5JuMwWdXR7b6T4NFvlrqbL,deu,einfluss auflosung still reserv gewinn geschaftsjahr extern intern erfolgsrechnung erklar unten stehend textfeld stichwortartig punkt,2080.0,15
98,3WWcJfgwQWk8mvXsx9ImNh,deu,einfluss bildung still reserv gewinn geschaftsjahr extern intern erfolgsrechnung erklar unten stehend textfeld stichwortartig punkt,2080.0,15
99,XTNtgSiTKh6s7fEpECwbr,deu,still reserv handelsbilanz still reserv steuerbilanz behandeln erklar unten stehend textfeld stichwortartig punkt,2080.0,13
100,9t7QBrdZd9M7rMrsfuhIpx,deu,ausgangslag handel ag klein warenhandelsunternehmen beauftragen wirtschaftlich lage unternehmen beurteilen mitarbeit buchhaltung stellen folgend kennzahl verfugung liquiditatsgrad eigenkapitalquot liquiditatsgrad anlagedeckungsgrad intensitat umlaufvermog liquiditatsgrad intensitat anlagevermog frage beurteilen anhand relevante kennzahl -- kapitalstruktur unternehmen begrunden unten stehend textfeld stichwortartig punkt,2080.0,39
101,8lCKfuC7z6p7g27v8bziwz,deu,ausgangslag handel ag klein warenhandelsunternehmen beauftragen wirtschaftlich lage unternehmen beurteilen mitarbeit buchhaltung stellen folgend kennzahl verfugung liquiditatsgrad eigenkapitalquot liquiditatsgrad anlagedeckungsgrad intensitat umlaufvermog liquiditatsgrad intensitat anlagevermog frage beurteilen anhand relevante kennzahl -- liquiditat unternehmen begrunden unten stehend textfeld stichwortartig punkt,2080.0,39
102,9PMk4k18gNu8ddymLYshi1,deu,ausgangslag handel ag klein warenhandelsunternehmen beauftragen wirtschaftlich lage unternehmen beurteilen mitarbeit buchhaltung stellen folgend kennzahl verfugung liquiditatsgrad eigenkapitalquot liquiditatsgrad anlagedeckungsgrad intensitat umlaufvermog liquiditatsgrad intensitat anlagevermog frage beurteilen anhand relevante kennzahl -- anlagedeckung unternehmen begrunden hilf golden bilanzregel unten stehend textfeld stichwortartig weiter kennzahl ware hilfreich fur beurteilung anlagedeckung punkt,2080.0,49
103,8oI2GE04oZ0aRBvJpK9MOP,deu,ausgangslag beispiel ag klein detailhandelsunternehm buchhalt beispiel ag bitten beurteilung unternehmen hilf stellen paar kennzahl verfugung eigenkapitalquot anlagedeckungsgrad eigenkapitalrentabilitat liquiditatsgrad gesamtkapitalrentabilitat intensitat anlagevermog fremdkapitalzin betragen frage beurteilen anhand relevante kennzahl -- kapitalstruktur unternehmen begrunden unten stehend textfeld stichwortartig berucksichtigen dabei leverag effekt punkt,2080.0,43
104,7bw06WDQPJV5QYYsmItCPd,deu,ausgangslag beispiel ag klein detailhandelsunternehm buchhalt beispiel ag bitten beurteilung unternehmen hilf stellen paar kennzahl verfugung eigenkapitalquot anlagedeckungsgrad eigenkapitalrentabilitat liquiditatsgrad gesamtkapitalrentabilitat intensitat anlagevermog fremdkapitalzin betragen frage beurteilen anhand relevante kennzahl -- rentabilitat unternehmen begrunden unten stehend textfeld stichwortartig punkt,2080.0,39
105,8NahvEDSTPdaEps0wNLf5l,deu,ausgangslag beispiel ag klein detailhandelsunternehm buchhalt beispiel ag bitten beurteilung unternehmen hilf stellen paar kennzahl verfugung eigenkapitalquot anlagedeckungsgrad eigenkapitalrentabilitat liquiditatsgrad gesamtkapitalrentabilitat intensitat anlagevermog fremdkapitalzin betragen frage beurteilen anhand relevante kennzahl -- anlagedeckung unternehmen begrunden hilf golden bilanzregel erlautern gold bilanzregel notier antwort stichwortartig unten stehend textfeld punkt,2080.0,47
106,219f5joqQql7XDySwYd25v,deu,zeigen geldflussrechnung antwort bitt kurz satz punkt,3497.0,7
107,8KQDnETWlW588jCixnINxC,deu,nennen drei bereich geldflussrechnung punkt,3497.0,5
108,4BVgGOMT8lc7a9OVzceRfy,deu,grund geldflussrechnung drei bereich betriebstatigkeit investitionstatigkeit finanzierungstatigkeit gliedern antwort bitt kurz satz punkt,3497.0,13
109,76nhkazQaKY95MpLDzRLxU,deu,beschreiben indirekt cashflow berechnung kurz satz punkt,3497.0,7
110,3I0z2itiCCK8beR3pvnKAB,deu,nennen drei informationslucke bilanz erfolgsrechnung hilf geldflussrechnung schließen punkt,3497.0,9
111,3KaehXdPxUk9ronkE202Eq,deu,begrunden kurz satz weshalb folgend aussag vorherige aufgabenstellung falsch punkt erfolgsrechnung zeigen aufwand ertrag period sowi ursach fur veranderung eigenkapit aufbau,3497.0,21
112,9joSdj86KKC9fiML1D4ECL,deu,begrunden kurz satz weshalb folgend aussag vorherige aufgabenstellung falsch punkt erfolg unternehmen hangen eng geldfluss zusammen erfolgsrechnung zeigen demzufolg zahl gewinn verlust geldflussrechnung zunehmen abnahm flussig mittel,3497.0,27
113,3fOgFu7o7g8v4d4SkpwMC,deu,unternehmen weisen letzter funf jahr jeweil stark negativ operativ cashflow beurteilen basierend inform geschaftstatigkeit unternehmen antwort bitt kurz satz punkt,2986.0,20
114,9k6o4V3qB4k7Ts6ezK5cZT,deu,unternehmen weisen letzter funf jahr jeweil stark negativ operativ cashflow einfluss finanzierungsmassnahmen investitionstatigkeit unternehmen antwort bitt kurz satz punkt,2986.0,19
115,33KQBcgBh187qHk5LUhgEe,deu,bedeuten negativ finanziel cashflow period erklar kurz satz punkt,2986.0,9
116,2QXR9xomSRh911HWQchHCq,deu,bedeuten negativ investiv cashflow period erklar kurz satz punkt,2986.0,9
117,8KEdgw9QEyC5ISCU0kjxuh,deu,bedeuten positiv finanziel cashflow period erklar kurz satz punkt,2986.0,9
118,6YNymtRvUNj66i8zNki3h2,deu,bedeuten positiv investiv cashflow period erklar kurz satz punkt,2986.0,9
119,5fffcrwUoxL9DvmznUa1r4,deu,begriff cashflow meinen erklar begriff cashflow kurz satz punkt,2986.0,9
120,4basKSii3LSaDdxCST67bD,deu,erklar begriff nettoinvestition kurz satz punkt,2986.0,6
121,5A3DWMsshT79Tz4FkxLX7i,deu,free cashflow definieren differenz cashflow nettoinvestition erklar kurz satz bedeutung free cashflow punkt,2986.0,13
135,5YSAZzIwF7X5TWAJC8e3GC,deu,geeignet planungsinstru erleichtern zeitmanag manuel zeitplanungsinstrument agenda terminkalend vorteil bei handschriftlich erfassen gut ereigniss ziel konzentrieren aufschreeben elektronisch instrument smartphon softwareprogramm microsoft outlook vorteil,2121.0,24
136,aW1cigyt9Dv8AuJ1NVEScY,deu,regel unterscheiden vier stressore zwei stressore geben neben physisch stressore physikalisch stressore,2121.0,12
137,3JHeSWEVyIO5S90KA5w2SW,deu,vollstandig erledigen konntest musst pendenzen fur nachsen planungsperiod vormerken frage musst stellen verspatung lernen,2121.0,14
138,4WzJ5WFl51g9ptTrLhU9Jx,deu,method sehen sech teilnehmend person idee funf anhort wofur stehen nummer drei,2121.0,12
139,bmNTbN2PAUPb3dQzMSjL2J,deu,x losung gleichung sqrt x x begrund antwort rechnerisch,998.0,9
143,agc5YUXf1h78fQClVlyL3B,deu,ergonomisch arbeitsplatz stress arbeit erhohen element arbeitsplatz konne stressoren optim einrichten bzw einstellen,2121.0,13
144,2M7PjGVb5NJ6AHpnIJele0,deu,korrekt begriff fur materi einkauft weiterverarbeiten,,6
145,37to077dDzG9FI861q9PPj,deu,nennen drei element stichwortartig schrein produktionsprozess vorleistung dienen,,8
146,10uWbJNdAWK7SMZLrzj4Uy,deu,nennen drei element stichwortartig produktionsprozess schrein investit fungieren,,8
147,aAZ13FjbBFWaYnv8yBnrml,deu,beschreiben kurz begriff sponsor verstehen,,5
149,48ehdboYg586wOdrB9eWvC,deu,nennen erster schritt erstellung portfolioanaly,,5
150,V2YX6VyfNZ68E5B35toMD,deu,beschreiben kurz satz nachteil portfolioanalys,,5
151,5S8B2mvmpZp5T0qmfdYgVa,deu,risiko konn bei produktporfoliomanag auftreten,,5
152,14y80JayU309cnhK7tOFrq,deu,nennen drei univariat statistik,,4
155,9wqqG3LAIy46f4WiRky43d,deu,beschreib tag drei stichworte,1.0,4
157,7pPnbyBV2pVaNfgp46HzNs,deu,bild satzgefug mehrer satz stilistisch gut d h verstandlich pilotin neben pionierin luftfahrt heuen kenn amelia earhart vergessenheit geraten dürfen ebenso mutig erfolgreich elli beinhorn deutsch hannov erst frau allein welt fliegen,3244.0,32
158,5T6iTNNbQm99Ibg3-410Om,deu,verdeutlich aussag unten stehend text nummeriert stelle konnektoren z b namlich usw einfugst satz entsprechend umformulierst dadurch ergeben einfach satzen teil satzgefug verlasse schlitten fuhrt rapid verschlechterung bacon gesundheitszustand scharen arzt reise pflege hauptstadt stalljung wichtig beobachtunge mehr bacon vorgelassen fuhrt experi fort stellen fest gefroren huhn zwei woche keinerlei zeichen verwesung feststellen schliesslich sterben bacon stalljung arzte ergebni experi anvertrau interessier dafur bertolt brecht text experi,3273.0,67
159,863IcwydXxA5U3mIe3fVqA,deu,passieren bauernhof antwort kurz satz,,5
160,3MFNU0xZBMP8avxaE7ORjH,deu,geben schreinerwerkstatt antwort kurz satz,,5
162,1WuhVWGt29g7493WIHOipn,deu,beschreib scheitelpunkt parabel finden form f x ax bx c vorliegen verwend f x x x beispiel,1020.0,17
195,WBpXGmPRwzaCY4ClvaQEF,deu,valeri hingegen sicher multimo stichprobe studi geeignetst herangehensweis technik nennen vorteil multimo stichprobe studi,3260.0,14
196,8x49ANzDeR68hd1Rve3HhF,deu,existieren divers unterschiedlich erhebungstechniken valeri adri darub fur anliegen gut eignet adri uberzeugen interviewtechnik gut eignen nennen vorteil interviewtechnik,3260.0,19
197,8nSPwIuZTuI7NbV8yYi3GA,deu,beschreiben phase rational einsicht kurz satz,3260.0,6
198,T7VVus4cqt8rgQjgRR3rz,deu,nennen nachteil multimo stichprobe studi,3260.0,5
199,2SPSEO6CyXPatDRBRl5jVI,deu,nennen nachteil interviewtechnik,3260.0,3
200,7VEtWZ73oQo8phqt0dMguf,deu,beschreiben phase genehmigung neu gerichtsbarkeit satz,3260.0,6
201,9UjOSEqJw3HaKHCRBEc1Wm,deu,beschreiben phase experimentieren lernen satz,3260.0,5
202,5uBTwJWddIH7ajvEqJF0TR,deu,beschreiben phase schock uberraschung satz,3260.0,5
203,4NlwX5crHsL6M3Eaj1pd6A,deu,beschreiben phase verankerungsfahigkein kontinuierlich verbesserung satz,3260.0,6
204,331yW9uCxx6afmJcSHxVgL,deu,beschreiben phase akzeptanz emotional krise satz,3260.0,6
205,41I0KxO9aLF9wiaoeTu0Hm,deu,beschreiben phase verweigerung realitat satz,3260.0,5
207,2p9YifGrDyD6M2S6g6hBL1,deu,besuchsvormittag filmt mutter geschehen klassenzimm smartphon lehrerin bea sprechen darauf worauf mutter antworten aufnahm sein furer personlich gebrauch bea reagier begrunden antwort,3465.0,22
224,8uADf6QNx3G8oj2gp8xRpD,deu,unten stehend text enthalt viel bildhaft ausdruck gib stichwort bildbereich stammen dax schnupperen hohenluft nervositat anleg sinken zuruckeroberung punkt mark weisen dax aktuel grosser wert deutsch leitindex klettern dienstag prozent punkt erreichen hochsten stehen seit oktob eurostoxx erklomm punkt achteinhalb monat hoch,4256.0,42
225,1oCD1jwI7po7dpaMvSMJ1J,deu,wichtig mittel neu erkenntniss sachverhalt sprachlich bestehend mittel erfassen ubertragung eigentlich bedeutung ding bildlich vorstellen erklar ausdruck kopffussl kinderzeichnung eigentlich bedeutung fuss,2030.0,22
226,4UKYL7KRBUa5ViOV9haVWp,deu,beschreib unten stehend auszug adolf ogi neujahrsred wirkung markiert stilmittel danken drei generation land letzter jahrhundert dienen wissen konn turbulent zeit fuhrt modern gerecht sozial staatswesen schaffen bieten sicherheit stabilitat wohlstand dafur dankbar,4256.0,33
227,aNOd4U6SQog6IADxUVpXuO,deu,form markiert teilsatz nebensatz markiert satz belassen form musst allenfal reihenfolg teilsatz umstellen geben prufung fruhzeitig ab namlich bereit komplett gelost,3244.0,21
230,1ZufFiW9a807ypujXsic0G,deu,wandl folgend satz passivsatz wobei ursich urheb handlung nennst entsprechend zeitform beibehaltst feier neu bundesratin bevolkerung personlich begrussen,3175.0,18
231,5iMKx4H8snN6tkBDHegsqf,deu,wandl folgend satz passivsatz wobei ursich urheb handlung nennst entsprechend zeitform beibehaltst gemeind politikerin gebuhrend empfangen,3175.0,16
235,7NsFGRAqIZP9U1b0uPmtww,deu,markieren ausdruck inhaltlich falsch ersetz passender frau verdrehen luckenlo kopf,2025.0,10
236,4W9YF4hYaTV9bBIVhEtr5c,deu,markieren ausdruck inhaltlich falsch ersetz passenderen aufgrund sach bekommen anklagen todesstraf,2025.0,11
237,78FzLm33yBg63G5hr4wKgF,deu,srf -- fordern epidemiolog marcel salath endlich hebel gang legen coronaviru beizukommen stimmen metaph,2025.0,14
238,6hn3yXXHvj39b4spdQ9bTH,deu,oberbegriff folgend ausdrucken amsel drossel fink ent,2026.0,7
239,4Ama0xpL4uK6AjvRqyQMo2,deu,oberbegriff folgend ausdrucken habichen falk bussard,2026.0,6
240,6aK3d8r8moa9y3S3lTf7C9,deu,oberbegriff folgend ausdrucken fohr ficht larch,2026.0,6
241,1uvVzrUUHrE8LJwQLiFWod,deu,oberbegriff folgend ausdrucken schienbein ellbogen oberschenkel,2026.0,6
242,24X3TRyW0Jt6svqbiTsBiL,deu,oberbegriff folgend ausdrucken buch tann esch,2026.0,6
