taskId,language,description,context,tenant_id,tenant_name,topic_name,topic_description,word_count,preprocess_desc,preprocess_context
15224,4M6yoJCBEbQ6zaztY5bG1U,eng,Describe what you have to do in order to neutralize an acid?,,48.0,aspect-api-playground,,,12,describ order neutral acid,
15225,2FVWlAlScuC9XzyS5SarpA,eng,Describe the interaction between the girl and the dog in the following picture:,,48.0,aspect-api-playground,,,13,describ interact girl dog follow pictur,
15254,6sOw5A7zvCF7CDiLo4Uk7q,eng,Which steps of the five step process were utilized in the video? Name the steps in keywords.,,47.0,Courses,,,17,step five step process util video name step keyword,
15255,arpZLB27MYq9MWTotPuJAy,eng,"In the video, which statements of the person giving feedback corresponded to “step 3 - impact statement”? Answer in keywords.",,47.0,Courses,,,20,video statement person give feedback correspond step impact statement answer keyword,
15256,30w35zN4NWl7TF1fAG1iMQ,eng,What benefits would emerge in this situation if the missing step 4 were included? Answer in keywords.,,47.0,Courses,,,17,benefit would emerg situat miss step includ answer keyword,
15273,9XdyGVcMBQ46XuuEclSfFn,eng,What did you do yesterday?,,1.0,Lernnavi,,,5,yesterday,
15297,4jBgdq0UJJR7scU2V53dkN,eng,Why do we often dislike giving feedback?,,47.0,Courses,,,7,often dislik give feedback,
15302,RfcCuYoNUe7RBgytJfh1F,eng,What is constructive feedback? Name and explain the three types of constructive feedback.,,47.0,Courses,,,13,construct feedback name explain three type construct feedback,
15308,85nHGOb6zvv8RokLjNPzAr,eng,What is happening here? Write a short sentence.,,40.0,demo_EN,EN_Content,,8,happen write short sentenc,
15315,2UVS16Mi27J75Gf1zgggkX,eng,When did Caroline move to the countryside near Edinburgh?,,51.0,digione_openworld,,,9,carolin move countrysid near edinburgh,
15316,7HvXcqMsD1k6pqiCuLhyL4,eng,"Read the following text and answer the question below: A chimpanzee uses its face to express different feelings. It grins or sneers to show it is excited or afraid. It presses its lips together if it wants to impress another chimp. When it plays, a chimp generally has an open smile with its top teeth covered. Apart from its face, a chimp also uses body language to communicate. For example, its hair stands on end when it is excited. That reaction can also mean that it is afraid. When it is aggressive, it usually raises its arms or hits the ground and stares at another animal. A chimp normally produces more than 15 different types of call. For example, there is a special identification call that will help its family find it. When chimps play, they often make a sound similar to our laughter. Body contact is very important for preserving harmony in a group of chimpanzees. That is why chimpanzees often groom each other for hours. It helps them stay calm and creates feelings of friendship. What is the most interesting fact in the text, in your opinion?",,30.0,openworld,,,189,read follow text answer question chimpanze use face express differ feel grin sneer show excit afraid press lip togeth want impress anoth chimp play chimp gener open smile top tooth cover apart face chimp also use bodi languag commun exampl hair stand end excit reaction also mean afraid aggress usual rais arm hit ground stare anoth anim chimp normal produc differ type call exampl special identif call help famili find chimp play often make sound similar laughter bodi contact import preserv harmoni group chimpanze chimpanze often groom hour help stay calm creat feel friendship interest fact text opinion,
15317,3HutfSnU3Aq89ZhbTCeIPx,eng,What does this animal say? Write a sentence.,,30.0,openworld,,,8,anim say write sentenc,
15351,7shbJvksDqe6w8GxYWYPjM,eng,"What words do you memorize from the this level? Name one Subject, one Predicate and one Object, write in German:",,8.0,demo,,,20,word memor level name one subject one predic one object write german,
15352,6yifOPK7btOaqZ7s9oUch4,eng,Write a sentence with the words that you learned in this level.,,8.0,demo,,,12,write sentenc word learn level,
15353,vq7MNPDXoX8gG1TfdUzZf,eng,Write a short story paragraph with the words that you learned in this level.,,8.0,demo,,,14,write short stori paragraph word learn level,
15368,9xrUaOZaijq9iVxHOdtDmy,eng,What does this animal say? Write a sentence.,,51.0,digione_openworld,,,8,anim say write sentenc,
15371,a9x0z2UCcRh5zCmeXY1zk4,eng,When did Howie Nicholsby open his own shop?,,51.0,digione_openworld,,,8,howi nicholsbi open shop,
15377,8lxRyLzStOK9eUhNRal38O,eng,Describe the interaction between the girl and the dog in the following picture:,,66.0,Getmorebrain PoC EN,,,13,describ interact girl dog follow pictur,
15378,aazKG44PsKc5UnpTiDECut,eng,Write three short sentences about yourself or someone else. Write in present continuous and use each of the following verbs once: love - fear - hate Example : I love cats.,,66.0,Getmorebrain PoC EN,,,31,write three short sentenc someon el write present continu use follow verb love fear hate exampl love cat,
15386,6ruggOUwPBc9VefB2TD28P,eng,What do you know about the blockchain?,,47.0,Courses,,,7,know blockchain,
15387,ZLpjqCRnUf6QF60wvEhBt,eng,Which blockchain topics are you familiar with? Answer in keywords.,,47.0,Courses,,,10,blockchain topic familiar answer keyword,
15388,xaGpHjZXZL62HIdbeTEkg,eng,"Korrigiere den Satz ""hello, my name is kaptain cook..""",,63.0,digione_staging,,,9,korrigier den satz hello name kaptain cook,
15399,6P87Q52yNtW6JpIm040QHJ,eng,What do you know about climate change? Summarize in max. 30 words.,,66.0,Getmorebrain PoC EN,,,12,know climat chang summar max word,
15400,63suDE8D54Z7PXe4WUmQrH,eng,What do you know about climate change? Summarize in max. 30 words.,,40.0,demo_EN,,,12,know climat chang summar max word,
15401,28NfdA6EwPi5Ld88l1sl6i,eng,How should one behave in a building during an earthquake?,,66.0,Getmorebrain PoC EN,,,10,one behav build earthquak,
15403,14ambh1obhw7TYMQE8lcC1,eng,"Write a short text (3-5 sentences) in past simple . Use the words usually , sometimes and never .",,40.0,demo_EN,,,19,write short text sentenc past simpl use word usual sometim never,
15404,8EmBlP6vc49aUpqCFODjiR,eng,"Gib ""I do'nt know what two write."" ein.",,63.0,digione_staging,,,8,gib not know two write ein,
15405,3elDg8Bsg126ktrMA9XnQ7,eng,Write a sentence in past simple . Use one of these words: usually or sometimes .,,40.0,demo_EN,,,16,write sentenc past simpl use one word usual sometim,
15412,25RGLvb2p0G5zulfX9xQOj,eng,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture. Use two of the listed verbs in the present progressive form. drink eat laugh listen to read smile wear work,,40.0,demo_EN,EN_Content,,42,man woman write sentenc posit neg happen pictur use two list verb present progress form drink eat laugh listen read smile wear work,
15413,18Ccvc8NMJT5xqLv9nAgTH,eng,What does this animal say? Write a sentence.,,63.0,digione_staging,,,8,anim say write sentenc,
15427,a0s1XNwpeGQ9pLGnqdkhni,eng,"Tranlate: ""I love my dog""",,25.0,other_tenant,,,5,tranlat love dog,
15428,7XyIGD5tZe85NDHIxMFvXA,eng,What are the people doing? Write a sentence on what is happening now in the picture. Use two of the listed verbs in the present progressive form. ask buy carry sell,,58.0,client_EN,Language learning,,31,peopl write sentenc happen pictur use two list verb present progress form ask buy carri sell,
15456,5DHsZ2qeOj66KMKq8ScRLz,eng,"BE, KNOW, DO concept of leadership What should a good leader be , know and do ? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,58.0,client_EN,,,35,know concept leadership good leader know write one concept keyword get bonu point give exampl concept,
15535,9TYXjQ0ixmr7vPazqDnrmI,eng,What do you celebrate on Swiss National Day?,,23.0,connectsolutions_test_de,,,8,celebr swiss nation day,
15560,25Y2BLZGCpkay0f4dRrvpf,eng,Describe the interaction between the girl and the dog in the following picture:,,58.0,client_EN,Content,,13,describ interact girl dog follow pictur,
15561,3Jr6T26XL13aKRh31JX0xi,eng,You are one of the people in the picture visiting London. You are going to write about a day in London from her / his point of view. Write a short text (4-6 sentences) in the simple past about her / his experience. Questions like these below can help you. ORIGINAL CLIENT QUESTION,,40.0,demo_EN,Content,,53,one peopl pictur visit london go write day london point view write short text sentenc simpl past experi question like help origin client question,
15586,9BEPLYwJtle6SNFq4iKN0U,eng,Write a sentence in english,,25.0,other_tenant,,,5,write sentenc english,
15606,7olXITeLPhA7lpuJNFI0x0,eng,"It is widespread knowledge that Christmas is the celebration of the birth of Jesus Christ; brought to the world from the Virgin Mary, who was told that she would be birthing a child. Who told this to Mary?",,8.0,demo,,,38,widespread knowledg christma celebr birth jesu christ bring world virgin mari tell would birth child tell mari,
15611,9Mc5FyG63rf6kYt9niCyf1,eng,"Great Expectations by Charles Dickens My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So I called myself Pip, and came to be called Pip. I give Pirrip as my father's family name, on the authority of his tombstone and my sister — Mrs. Joe Gargery, who married the blacksmith. As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. The shape of the letters on my father's gave me an odd idea that he was a square, stout, dark man with curly black hair. From the character and turn of the inscription, ""also Georgiana wife of the above,"" I drew a childish conclusion that my mother was freckled and sickly. To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine—who gave up trying to get a living exceedingly early in that universal struggle — I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trowsers-pockets, and had never taken them out in this state of existence. Read the text carefully and answer the following question. Who is the wife of the blacksmith?",,40.0,demo_EN,,,260,great expect charl dicken father famili name pirrip christian name philip infant tongu could make name noth long explicit pip call pip come call pip give pirrip father famili name author tombston sister mr joe gargeri marri blacksmith never see father mother never see like either day long day photograph first fanci regard like unreason deriv tombston shape letter father give odd idea squar stout dark man curli black hair charact turn inscript also georgiana wife draw childish conclus mother freckl sickli five littl stone lozeng foot half long arrang neat row besid grave sacr memori five littl brother mine give tri get live exceedingli earli univer struggl indebt belief religi entertain bear back hand trowser pocket never take state exist read text care answer follow question wife blacksmith,
15616,3Q2XVF2pxuk80nm3RKCEgR,eng,"Snowflake Geometry! We all know snowflakes look beautiful, but did you know they are also tied to a very interesting mathematical object called a dihedral group ? Put simply, there are two 'transformations' we can apply to a snowflake, and it will still look the same! What could these transformations be? Hint: Could you place a mirror on one half of the snowflake to make its reflexion match?",,8.0,demo,,,68,snowflak geometri know snowflak look beauti know also tie interest mathemat object call dihedr group put simpli two transform appli snowflak still look could transform hint could place mirror one half snowflak make reflexion match,
15618,acULs3NPhSo8GoCnzRr550,eng,What gifts will you be getting your family? Hint: Provide a list of simple keywords,,8.0,demo,,,15,gift get famili hint provid list simpl keyword,
15619,bFnkviohpp9w8xLXYyFgj,eng,"A tragically beautiful incarnation of the Christmas Spirit was on December 25 1914, when WWI soldiers crossed no man's land to celebrate a Christmas truce. This ceasefire even ended in some shared carols, and even football matches! Which countries were involved in this Christmas truce?",,8.0,demo,,,45,tragic beauti incarn christma spirit decemb wwi soldier cross man land celebr christma truce ceasefir even end share carol even footbal match countri involv christma truce,
15620,3ic4WkJzo38a3N18uRT4dN,eng,Describe the interaction between the girl and the dog in the following picture:,,76.0,Aila,,,13,describ interact girl dog follow pictur,
15622,qvpFCnVIvh9KSq5Zj8wpy,eng,Can you name some ingredients that go into eggnog?,,8.0,demo,,,9,name ingredi go eggnog,
15623,4ZtMfsnqJOQabCc7IApHJN,eng,How do we wish someone a Merry Christmas in French?,,8.0,demo,,,10,wish someon merri christma french,
15628,1eCGJjuvqMWa0XbPT8455E,eng,What are some signs of aging? (Give a concise answer),,40.0,demo_EN,,,10,sign age give concis answer,
15633,2UMtJUswomA7LRi0R8WvXz,eng,Write what you hear: (John plays with the cat).,,58.0,client_EN,,,9,write hear john play cat,
15634,5u9DZIU6uoD8WzGcFOR339,eng,"Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,58.0,client_EN,Language learning,,33,write sentenc p ast simpl use one word usual sometim test feedback write someth like drink usual coffe morn,
15635,3dJg4CNE4M6745TGO3hpJu,eng,"What are the five phases of Project Management? To test the feedback, write something like : meeting, scoping, realization",,58.0,client_EN,,,19,five phase project manag test feedback write someth like meet scope realiz,
15636,5qBvawWa1k182LVJCTe121,eng,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",,58.0,client_EN,Content,,34,event earthquak build give recommend test feedback write someth like run around scream,
15637,3gKnqzVuNvU5AgcrVVzhqc,eng,"What have you learned about climate change? To test the feedback, write something like : ""Climate change is not a serious threat.""",,58.0,client_EN,Content,,22,learn climat chang test feedback write someth like climat chang seriou threat,
15643,2HXatST9nZb6pCE7sJuWBr,eng,"This content belongs to Klett und Balmer Verlag. Find more information about the product here: digione.ch Why I love Edinburgh I first visited Edinburgh as a child with my parents and my sister. I thought it was a magical city with a very special atmosphere. It’s small enough to get around easily and not feel lost, but big enough that there’s a lot to do. So after I left school, I decided to go to university there. It was a good decision – I had a wonderful time! The locals were really friendly and after some time I even started to understand the Edinburgh accent. In fact, I loved Edinburgh so much that I stayed after university. At first I lived and worked in the city, but after I met my husband (who is a true Scotsman!) we moved to the countryside nearby. I work from home now as I have my own business. But I love to drive to the city at the weekend in my Mini. Last week my parents came to stay and we visited Edinburgh Castle and the Scottish National Gallery. One day we took the children to the zoo, and another day we took a boat out to Inchcolm Abbey on a nearby island. Most days we had a picnic lunch in the Princes Street Gardens.I love that there are so many different things to do in Edinburgh. This city really has become my home now. I couldn’t imagine moving away! Answer the question in a full sentence: Why did Caroline move to Edinburgh? (""She moved to Edinburgh to study and because she loved the city.”)",,27.0,Schulverlag plus,,,271,content belong klett und balmer verlag find inform product digion ch love edinburgh first visit edinburgh child parent sister think magic citi special atmospher small enough get around easili feel lose big enough lot leave school decid go univer good decis wonder time local realli friendli time even start understand edinburgh accent fact love edinburgh much stay univer first live work citi meet husband true scotsman move countrysid nearbi work home busi love drive citi weekend mini last week parent come stay visit edinburgh castl scottish nation galleri one day take child zoo anoth day take boat inchcolm abbey nearbi island day picnic lunch princ street garden love mani differ thing edinburgh citi realli becom home imagin move away answer question full sentenc carolin move edinburgh move edinburgh studi love citi,
15644,4XqgBukjnrj5Ky0GUL8Isw,eng,Write what you hear: (John plays with the cat).,,27.0,Schulverlag plus,,,9,write hear john play cat,
15645,3786WSi5Nn58r5VZESlFst,eng,"Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,27.0,Schulverlag plus,,,33,write sentenc p ast simpl use one word usual sometim test feedback write someth like drink usual coffe morn,
15650,aqdN5okrn7v96q2pZ6draC,eng,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",,66.0,Getmorebrain PoC EN,,,34,event earthquak build give recommend test feedback write someth like run around scream,
15665,1Gs0VtDQxPH9WO8W15Revx,eng,Describe what you see on the image,,58.0,client_EN,,,7,describ see imag,
15670,aMnKVp4XSra33C9zSsDIR,eng,"What could the cat say in this situation if it could speak? Write a sentence. To test the feedback, write something like : ""Play with me!""",,58.0,client_EN,Language learning,,26,could cat say situat could speak write sentenc test feedback write someth like play,
15672,4AUaLoTasUk86ezdbK3d7q,eng,The student answer of thi s task is evaluated for grammar and spelling only. What are you're plans for this weekend? Write 3-5 sentences.,,58.0,client_EN,Language learning,,24,student answer thi task evalu grammar spell plan weekend write sentenc,
15673,8kVrscmjkny6CtVtjsqO30,eng,Put Words in Order Put the words below into the correct order to make sentences. from other communities | never | they | enemies | groom,,58.0,client_EN,,,26,put word order put word correct order make sentenc commun never enemi groom,
15674,8FV1FHxBMDF8vnTy6FtguO,eng,From Active to Passive The band sang a song from Queen. (A song from Queen was sung by the band.),,58.0,client_EN,,,20,activ passiv band sing song queen song queen sung band,
15675,8CHf6OTOwiM7b44ADOwK6P,eng,"Negate the Sentence This sentence about Caroline are not true. Correct it using negative sentences. Example : Caroline studied in Glasgow. Solution : No, she didn't study in Glasgow. She studied in Edinburgh. She understood the Scottish accent from the beginning.",,58.0,client_EN,,,41,negat sentenc sentenc carolin true correct use neg sentenc exampl carolin studi glasgow solut studi glasgow studi edinburgh understand scottish accent begin,
15676,6k8QjfUF2b472CVTPitx8q,eng,"The student answer to thi s task is evaluated for grammar and spelling, and additionally for tense and keyword. Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,58.0,client_EN,Language learning,,52,student answer thi task evalu grammar spell addit ten keyword write sentenc p ast simpl use one word usual sometim test feedback write someth like drink usual coffe morn,
15685,7YXAOXqXKk65WRBjKEmL0P,eng,How many reindeers does Santa Claus has and can you name one of them?,,40.0,demo_EN,,,14,mani reindeer santa clau name one,
15820,3eFwaoVZANA7mLeCSUdt8J,eng,highlight the keywords that apply to bob,,25.0,other_tenant,,,7,highlight keyword appli bob,
15891,8kr659BCDps8XfAdE4DYQR,eng,Put the words below into the correct order to make sentences. usually | removes | the pieces of skin | the other hand,,30.0,openworld,,,23,put word correct order make sentenc usual remov piec skin hand,
15892,PrboJKJLSM6Ok9R2YeF4t,eng,Put the words below into the correct order to make sentences. use | to groom another chimpanzee | they | their lips or teeth | sometimes,,30.0,openworld,,,26,put word correct order make sentenc use groom anoth chimpanze lip tooth sometim,
16119,R24rmdBVmI9QUQ59CeCil,eng,How should one behave in a building during an earthquake?,,8.0,demo,,,10,one behav build earthquak,
16120,2KO9ICLsLJT6Eqglg3Y4zi,eng,How should one behave in a building during an earthquake?,,8.0,demo,,,10,one behav build earthquak,
16121,4DKHXxkvaF762VkVZhc7kq,eng,What General Name Is Also Given To Natural Satellites?,,8.0,demo,,,9,gener name also give natur satellit,
16124,nqu0vtfgjH8ly72XMcGSF,eng,When was the battle of Waterloo?,,91.0,Cornelsen EN,,,6,battl waterloo,
16126,fq0rtjwXs79bZKorNNJxs,eng,When was the battle of Waterloo?,,91.0,Cornelsen EN,,,6,battl waterloo,
16438,3zbxDUoJVuh8Rptc9NhUqT,eng,When was the battle of Waterloo?,,114.0,api-trial-reda-at-upskyld.com,,,6,battl waterloo,
16439,4vji1aRS0588Bd9QAgwuow,eng,This task is just to Flirting with the bot.,,99.0,vocitrainer,,,9,task flirt bot,
16441,aAk14uhGibt7xiZ78wFhtZ,eng,This task is just to detect bullshit.,,99.0,vocitrainer,,,7,task detect bullshit,
16442,9ZrKp7cJzKOa3wdTsWJJSZ,eng,This task is just to detect Help / too difficult .,,99.0,vocitrainer,,,11,task detect help difficult,
16443,1aguJBiSWv89V7fICXsnQD,eng,This task is just to detect Finish early.,,99.0,vocitrainer,,,8,task detect finish earli,
16444,C58gcaiXIj95mU6JMbhwA,eng,This task is just to detect later / skip.,,99.0,vocitrainer,,,9,task detect later skip,
16445,4gt0xrzcJPu7q6gwyOAbOA,eng,This task is just to detect Theory .,,99.0,vocitrainer,,,8,task detect theori,
16677,akYulFrAa5n6nUUBiHNyBD,eng,A general off topic detector for the voci trainer. Only positive feedback is shown!,,99.0,vocitrainer,,,14,gener topic detector voci trainer posit feedback show,
16992,4i811yJMsQja4C3GII7BHS,eng,What does this animal say? Write a sentence.,,63.0,digione_staging,,,8,anim say write sentenc,
16993,2NqBhaOFPAC81UCkPE5Ggc,eng,What does this animal say? Write a sentence.,,51.0,digione_openworld,,,8,anim say write sentenc,
16994,5qzqbtE1MzG918eSLYHWa4,eng,What does this animal say? Write a sentence.,,51.0,digione_openworld,,,8,anim say write sentenc,
17041,4fK0HzN6ftp8lbg1ziA8Lr,eng,How should one behave in a building during an earthquake?,,40.0,demo_EN,,,10,one behav build earthquak,
17063,4APntIETx605Md7SoxZoEG,eng,Who is Spiderman? Describe in your own words up to 3 sentences.,,8.0,demo,,,12,spiderman describ word sentenc,
17064,2HdFq9ySLjcaMyk1Gzm3vG,eng,What is the capital of the USA? Give your answer in one word.,,8.0,demo,,,13,capit usa give answer one word,
17065,3uZ7sK6YDFN7a3BMz8upRy,eng,Who was George Washington? Describe in your own words in one sentence.,,8.0,demo,,,12,georg washington describ word one sentenc,
17069,1ApV4pA16hP9jvCS0CSkdh,eng,Answer the question in a full sentence: Why did Caroline move to Edinburgh?,,51.0,digione_openworld,,,13,answer question full sentenc carolin move edinburgh,
17070,3yVJtv9S0z49bdlTgpTgCs,eng,What does this animal say? Write a sentence.,,51.0,digione_openworld,,,8,anim say write sentenc,
17071,31SEpU0OluZabtx8GtxdHp,eng,What does this animal say? Write a sentence.,,51.0,digione_openworld,,,8,anim say write sentenc,
17072,3s6tMlF9an06LNiCLaTENK,eng,"Read the following text and answer the question below: A chimpanzee uses its face to express different feelings. It grins or sneers to show it is excited or afraid. It presses its lips together if it wants to impress another chimp. When it plays, a chimp generally has an open smile with its top teeth covered. Apart from its face, a chimp also uses body language to communicate. For example, its hair stands on end when it is excited. That reaction can also mean that it is afraid. When it is aggressive, it usually raises its arms or hits the ground and stares at another animal. A chimp normally produces more than 15 different types of call. For example, there is a special identification call that will help its family find it. When chimps play, they often make a sound similar to our laughter. Body contact is very important for preserving harmony in a group of chimpanzees. That is why chimpanzees often groom each other for hours. It helps them stay calm and creates feelings of friendship. What is the most interesting fact in the text, in your opinion?",,51.0,digione_openworld,,,189,read follow text answer question chimpanze use face express differ feel grin sneer show excit afraid press lip togeth want impress anoth chimp play chimp gener open smile top tooth cover apart face chimp also use bodi languag commun exampl hair stand end excit reaction also mean afraid aggress usual rais arm hit ground stare anoth anim chimp normal produc differ type call exampl special identif call help famili find chimp play often make sound similar laughter bodi contact import preserv harmoni group chimpanze chimpanze often groom hour help stay calm creat feel friendship interest fact text opinion,
17074,8EJMDBJdEYw9ui0EdxVZKG,eng,Who was George Washington? Describe in your own words in one sentence.,,8.0,demo,,,12,georg washington describ word one sentenc,
17083,ailLeGsc4fd9d2LvafZK8n,eng,Describe the interaction between the girl and the dog in the following picture:,,40.0,demo_EN,Content,,13,describ interact girl dog follow pictur,
17107,axuORmJciKT7iu1U9Q7YUw,eng,Choose one of the animals. Write one sentence to answer these quetions: How do these animals communicate? Why do they communicate? Animal : Ants Bees Whales,,51.0,digione_openworld,,,26,choo one anim write one sentenc answer quetion anim commun commun anim ant bee whale,
17120,2JxdRFjgIu37ssNUMHNtgY,eng,Say what they don't do. Katie | not play football in the garden,,135.0,EKV_Playground,,,13,say kati play footbal garden,
17121,2VzykMFwVgb8KZML6P51y1,eng,Read the comment on an online forum and write a reply. What is more important to you: competition or team spirit? Give reasons.,,135.0,EKV_Playground,,,23,read comment onlin forum write repli import competit team spirit give reason,
17122,ak0YrQtxqGuae3pR8VVcxv,eng,List the natural resources mentioned in the text and in the chart.,,135.0,EKV_Playground,,,12,list natur resourc mention text chart,
17123,jp3Bvx4d4a8cPjn4Oo7nO,eng,List all renewable natural resources mentioned in the text and in the chart.,,135.0,EKV_Playground,,,13,list renew natur resourc mention text chart,
17127,3DvxkIvJW856B0G9RNH5WC,eng,Put the words below into the correct order to make sentences. from other communities | never | they | enemies | groom,,51.0,digione_openworld,,,22,put word correct order make sentenc commun never enemi groom,
17128,6caoNTbeI319o7t279ut9b,eng,Put the words below into the correct order to make sentences. always | in communities | chimpanzees | live,,51.0,digione_openworld,,,19,put word correct order make sentenc alway commun chimpanze live,
17129,4C7LJ5jbzhaah43YRv0Kba,eng,Put the words below into the correct order to make sentences. look for lice | they | always | don't,,51.0,digione_openworld,,,20,put word correct order make sentenc look lice alway,
17130,6yMuYUiP1NawLzjDpKxPP,eng,Put the words below into the correct order to make sentences. generally | they | small pieces of skin | look for,,51.0,digione_openworld,,,22,put word correct order make sentenc gener small piec skin look,
17131,5ZmoN76LAXp80mxQEDy1G4,eng,Put the words below into the correct order to make sentences. sometimes | pieces of skin | take | they | away from each other's eyes,,51.0,digione_openworld,,,26,put word correct order make sentenc sometim piec skin take away eye,
17132,7GrvqohuDeL7FMf4YqCME3,eng,Put the words below into the correct order to make sentences. one hand to hold the hair back | use | chimpanzees | always,,51.0,digione_openworld,,,24,put word correct order make sentenc one hand hold hair back use chimpanze alway,
17133,9RgeoUjjlAK7pgMiKPSo9V,eng,Put the words below into the correct order to make sentences. usually | removes | the pieces of skin | the other hand,,51.0,digione_openworld,,,23,put word correct order make sentenc usual remov piec skin hand,
17134,8ZfzX4m3PoO5KXAPmZSp79,eng,Put the words below into the correct order to make sentences. use | to groom another chimpanzee | they | their lips or teeth | sometimes,,51.0,digione_openworld,,,26,put word correct order make sentenc use groom anoth chimpanze lip tooth sometim,
