taskId,tenant,language,title,description,context,topic,hints,solutionSteps,replacements,resource,sampleSolutions,stepifier,word_count
16567,7FFk3hJ8VXl5PxDmcM1yg6,Cornelsen DE,DE,DaF | Passiv Präsens - Abfall trennen,Schreiben sie den Satz im Passiv Präsens.In den meisten Haushalten trennt man Abfall.,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],"['<span data-sheets-userformat=\'{""2"":14655,""3"":{""1"":1},""4"":{""1"":2,""2"":16777215},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""11"":4,""14"":{""1"":2,""2"":16711680},""15"":""Calibri"",""16"":11}\' data-sheets-value=\'{""1"":2,""2"":""In den meisten Haushalten wird Abfall getrennt.""}\'>In den meisten Haushalten wird Abfall getrennt.</span>']",,,[''],KEYWORD,13
16568,1mfdXT4GupD5I8EgTdLjnb,Cornelsen DE,DE,DaF | Passiv Präsens - Bier trinken,Schreiben sie den Satz im Passiv Präsens.In Bayern trinkt man viel Bier.,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['<p>In Bayern wird viel Bier getrunken.</p>'],,,[''],KEYWORD,12
16569,3nyPPFNdnq3aWkfdyyblYZ,Cornelsen DE,DE,DaF | Passiv Präsens - Kaffee servieren,War wird hier gemacht? Schreiben Sie im Passiv Präsens:der Kaffee - servieren,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Der Kaffee wird serviert.'],,,[''],KEYWORD,12
16570,6jck1jG2yALa91FNC2Avae,Cornelsen DE,DE,DaF | Passiv Präsens - Ordner abholen,War wird hier gemacht? Schreiben Sie im Passiv Präsens:der Ordner - abholen,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Der Ordner wird geholt.'],,,[''],KEYWORD,12
16571,3DSHS6PDsDJ6jCx4ZaYAkq,Cornelsen DE,DE,DaF | Passiv Präsens - Kleidung einpacken,Ordnen Sie den Satz und schreiben Sie im Passiv Präsens.in Koffer und Taschen - Die Kleidung - wird - eingepackt,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Die Kleidung wird in Koffer und Taschen eingepackt.'],,,[''],KEYWORD,20
16572,3h77kJLwUzk9jnm3I5I72t,Cornelsen DE,DE,DaF | Passiv Präsens - Kühlschrank abstellen,Ordnen Sie den Satz und schreiben Sie im Passiv Präsens.wird - abgestellt - Der Kühlschrank,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Der Kühlschrank wird abgestellt.'],,,[''],KEYWORD,15
16573,acRRmel9dq79Mz98xPSL7U,Cornelsen DE,DE,DaF | Passiv Präsens - Kind untersuchen,Wer macht was? Schreiben Sie den Satz dann im Passiv Präsens.oft untersuchen: die Ärztin - das Kind,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Das Kind wird oft von der Ärztin untersucht.'],,,[''],KEYWORD,17
16574,5h3g4hte7GG97F5Dc8VSfx,Cornelsen DE,DE,DaF | Passiv Präsens - Medikament empfehlen,Wer macht was? Schreiben Sie den Satz dann im Passiv Präsens.empfehlen: die Ärztin - das Medikament,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],"['<span data-sheets-userformat=\'{""2"":14655,""3"":{""1"":1},""4"":{""1"":2,""2"":16777215},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""11"":4,""14"":{""1"":2,""2"":16711680},""15"":""Calibri"",""16"":11}\' data-sheets-value=\'{""1"":2,""2"":""Das Medikament wird von der Ärztin empfohlen.""}\'>Das Medikament wird von der Ärztin empfohlen.</span>']",,,[''],KEYWORD,16
16991,2OCzVPx47hE9q61ls1ggvQ,Cornelsen DE,DE,3 | 3.1 Gedicht | Einleitung der Interpretation,"Gottfried Benn (1886–1956)Reisen (1950)Meinen Sie, Zürich zum Beispielsei eine tiefere Stadt,wo man Wunder und Weihenimmer als Inhalt hat?Meinen Sie, aus Habana,weiß und hibiskusrot,bräche ein ewiges Mannafür Ihre Wüstennot?Bahnhofstraßen und Rueen,Boulevards, Lidos, Laan –selbst auf den Fifth Avenueenfällt Sie die Leere an –Ach, vergeblich das Fahren!Spät erst erfahren Sie sich:bleiben und stille bewahrendas sich umgrenzende Ich.Benutzen Sie folgenden Formulierungsbaustein um die Einleitung Ihrer Interpretation zu beginnen.In dem Gedicht … von … aus dem Jahr … fragt das lyrische Ich …",,"{'id': 5356, 'name': 'Feedback', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,79
17024,s8jsymMwfZ7Fn4A59dRSU,Cornelsen DE,DE,75e39795-56a7-4430-db66-c688e137c1b3,"Beschreibe deinen Hund. Erwähne hierbei die Rasse, die Farbe, die Größe, das Alter und was dir sonst noch einfällt.",,,[],['Mein Hund ist ein schwarzer Husky. Er ist sehr klein und erst ein Jahr alt.'],,,[''],SENTENCE,19
17026,4zCCSDzZTms68NuZVvcVct,Cornelsen DE,DE,Praeteritum Regelmaessige Verben Level 4,Schreiben den Satz im Präteritum.Gestern - erzählen - ich - eine Geschichte.,,,[],"['<span data-sheets-userformat=\'{""2"":14465,""3"":{""1"":0,""3"":1},""10"":0,""14"":{""1"":2,""2"":5538101},""15"":""Calibri"",""16"":11}\' data-sheets-value=\'{""1"":2,""2"":""Gestern erzählte ich eine Geschichte. ""}\'>Gestern erzählte ich eine Geschichte.&nbsp;</span>']",,,[''],KEYWORD,12
17055,SOMP2AgEC08C9MNNjovKJ,Cornelsen DE,DE,Konjunktiv 2 Level 5,"Formuliere einen Satz im Konjunktiv II, unter Verwendung der vorgegebenen Elemente.Du - mir heute Abend helfen können.",,,[],"['<span data-sheets-userformat=\'{""2"":12673,""3"":{""1"":0,""3"":1},""10"":0,""11"":4,""15"":""Calibri"",""16"":11}\' data-sheets-value=\'{""1"":2,""2"":""Du könntest mir heute Abend helfen""}\'>Du könntest mir heute Abend helfen.</span>']",,,[''],KEYWORD,17
17056,aY3j1u00B739hp4ZmHLVHe,Cornelsen DE,DE,Konjunktiv 2 Level 5 Briana,"Formuliere einen Satz im Konjunktiv II, unter Verwendung der vorgegebenen Elemente.Brianna - gerne mehr Geld haben",,,[],"['<span data-sheets-userformat=\'{""2"":12673,""3"":{""1"":0,""3"":1},""10"":0,""11"":4,""15"":""Calibri"",""16"":11}\' data-sheets-value=\'{""1"":2,""2"":""Brianna hätte gerne mehr Geld""}\'>Brianna hätte gerne mehr Geld.</span>']",,,[''],KEYWORD,16
17165,LiHAY4BB975PIk5fa7IuJ,Cornelsen DE,DE,Passiv Präsens mit Modalverben Level 5 Paket,Schreibe den Satz Passiv Präsens.das Paket - sollen - bringen,,,[],['Das Paket soll gebracht werden. '],,,[''],SENTENCE,10
17167,aYH2E7OnEXD6ZkBuRluem2,Cornelsen DE,DE,Reflexivpronomen Akkusativ und Dativ Level 4 Wellness,Schreibe den Satz mit dem passenden Reflexivpronomen.ich - sich entspannen - im Wellness-Center,,,[],['Ich entspanne mich im Wellness-Center.'],,,[''],SENTENCE,13
17271,7ZeBN122qi97fFI8wxKhDd,Cornelsen DE,DE,Konjunktiv 2 Level 5 tanzen,Schreibe den Satz im Konjunktiv 2.Ich - gerne mit dir tanzen.,,,[],['Ich <strong>würde </strong>gerne mit dir tanzen.<strong></strong>'],,,[''],SENTENCE,11
17657,3Dv5AAXYgqj8adX5uQOsXl,EKV_Physik,DE,r_2f0789cd_f831_469b_a42c_c8c5ed131ee6_4,"Erkläre, wieso man die Meeresschildkröte an der Wasseroberfläche gespiegelt sieht.","  Dieses dekorative Leuchtobjekt besteht aus vielen sehr dünnen durchsichtigen Fasern, aus deren Enden helles Licht austritt. Wieso können durchsichtige Glasfasern Licht leiten?   In Lichtleiterlampen wird Licht in Glas- oder Kunststofffasern geleitet, sogar über gekrümmte Wege. Das funktioniert auch mit einer „Wasserfaser“. Ein Lichtbündel tritt von links in den Auslauf eines Wasserbechers ein. Es „folgt“ dem Wasserstrahl, ohne ihn seitlich zu verlassen. Beim Übergang von einem optisch dichteren Stoff (wie Wasser) zu einem optisch dünneren Stoff (wie Luft) ist der Brechungswinkel immer größer ist als der Einfallswinkel. Die Bilder a) bis c) zeigen, dass bei einem bestimmten Einfallswinkel der Brechungswinkel 90° erreicht wird. Diesen Einfallswinkel nennt man Grenzwinkel α G . Ist der Einfallswinkel größer als der Grenzwinkel, kann keine Brechung mehr auftreten, das gesamte Licht wird reflektiert. Dieser Fall wird als Totalreflexion bezeichnet. In der Tabelle sind die Grenzwinkel für verschiedene Stoffpaare angegeben: Stoffpaar Grenzwinkel Wasser / Luft 49° Glas / Luft 42° Rubin / Luft 34° Diamant / Luft 24° Die folgende Abbildung zeigt ein Lichtbündel, das durch eine dünne Glasfaser geleitet wird. Der Einfallswinkel des Lichtbündels ist immer größer als der Grenzwinkel beim Übergang Glas-Luft. Das Licht wird also total reflektiert. Auch in Glasprismen kann eintretendes Licht total reflektiert werden. Die Abbildung zeigt ein Umkehrprisma und ein 90°-Prisma. Solche Prismen werden in optischen Geräten, z. B. Ferngläsern, verwendet. Sie können Spiegel ersetzen.   Beim Übergang vom optisch dichteren zum optisch dünneren Stoff kann Totalreflexion auftreten. Dazu muss der Einfallswinkel größer als der Grenzwinkel sein. ",,[],[],,,"['"" Die Blickrichtung des Unterwasserfotografen bezüglich der Wasseroberfläche ist so flach, dass nur Licht aus dem Wasser, das an der Grenzfläche total reflektiert wird, von ihm registriert werden kann. Die relativ glatte Wasseroberfläche reflektiert das von den gut beleuchteten Gegenständen unter Wasser ausgehende Licht wie ein Spiegel. (Bei glatter Oberfläche alles sehen, was die Uferlinie überragt – unabhängig von der Schwimmtiefe – kann ein Taucher nur innerhalb eines nach oben offenen Blickrichtungs-Kegels, dessen halber Öffnungswinkel gleich dem Grenzwinkel der Totalreflexion für den Übergang Wasser-Luft ist (ca. 49°). Der Winkel der Blickrichtung bezüglich der Wasseroberfläche muss also kleiner als 49° sein, um Dinge oberhalb davon sehen zu können.) ""']",SENTENCE,10
17658,1yGmHUWBaOS9s7NQgVX03j,EKV_Physik,DE,r_09a17e4d_eb9e_413a_9d7b_3452b78bbcc2_4,Spielt die Form der Blendenöffnung bei der Lochkamera eine Rolle? Begründe deine Entscheidung.,"  An einem sonnigen Tag sieht man bei einem Waldspaziergang helle runde Flecke am Boden. Das Licht der Sonne strahlt durch die unregelmäßigen Lücken im Blätterdach. Warum aber sind diese „Sonnentaler“ kreisrund?   Im Zeitalter von Kameras mit Millionen von Speicherpunkten kann man sich kaum mehr vorstellen, dass man ganz ohne digitale Hilfsmittel ein Bild erzeugen kann. Darum denkt auch beim oben abgebildeten Waldweg niemand an eine Kamera. Aber die einfachste Kamera, die sogenannte camera obscura (lat. für dunkles Zimmer) gibt es schon seit zweitausend Jahren. Sie besteht aus einem dunklen Raum (Kammer, Pappkarton oder eben ein schattiger Waldweg), in den nur durch ein kleines Loch Licht gelangt. Die Abbildung zeigt, wie in einer Lochkamera das Bild einer Kerze entsteht: Von jedem Punkt der leuchtenden Flamme breitet sich das Licht geradlinig in alle Richtungen aus. Je ein schmales Lichtbündel gelangt durch das kleine Loch (die „Blende“) und erzeugt auf dem gegenüberliegenden Schirm ein Bildscheibchen. Insgesamt ergibt sich das Bild der ganzen Flamme. Das Bild steht jedoch auf dem Kopf und ist seitenverkehrt. Genauso verhält es sich beim Waldweg. Die kleinen Lücken im Blätterdach wirken wie Blenden und wie die Flamme wird hier die kreisrunde Sonne auf den Weg abgebildet. Je kleiner das Loch, desto dunkler, aber schärfer ist das Bild; je größer die Blende, desto heller, aber unschärfer ist das Bild. Denn bei einer großen Blende gelangen breite Lichtbündel ins Innere der Kamera, die sich auf dem Schirm überlappen. Es entsteht kein scharfes Bild mehr. Mangels Zoomobjektiv muss man sich vor dem Fotografieren mit der Lochkamera Gedanken über die Größe des Bildes B und des Gegenstands G machen. Wie groß das Bild auf dem Schirm wird, hängt von der Größe des abgebildeten Gegenstands G , von seiner Entfernung zur Blende g und vom Abstand des Schirms zur Blende b ab. Je näher man bei einer bestimmten Gegenstandsgröße an den Gegenstand heran geht, desto größer ist das Bild auf unserem Schirm.   Eine Anordnung aus Lochblende und Schirm mit einem Gehäuse bezeichnet man als Lochkamera. Auf dem Schirm einer Lochkamera entsteht ein Bild. Je kleiner die Blendenöffnung ist, desto schärfer, aber dunkler ist das Bild. ",,[],[],,,"['"" Bei einem „normalen“ (lichtaussendenden) Gegenstand und genügend großem Abstand zur Blende ändert sich nichts an den Bildern. Bemerkung: Bei einer punktförmigen Lichtquelle haben die Bildscheibchen die Form der Blende (wenn die Blendenöffnung nicht zu klein und der Abstand zwischen Lichtquelle und Blende nicht zu groß ist). ""']",SENTENCE,13
17659,E7x6BYONFk8s9yhgeTguo,EKV_Physik,DE,r_98208b3b_72d3_41c1_91fc_8ad3fa99b3a1_4,Lochblenden und Sammellinsen erzeugen Bilder leuchtender Gegenstände. Nenne Gemeinsamkeiten und Unterschiede der Bilder. Erkläre sie mit der unterschiedlichen Bildentstehung.,"  Mit dieser Sammellinse werden zwei Bilder vom Fenster, das sich hinter dem Betrachter befindet, erzeugt. Eines davon wird auf der Wand aufgefangen. Nur in einem bestimmten Abstand der Linse von der Wand ist dieses Bild scharf. Wodurch unterscheidet sich die Abbildung an der Wand von dem Bild, das man auf der Linse sieht?   Das Bild des Fensters auf der Wand ist seitenverkehrt und steht auf dem Kopf, während das Spiegelbild auf der Linse aufrecht steht. Das Bild des Fensters an der Wand ist kleiner als das Fenster selbst. Die Abbildung zeigt, wie das umgedrehte Bild entsteht. Licht, das von der Spitze der Kerzenflamme ausgeht und auf die Linse trifft, wird durch die Linse so gebrochen, dass es hinter der Linse nach unten zusammengeführt wird. Licht, das vom Docht ausgeht, wird durch die Linse nach oben gebrochen und zusammengeführt. Alle diese Bildpunkte entstehen nur in einem bestimmten Abstand hinter der Linse. Die Abstände von Bild und Gegenstand zur Linsenmitte (Bildweite und Gegenstandsweite) müssen zueinander passen, sonst ist das Bild unscharf. Die Bildgröße hängt von der Gegenstandsweite ab. In der Abbildung ist sie gerade so groß, dass Kerze und Bild der Kerze gleich groß sind. Das Bild der Kerze existiert auch ohne Schirm! Entfernt man den Schirm und blickt von hinten in Richtung Linse, so sieht man das Bild im Raum schweben: An der Stelle, wo der Schirm vorher war. Staub oder Nebel an dieser Stelle lassen das Bild besser erkennen. Auch mit einer wassergefüllten Glaskugel kann ein Bild erzeugt werden. Die Wasserkugel wird zur Linse, wenn wir sie uns in einen Würfel und zwei Kugelkappen zerlegt denken. Die Flächen des Würfels verschieben Lichtstrahlen beim Durchgang nur wie eine dicke Glasplatte. Die beiden gekrümmten Oberflächen der Kugelkappen wirken wie eine Sammellinse.   Mit dem dargestellten Versuchsaufbau lässt sich herausfinden, welchen Abstand Lichtquelle, Linse und Schirm zueinander haben müssen, damit das Bild scharf ist. Zur Beschreibung der Abstände werden zwei Begriffe benötigt: Der Abstand von der Linse zum Schirm heißt Bildweite b , der Abstand vom Gegenstand zur Linse heißt Gegenstandsweite g . Die Kerze soll aus einer sehr großen Gegenstandsweite immer näher zur Linse geschoben werden. Dabei wird jeweils die Bildweite so verändert, dass ein scharfes Bild auf dem Schirm entsteht. Zunächst stellt man fest, dass dies für jede Gegenstandsweite höchstens bei einer einzigen Bildweite gelingt, d. h., um ein scharfes Bild zu erhalten, muss zu jeder Gegenstandsweite eine ganz bestimmte Bildweite eingestellt werden. Bei sehr großer Gegenstandsweite verändert sich die Schärfe des Bildes zunächst allerdings kaum, wenn eine etwas zu große oder zu kleine Bildweite eingestellt wird. Je kleiner die Gegenstandsweite wird, desto genauer muss man die Bildweite einstellen, um eine scharfes Bild zu erhalten. Das scharfe Bild steht in allen Fällen auf dem Kopf und es wird größer, wenn die Gegenstandsweite abnimmt. Ist die Gegenstandsweite sehr klein, entsteht gar kein Bild auf dem Schirm. Bei genauer Untersuchung lassen sich mehrere Fälle unterscheiden: g > 2 f , d.h., die Gegenstandsweite ist größer als die doppelte Brennweite der Sammellinse: Das Bild ist kleiner als das Original. g = 2 f , d.h., die Gegenstandsweite ist gleich der doppelten Brennweite: Das Bild ist so groß wie das Original und die Bildweite ist gleich der doppelten Brennweite ( b = 2 f ). f < g < 2 f , d.h., die Gegenstandsweite liegt zwischen der einfachen und doppelten Brennweite: Das Bild ist größer als das Original und die Bildweite ist größer als die doppelte Brennweite ( b > 2 f ). g ≤ f , d.h., die Gegenstandsweite ist gleich der Brennweite oder kleiner als die Brennweite: Auf dem Schirm entsteht kein Bild . ",,[],[],,,"['"" Gemeinsamkeiten: Es entstehen umgekehrte Bilder. Abhängig von der Gegenstands- und der Bildweite sind die Bilder kleiner oder größer als der Gegenstand. Unterschiede: Lochkamerabilder sind unscharf. Je kleiner die Lochblende ist, umso schärfer, aber auch dunkler ist das Bild, weil nur wenig Licht durch das Loch fällt. Die Sammellinse erzeugt nur an einer bestimmten Stelle hinter der Linse ein scharfes, helles Bild. Durch die Lichtbrechung der Glaslinse wird das von den Gegenstandspunkten ausgehende Licht hinter der Linse in Bildpunkten vereinigt. Eine Lochblende erzeugt aus Gegenstandspunkten wegen der durch die Blendenöffnung tretenden Lichtbündel mehr oder weniger große Bildscheibchen auf dem Schirm. ""']",SENTENCE,19
17660,2luJcWBnasA8r9oewh90fi,EKV_Physik,DE,r_ee26d374_7db4_4e7a_bf08_a7804f9f87e8_2,"Erkläre mithilfe des Teilchenmodells, was der absolute Nullpunkt ist.","  Wärme verändert die Temperatur Wärme wird zugeführt oder abgegeben. Wenn einem Körper Wärme zugeführt wird, dann steigt seine Temperatur . Wenn ein Körper Wärme abgibt, dann sinkt seine Temperatur. Die Temperatur eines Körpers wird mit einem Thermometer gemessen. Ein Thermometer zeigt uns Temperaturen aber keine Wärme an. In Bild steigt die Temperatur der kalten Hände, weil die Heizung Wärme an die Hände abgibt. Wenn die Jugendlicheim Bild im Winter ins Freie geht und keine Handschuhe trägt, dann geben die Hände Wärme ab. Die Hände werden kalt.   Wärme und Temperatur sind nicht das Gleiche Die Grafik zeigt zwei Wannen mit Wasser. In einer Wanne befindet sich 1 Liter Wasser, in der anderen sind 2 Liter. Beide Wassermengen haben eine Temperatur von 20 ° C und sollen auf 50 ° C erwärmt werden. Die Anfangstemperatur und die Endtemperatur beider Wassermengen sind gleich. Die Wärme, die dafür zugeführt werden muss, ist aber unterschiedlich groß. Bei den 2 Litern Wasser muss mehr Wärme zugeführt werden als bei 1 Liter, um die gleiche Temperatur von 50 ° C zu erreichen. Dieses Beispiel zeigt, dass man zwischen Wärme und Temperatur unterscheiden muss.   Die Brown’sche Bewegung Im Jahre 1827 untersuchte der schottische Botaniker Robert Brown (1773 – 1858) Pollenstaub im Wasser. Im Mikroskop beobachtete er, dass sich der Pollenstaub im Wasser ständig bewegt. Diese Bewegung wurde nach ihm Brown’sche Bewegung genannt. Woher kommt aber diese Bewegung?   der Botaniker der Botaniker: Experte für Pflanzen   der Pollenstaub der Pollenstaub: leichter, flugfähiger, männlicher Samen einer Blüte   Teilchenbewegung Die Brown’sche Bewegung kann mit dem Teilchenmodell erklärt werden: Die Wasserteilchen stoßen ständig gegen die Pollenteilchen und setzen diese in Bewegung.   Temperatur und Telchenbewegung Die Teilchenbewegung hängt mit der Temperatur eines Körpers zusammen: Wenn sich die Temperatur eines Körpers erhöht, dann bewegen sich die Teilchen schneller.   Thermische Energie Die Energie, die in der Bewegung der Teilchen gespeichert ist, wird thermische Energie genannt. Je schneller sich die Teilchen bewegen, desto höher ist die Temperatur und desto höher ist die thermische Energie. Bewegen sich die Teilchen nur langsam, dann hat ein Körper eine niedrigere Temperatur und eine geringere thermische Energie.   Der absolute Nullpunkt Wenn man einen Körper immer weiter abkühlt, dann nimmt die Bewegung seiner Teilchen immer weiter ab. Irgendwann ist es so kalt, dass sich die Teilchen nicht mehr bewegen können. Dann ist die niedrigste Temperatur erreicht, die überhaupt möglich ist. Diese niedrigste Temperatur bezeichnet man als absoluten Nullpunkt . Er liegt bei - 273 , 15 ° C . Den absoluten Nullpunkt wählte Lord Kelvin als Nullpunkt für seine Temperatur-Skala, die Kelvin-Skala ( 0 K = - 273 , 15 ° C ) .   absolut absolut: vollständig, total   Merke: Das Thermometer zeigt Temperaturen an. Wärme wird zugeführt oder abgegeben und verändert damit die Temperatur. Je stärker sich die Teilchen im Inneren eines Körpers bewegen, desto höher ist die Temperatur und die innere Energie des Körpers. ",,[],[],,,"['"" Der absolute Nullpunkt ist die niedrigste mögliche Temperatur. Er liegt bei 0 Kelvin ( 0 K ). Man geht davon aus, dass sich die Teilchen eines Stoffes bei 0 Kelvin nicht mehr bewegen können. Sie haben dann keine thermische Energie mehr. ""']",SENTENCE,9
