taskId,language,description,topic_id,word_count
1124,790yfzUMFlJ8eXYT7OtUHW_RI,DE,d schreiben satz passiv prasen lair termin intensiv vorbereit kollege,,10
1129,5gih6z8lRbv5ZAPRSSpPBB_RI,DE,nenn funf merkmal nachfolgend text fur textsort ansichtskart typisch kauai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon d mehr genug flurina,,39
1132,6eVh0sUk73laFRNimbk7MC_RI,DE,mach hideaway laptop zwei satzen relativsatz arbeit gern laptop laptop letzen woch bekommen,5357.0,13
1133,avYO5lPPpNR7MVAKdARpVK_RI,DE,zuerst schreib satz nachdem state -- plusquamperfekt neu wohnung finden helfer bestellen snuff -- nachdem,5357.0,15
1134,6tsg9mDSnNP9MSZAtBpQ08_RI,DE,schreib satz passiv prasen termin d lair intensiv vorbereit kollege,5357.0,10
1135,vO9lrQFWnd6rddJnOBDkJ_RI,DE,erganz passiv prasen packe becom flat out koffer,5357.0,8
1368,nqu0vtfgjH8ly72XMcGSF_RI,DE,when the conflict battl conflict of waterloo,,7
1374,4zcsaIGJPKc5XQ9cX2N0vo_RI,DE,translat he sleep with love -- sexual love to german,,10
1375,XZZNGpJJoP9NfrRPSfR8w_RI,DE,translat have a go at -- he love -- to transform german,,12
1378,9fRq8FcU04z6cylMYhxZpp_RI,DE,translat render he dearest love -- to german,,8
1379,6tKWn39JVqC6nMBv9vQoGD_RI,DE,translat he love love -- to make love german,,9
1808,97MdgAui4Mk7m6cOU11GNV_RI,DE,hyrax erganz passiv prasen fliegen flugzeug,5357.0,6
1809,7bJSSnEH7oC9X4OLEOBOHF_RI,DE,erganz eat hous passiv prasen eat place empfehl restaur,5357.0,9
1810,7FFk3hJ8VXl5PxDmcM1yg6_RI,DE,schreiben satz passiv prasen meister haushalt trennen hoosier state indiana abfal,5357.0,11
1811,1mfdXT4GupD5I8EgTdLjnb_RI,DE,militari schreiben satz passiv inch prasen bayern trinkt bier,5357.0,9
1812,3nyPPFNdnq3aWkfdyyblYZ_RI,DE,machen schreiben passiv prasen warfar five hundr kaffe servieren,5357.0,9
1813,6jck1jG2yALa91FNC2Avae_RI,DE,machen five hundr schreiben passiv prasen ordn warfar abholen,5357.0,9
1814,3DSHS6PDsDJ6jCx4ZaYAkq_RI,DE,ordn satz schreiben passiv prasen koffer tasch kleidung out hideaway eingepacken,5357.0,11
1815,3h77kJLwUzk9jnm3I5I72t_RI,DE,ordn satz hideaway schreiben passiv lair prasen abstellen kuhlschrank,5357.0,9
1816,acRRmel9dq79Mz98xPSL7U_RI,DE,wer machen schreiben satz passiv prasen oft untersuchen district attorney arztin kind,5357.0,12
1817,5h3g4hte7GG97F5Dc8VSfx_RI,DE,wer machen schreiben satz passiv prasen empfehlen arztin medika,5357.0,9
2060,4pKkeNj3T6ZaUqdC7cefmS_RI,DE,gib antwort stichworten loss leader meinung eigenschaft massachusett institut -- technolog leader helfen eigen sensibilitat umgehen,4986.0,16
2061,5uQBlerTLL09zTEJkjoY0P_RI,DE,beantwort massachusett institut -- technolog frage zwei stichworter meister veranderungsprojekt auswirkung zwei eben coni meinung,4988.0,15
2062,2SlBVhjmVIN9brWa5caXzs_RI,DE,nenn weniger wort beispiel snuff -- fur technologisch wandel arbeitsmittel betreffen,4983.0,11
2063,3PEjuP7EEn6a1U8sGBCKv8_RI,DE,nenn beispiel fur organisatorisch veranderung give way organisationsmodel betreffen,4985.0,9
2064,8qiNixePl585WRsLTvsO5L_RI,DE,beantwort frage beschreibung formulierst evergreen stat erwartung wa fuhrungsrol nenn mindester,4988.0,11
2065,7niZcHw13T26fs05I4CQiX_RI,DE,beantwort frage river entsprechend kammer model benennst emerg room beschreibung entsprechen firma carl arbeiten verlagern arbeitsplatz direkt bedrohen carl bewussen vorn blicken arbeit finden fallt schwer entscheiden erinnern nostalgisch situat bekanntgeben nachricht beeintrachtigen produktivitat,4987.0,34
2066,4My3qZPpoD29iUxDtDEVQp_RI,DE,beantwort frage phase veranderungskurv benennst alexandra befinden alexandra firma wurd umstrukturiern entlassung fuhrungskraften fuhrt dadurch alexandra tag mehr chefin vierkopfig siebenkopfigen team neu mitarbeit zubird team schwierigkeit veranderung gewohn alexandra macht arbeit jedoch weiterhin d integr neu mitarbeit tun,4986.0,39
2067,2jnGAP7Hufw8aZUcKNJMc7_RI,DE,vervollstandig satz drei adjektiv triplet schritt kott model trey vision strategi entwickeln befindest vision,4989.0,14
2068,5lqXRJhkFvMaTGrslIY6YY_RI,DE,bereitschaft veranderung gb entwickeln gefuhl dringlichkeit schöpfen musse verantwortliche bestimmen frage beantworten konn gib davon five hundr,4993.0,17
2069,89qzhqauONB6K7kRLpV64m_RI,DE,beantwort frage signal decea vollstandigen satz signal senden person widerstand leisten eigentlich,4986.0,12
2070,DgC1xLQRqo95OXxMTuMjN_RI,DE,beantwort frage method benennst kommunikationsmaßnehmen wurdest einfuhr perish personlich bedurfniss person zusatzlich unterstutzung ermitteln,4984.0,14
2071,aqldUKdUSre6kdvHuBrYt7_RI,DE,nennen intern extern personengrupp direkt indirekt aktivitat unternehmen valet -- chambr world betroffen daher interesse gegenub unternehmen geltend,4986.0,18
2072,1Khq1NcVb2T84UFefrMlqJ_RI,DE,beantwort frage bestimmen art handlung angibst carl tun tun uberzeugungskraft einsetzen projekt bekommen ursprunglich alexandra widmen tun tsk,4985.0,18
2073,1MoRHyQX5pJ6OVL1qZqP6i_RI,DE,beantwort frage wort art veranderung stellen einrichtung onlin plattform kontext coronaviru pandemi dar prowess handeln art revolutionar global veranderung,4986.0,19
2074,2BEhOwnzxgT6prfp7BvxuZ_RI,DE,massachusett institut of technolog nenn meßnahmen veranderungsprozess alltag verankern massachusett institut of technolog konne,4985.0,14
2075,2XCZvkZWgxOaAr62HhDWR3_RI,DE,nenn beispiel fur interessengrupp,4991.0,4
2076,3FGpNp7eJHi75fsSSV17zn_RI,DE,beantwort frage beid erwarten antwort gibst neu district attorney projekt alexandra groß spannung fuhrt zwei reaktion moglich eher posit eher neg,4986.0,21
2077,4unxe0YKsV57iyJC6yj14a_RI,DE,nenn beispiel fur technisch entwicklung transportwesen,4983.0,6
2078,5F5z68DvGND93wql4U4JTo_RI,DE,beantwort frage give out entsprechend method benennst method aktiv unterstutzung begleitung wurdest einsetzen mitarbeit cash one chip neu gefordert fahigkeit entwickeln,4989.0,21
2079,5OD6pEEQ0Og74G6ac34ELo_RI,DE,nennen immer human durchgefuhrt bericht uber erfolgreich leistung aufgrund veranderung,4987.0,10
2080,5UI7ddBqEUf9RzaFurONES_RI,DE,nenn de satz beispiel fur aufgab massachusett institut of technolog roll vermittl facilit verbinden,4987.0,14
2081,7h8f9nExZtt7r8M3Ccet2q_RI,DE,schreib richtig antwort fail stichworte kommunikationsmaßnehmen informieren alexandra team uber pass away herausforderung unangenehm hurd erwarten,4989.0,16
2082,7lQ0BAuQLHG5SFqQxJkmm7_RI,DE,beantwort coni frage drei antwort alphabetisch reihenfolg angibst drei bedingung musse erfullt verhalt rahmen unternehmensumstrukturierung andern,4984.0,16
2104,WQpEgyLgi089ljEf8PuJw_RI,DE,walter buchhalt debitoren generaldirekt sbb bern nennen aufgabe sowi moglich kompetenz verantwortung stell taskbas kommentar folgend aufgeben handeln offen aufgeben fur aufgab musterlosung hinterlegen taskbas aufgeben gut d wissen bruno walter vorhanden information aufsetzen musterlosung vorhanden moglich antwort gemass einschatzung hep fehl zusammenarbeit werden didaktisch diskussion passieren feedbacktext lernend hinwei geben korrekt antwort konnt feedbacktext enthalt musterlosung,,57
2105,aqFM7iL1gxE8Nl9d5EwMZ7_RI,DE,nennen variant organis taskbas kommentar aufgeben handeln cloze aufgeben wort beantworten cloze fur aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback geben lernend hinwei richtig losung enthalt musterlosung tocopherol,,29
2106,5CFVvAUF1ql5IyB56TENAa_RI,DE,warum wurd wohl organis wahlen taskbas kommentar warfar aufgeben handeln offen aufgeben fur aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback geben lernend hinwei richtig losung enthalt musterlosung feedback ebenfal hinterlegen lernend grammatik rechtschreibfehl machen liegen allerd hoheit hep individuel feedback didaktisch anforderung angepasst,,44
2107,3OSeZ6O83us8GUTd4pseaY_RI,DE,abteilung organisieren taskbas kommentar heart of dixi aufgeben handeln offen aufgeben fur aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback geben lernend hinwei richtig losung enthalt musterlosung -- feedback ebenfal hinterlegen lernend grammatik rechtschreibfehl machen liegen allerd hoheit hep individuel didaktisch anforderung angepasst,,43
2164,1bE5K6vfUmkaLCVEop9wJM_RI,DE,formulier antwort mithilf mehrer stichwort nenn mindest zwei dimension lebensbereich person tyrann tater beeintrachtigen,5425.0,14
2206,2OCzVPx47hE9q61ls1ggvQ_RI,DE,gottfri benn reise zurich dassi beispiel sein tief stadt wund weih immer inhalt habana wissen hibiskusrot brechen ewig manna fur wustennot bahnhofstraß ruee boulevard lido laan fifth avenuee fallen leer ach vergeblich fahren spat erst erfahren bleiben still bewahren umgrenzend benutzen folgend formulierungsbaustein einleitung interpret beginnen dichen inward jahr fragen lyrisch,5356.0,51
2239,s8jsymMwfZ7Fn4A59dRSU_RI,DE,beschreib hund erwahn hierbei rass farb groß alt choke give way einfallen,,12
2241,4zCCSDzZTms68NuZVvcVct_RI,DE,schreiben satz prateritum gestern hideaway erzahlen schichen,,7
2242,7zfjwIwagx5az8LCkxXHsO_RI,DE,astronom unit erklar zubird warum ethisch sicht wichtig daten schutzen,,10
2243,7SD9u9MoZjYaAhDd6kLBRo_RI,DE,massachusett institut of technolog nenn nachteil first stat verfahren ubermittlungsbog laufzettel,,11
2244,3fXs9eN4lDd7hkGplAKFO3_RI,DE,gib gigabytn eigenschaft ide gib projekt mund konne,,8
2245,9oRkVfq3T2P6F9BloLII3S_RI,DE,input sicht prozess befriedigung kundenbedurfniss,,5
2246,8D1z6MPJmr65Takllixd2i_RI,DE,output sicht outturn prozess befriedigung kundenbedurfniss,,6
2247,3WLihIbee4L8jhzHkIfzSf_RI,DE,begriff bezeichnen exit turnout situat output prozess input,,8
2252,2JIQtvavj715NCtZBhwpKb_RI,DE,beschreib massachusett institut -- technolog bismuth zwei satzen problem umgang fluchtling deutlich,,12
2257,7Pv0gEhr6Xc8mgGlUvktVK_RI,DE,bild satz konjunktiv lair florian gern neu auto,,8
2265,9YNgZK9qGs3aIva1dwBYZa_RI,DE,coney nenn hideout hinwei journal liefern,,6
2266,5NM4ASUhva5aCNnFd8qMlv_RI,DE,district attorney zwei ding exit fur hauptbuch lauf jahr verwenden,,10
2270,SOMP2AgEC08C9MNNjovKJ_RI,DE,formulier satz konjunktiv ii verwendung vorgegeben element heuen abend helfen konn,,11
2271,aY3j1u00B739hp4ZmHLVHe_RI,DE,formulier satz geld konjunktiv ii geld verwendung vorgegeben element brianna gern mehr geld,,13
2296,527EsNbu7Mva1FIzFhT8ad_RI,DE,warum radikalisiert five hundr teil britisch frauenbewegung beschreib eigen wort,5289.0,10
2307,4Rg8Yp2yGgf7aV1xzYfiVy_RI,DE,erklar bildhaftigkeit markiert ausdruck tonio daheim zeit vertrodeln bei unterricht langsam undabgewandter geist lehrer schlecht anschreiben stehen fallen not bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater break einstmal ganz unten landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,,49
2353,LiHAY4BB975PIk5fa7IuJ_RI,DE,schreib satz passiv prasen hideaway paket sollen hideout bringen,,9
2355,aYH2E7OnEXD6ZkBuRluem2_RI,DE,schreib massachusett institut of technolog satz passend reflexivpronom entspann well center,,11
2360,7cbUVIncPWj7bkifUWUKkv_RI,DE,gib mithilf g stichwort beispiel gigabyt fur grundbedurfni,5198.0,8
2363,3MoZ9FVC8qe9MAcngw2J70_RI,DE,gib antwort gib satz nenn grund warum arbeitgeb anspruch wegen verletzung arbeitsvertrag geltend,5197.0,13
2366,18MW1MdWKJz81E4QzkfEuH_RI,DE,gib antwort coney satz anlasslich jahresgesprach berichten christin vorgesetzt arbeit begeistert geben auswirkung coronaviru pandemi sorge bereiten coni wurdest bedurfni kategorisier leitung tun entgegenzukommen,5198.0,24
2369,83xsYxxMc6j9Bejqoyp0RJ_RI,DE,gib antwort first state mithilf gib stichwort alexandra mitgli vorstand unternehmen geschaftsfuhrerin mocht home offic einfuhr beauftragen vorstand meßnahmen einzufuhren uberlasst geeignet maßnahme festzuleg form manag vorstand aufgeben,5192.0,28
2372,6O0owl7H4NU8SihzLYtcY0_RI,DE,drei eben personalbeurteilung geben gib five hundr bitt drei stichworter,5196.0,10
2375,1NlUf48QYyvaTsrdLS2toL_RI,DE,pop off nenn drei wichtig aufgabe conk out erledigen muss mitarbeit mitarbeiterin unternehmen verlasst,5201.0,14
2378,4a2uOAm5ddF7GUa7e3dBIF_RI,DE,wurdest arbeitgeb tun e arbeitnehm woch lang angeben grund arbeit expir erscheinen beantwort frage cost satz,5197.0,16
2381,1I5EV1IlAfx64xWFvGe5zb_RI,DE,arbeitgeb sicherstell hyrax arbeitnehm unternehmen verlassen fur konkurrenz arbeiten beantwort frage weniger stichworte,5197.0,13
2384,5OzEyxZ2WKk6uvwTmrFpAd_RI,DE,alexandra mocht neu oper mitarbeit unternehmen einstellen arbeit krankheit urlaub erleichtern wirtschaftlich ziel stehen maßnahm intellig agent sherlock spannungsverhaltni beantwort frage mithilf stichworte,5195.0,23
2387,8uugUQrI9Ie8JLBAYWwu9B_RI,DE,beendigung arbeitsverhaltniss fur arbeitgeb wichtig einsteinium einhaltung gesetzlich bestimmung achter bestimmung handeln e gib antwort stichworten,5201.0,16
2390,4oCv22yeHfC8yS7rMmmovf_RI,DE,mitarbeit verlassen unternehmen nachfolg fur stell finden hoch geschatzt kosten fur give way e unternehmen gib antwort mithilf stichworte,5192.0,19
2393,4xW92J7nPEHactKBePdCpE_RI,DE,unternehmen algrifor große finanziel district attorney problem alexandra beschließen mitarbeit vorruhestand schicken negativ finanziell folge konnen entscheidung fur unternehmen beantwort frage satz,5192.0,22
2396,7BRitwvWZOW6WveU9cdCd5_RI,DE,gib antwort mithilf stichwort firma alexand arbeiten stellen geschaftsleitung fest einstellungskosten hoch schwierig passend nachwuchstalent finden geschaftsfuhr gehen davon unternehmen fur jung arbeitnehm attraktiv genug kombin daten konnt alexand verwend hors parsley zubird hypothe uberprufen,5192.0,35
2399,2C4hoGSipAL6InnsC0sPpV_RI,DE,conk out beschreib satz arbeit personalabteilung d sozial netzwerk verandern,5195.0,10
2402,3Jbmq8gDaDn93254RCDksl_RI,DE,kritik elaps haufig sozial netzwerken bezug pass arbeitsvermittlung geaußeren beantwort frage satz,5195.0,12
2405,8BkGplumC8a840mXmWiP6z_RI,DE,durchsicht bewerbungsunterlag stellen give out alexandra fest d bewerberin anforderung fur stell ubertrifft alexandra sicherstelle bevor bewerberin einstellen beantwort frage mithilf satz,5200.0,22
2408,8T76IzRT3T66WxPzViAdRH_RI,DE,beantwort frage mithilf stichworte hideout positiv auswirkung erfolgreich onboard hideaway bewerb,5194.0,11
2411,4Xkj90IYMQ284Wy1pREFm9_RI,DE,beantwort frage stichwort soul somebodi alexand firma neu team facharbeitern einstellen integrationsmaßnehmen ware vergleich maßnehmen fur einzeln person gut geeignet,5194.0,20
2414,1Jf3y3o3OoOa6S8gLB15le_RI,DE,beantwort frage stichworten womit break down erfolgreich probezeit enden,5194.0,9
2417,15fnCODBmC29aoCnJTbekl_RI,DE,break beschreib stichwort vorteil aufhebung pflicht arbeit home offic,5198.0,9
2420,6QtXXqQYtR9IbefZVEEYw_RI,DE,break down beschreib weniger wort maßnehmen alexandra unternehmen einfuhr konnt bedurfni conk out mitarbeit innen zugehorigkeit verbessern,5198.0,17
2423,4Dfz3kIxMan69nUsoDkiJ9_RI,DE,beschreib art hyrax lohn unternehmen wahl risiko verringern e anzahl leistung sinken,5198.0,12
2426,96PWDkkUmQA6isFODs84MO_RI,DE,warum vorschlagswesen etablieren beantwort human human be fragen weniger satz,5198.0,10
2429,2py0BSkLWLx98Hl8snJFWi_RI,DE,nenn vorteil teilzeitarbeit fur coney unternehmen,5198.0,6
2432,1Pj3KekZT6W9t4ZckPwWCi_RI,DE,district attorney nenn nachteil home offic fur unternehmen ergeben,5198.0,9
2435,90VWyaZT0By7lcqDL0BJH9_RI,DE,aspekt musst erstellung schulungskonzept berucksichtigen nenn drei davon,5199.0,8
2438,9pO4eVfv9dKauA35wE6QOa_RI,DE,konntest sicherstell teilnehmerinn massachusett institut of technolog teilnehm weiterbildung profitieren antwort zwei satze,5199.0,13
2441,6PyF0OwlZm47VRd8ao02xm_RI,DE,gib gigabytn gb beispiel fur rationalisierungsmaßnehmen antwort stichworten,5191.0,8
2444,IaKi6iab7oaWWYtXJs423_RI,DE,formulier satz arbeitszeugni alic stehen wurd gelingen verschied projekt gleichzeitig hut bringen formulier antwort vollstandigen satz zubird alic zeugni formulieren wurdest,5201.0,21
2447,6TBfEErEnWe84USM4fJmcj_RI,DE,alic verlassen lid unternehmen meiten jahr erster jahreshalfn urlaub nehmen arbeitgeb tun chapeau unternehmen verlasst gib antwort satz,5201.0,18
2450,6zN789CWOea9ECTmkinf3W_RI,DE,nenn drei ding e arbeitnehm anspruch kick the bucket choke unternehmen verlassen,5201.0,12
2453,6b1B7zJPWCD9uFU0Df6LAg_RI,DE,nenn stichwort stilbestrol nebenpflicht arbeitgeb,5197.0,5
2456,9bKvJXzVDT17ZUOaiPDwjg_RI,DE,gib gigabytn antwort mithilf stichwort equal kannst tun bemerkst e mitarbeit seit woche arbeit unzureichend qualitat liefern,5197.0,17
2459,7ZeBN122qi97fFI8wxKhDd_RI,DE,schreib satz konjunktiv gern massachusett institut of technolog tanzen,,9
2462,8f1estLkrYo7P2iWATbto9_RI,DE,gib antwort satz tatiana neu mitarbeiterin market agrifor unternehmen fur klempnerarbeit rahmen stell information uber kunde unternehmen perish kollege sammeln direkt kontakt stehen wen tatiana grundlag einfuhrungstag treffen,5194.0,28
2470,1LEKhtWAXfR5VL3aZS24Ak_RI,DE,beschreib satz vorteil lair five hundr fur arbeitsmarkt bilateral abkommen uber personenfreizugigkeit ergeben,5190.0,13
2472,1x1LyscGZyg7xNq9DRv2hk_RI,DE,schreib go fail satz prasen behalt reihenfolg,,7
2484,XYELLLXe736ykV04Qh6FI_RI,DE,nenn element coney stellenanzeig rock rabbit nennen,5195.0,7
2485,9QRukUX9TpU73w7heZO3EI_RI,DE,gib gibibyt antwort mithilf stichworte nenn komponent unternehmensprofil gigabyt dabei beliebig merkmal handeln unternehmen definieren,5188.0,15
