taskId,aspectId,name,description,categoryId,type,groupId
46,31SEpU0OluZabtx8GtxdHp,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
47,3s6tMlF9an06LNiCLaTENK,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
48,929t9knVhXx9k4eSpNe3XJ,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
49,4QoaqmHMkr9JTM0xbx5gr,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
50,5edp0FBG0cO97Dgropsigj,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
51,9xrUaOZaijq9iVxHOdtDmy,8326,RESERVE | 2. A. 1. Open Task concept,Answer states that male peacocks spread their feathers to impress mates or to intimidate predators.,5.0,CONCEPT,54933.0
52,9xrUaOZaijq9iVxHOdtDmy,8327,RESERVE | 2. A. 1. Open Task - misconception,The answer doesn't mention the concepts we were looking for. ,5.0,MISCONCEPTION,54933.0
53,9xrUaOZaijq9iVxHOdtDmy,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
54,2NqBhaOFPAC81UCkPE5Ggc,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
55,5qzqbtE1MzG918eSLYHWa4,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
56,3yVJtv9S0z49bdlTgpTgCs,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
57,31SEpU0OluZabtx8GtxdHp,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
58,3s6tMlF9an06LNiCLaTENK,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
59,3DvxkIvJW856B0G9RNH5WC,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
60,4C7LJ5jbzhaah43YRv0Kba,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
61,6yMuYUiP1NawLzjDpKxPP,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
62,5ZmoN76LAXp80mxQEDy1G4,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
63,7GrvqohuDeL7FMf4YqCME3,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
64,9RgeoUjjlAK7pgMiKPSo9V,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
65,8ZfzX4m3PoO5KXAPmZSp79,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
66,3fihxNehH2P9NA88wKcTmk,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
67,7JoWDCdMPPb9e1YWRjz2T8,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
68,929t9knVhXx9k4eSpNe3XJ,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
69,1kGEhQVR8QD7T5FyuK7v7Q,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
70,5kJ7UAiz8a27f73M0HeExI,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
71,98FuI2QeAsX80CxRqeUb4k,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
72,6LvFcOpjEmD8Vc9p1F4l9h,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
73,4QoaqmHMkr9JTM0xbx5gr,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
74,4epRABqDpuFaDou7SO9tcz,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
75,hYdTGxqkJ1aEJzpmQqzja,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
76,5edp0FBG0cO97Dgropsigj,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
77,15kxeWhEKDnaQToOCK9BR2,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
78,4SoK9JNTIY487QlTEdBLK5,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
79,2eVgYZIzksr6mLoozqrBwk,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
80,9V2tJmWqyRe7HUepPXmjeq,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
81,aVueXyGrh7Y6yVh2pujEB0,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
82,6f6eWYJq6Ly5RgdxmcB6z8,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
83,2Pp4PkI7NwM9sDo9IsGZ2r,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
84,ayPDzULzxzX9PnNAmfLy7l,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
85,8W30GBA7jr9847v891jlvf,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
86,2oQTGDRRpLl9W8KpkYIXi2,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
87,5Amm2v8zjNz7KXWSPKKKHM,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
88,5GPvidVRBWv6dWGjTgqxXm,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
89,aUAq3nrHD5l8uSM5TuTw7T,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
90,amRTbx39hn38nSsZKNDDD3,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
91,1WqsPW7jykJ9fITByA9lHH,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
92,2N6MaY7sxt79dQh7G2UcXc,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
93,1HZ2r59Aceu8kPa78O0M7A,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
94,3mHNp1VEToo6PfNQt9g1s7,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
95,aif5faqXBMr5BWFu35fcRC,9210,Missing subject,The learner wrote a sentence without a subject.,,MISCONCEPTION,54952.0
96,9xrUaOZaijq9iVxHOdtDmy,9219,Answer missing important concept,The answer doesn't mention the concepts we were looking for. You could for example have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
97,4QoaqmHMkr9JTM0xbx5gr,9219,Answer missing important concept,The answer doesn't mention the concepts we were looking for. You could for example have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
98,9xrUaOZaijq9iVxHOdtDmy,9220,RESERVE | 2. A. 1. Open Task concept - attention,Answer states that the peacock wants attention.,5.0,CONCEPT,54933.0
99,a9x0z2UCcRh5zCmeXY1zk4,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
100,2NqBhaOFPAC81UCkPE5Ggc,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
101,5qzqbtE1MzG918eSLYHWa4,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
102,3yVJtv9S0z49bdlTgpTgCs,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
103,31SEpU0OluZabtx8GtxdHp,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
104,3s6tMlF9an06LNiCLaTENK,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
105,3DvxkIvJW856B0G9RNH5WC,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
106,4C7LJ5jbzhaah43YRv0Kba,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
107,6yMuYUiP1NawLzjDpKxPP,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
108,5ZmoN76LAXp80mxQEDy1G4,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
109,7GrvqohuDeL7FMf4YqCME3,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
110,9RgeoUjjlAK7pgMiKPSo9V,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
111,8ZfzX4m3PoO5KXAPmZSp79,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
112,3fihxNehH2P9NA88wKcTmk,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
113,7JoWDCdMPPb9e1YWRjz2T8,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
114,929t9knVhXx9k4eSpNe3XJ,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
115,1kGEhQVR8QD7T5FyuK7v7Q,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
116,5kJ7UAiz8a27f73M0HeExI,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
117,98FuI2QeAsX80CxRqeUb4k,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
118,6LvFcOpjEmD8Vc9p1F4l9h,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
119,4QoaqmHMkr9JTM0xbx5gr,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
120,4epRABqDpuFaDou7SO9tcz,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
121,hYdTGxqkJ1aEJzpmQqzja,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
122,5edp0FBG0cO97Dgropsigj,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
123,15kxeWhEKDnaQToOCK9BR2,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
124,4sGPej6uKPP5wKus9TF8OX,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
125,4SoK9JNTIY487QlTEdBLK5,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
126,2eVgYZIzksr6mLoozqrBwk,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
127,9V2tJmWqyRe7HUepPXmjeq,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
128,aVueXyGrh7Y6yVh2pujEB0,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
129,6f6eWYJq6Ly5RgdxmcB6z8,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
130,2Pp4PkI7NwM9sDo9IsGZ2r,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
131,ayPDzULzxzX9PnNAmfLy7l,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
132,8W30GBA7jr9847v891jlvf,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
133,5zTLEKk7pNB5G6VFDEaV9Z,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
134,2oQTGDRRpLl9W8KpkYIXi2,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
135,BtlE2uJbuw5DhBy2yCw2l,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
136,4G61g4usuZI7fqEkN7pkP7,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
137,7tKMHdotv2k7XHbJItpSdc,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
138,8WT7noFtabBa7pTMTUzy0S,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
139,7rYCHqM6wT35W1eFnKv0Rh,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
140,d4KHviujcU87g0ZAISm0M,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
141,2igZK8MO5QJ8pTM924Ss21,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
142,TKHY6wQA2Y9PedQhbhQ1Y,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
143,2vWACixI7Wv8DxC9u3aeXR,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
144,5Amm2v8zjNz7KXWSPKKKHM,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
145,5gAY30Y8LWV9hJKZ0o9204,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
146,7tMnEzky24U9I9znLNd88c,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
147,aRJbugYL0E794UZV9akNuu,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
148,5iFj7waajIL5Wh9Tz42L65,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
149,2GIrJUbGTHq9GpuKLYsZMH,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
150,5GPvidVRBWv6dWGjTgqxXm,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
151,aUAq3nrHD5l8uSM5TuTw7T,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
152,amRTbx39hn38nSsZKNDDD3,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
153,1WqsPW7jykJ9fITByA9lHH,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
154,2N6MaY7sxt79dQh7G2UcXc,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
155,1HZ2r59Aceu8kPa78O0M7A,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
156,3mHNp1VEToo6PfNQt9g1s7,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
157,aif5faqXBMr5BWFu35fcRC,8347,Swear Word too little,The learner used a swear word.,,MISCONCEPTION,54923.0
158,a9x0z2UCcRh5zCmeXY1zk4,8853,RESERVE | 1. F. 1. Open Task Concept,Answer states that he opened his shop in 2009.,5.0,CONCEPT,54947.0
159,a9x0z2UCcRh5zCmeXY1zk4,8854,RESERVE | 1. F. 1. Open Task Misconception,Answer does not state that he opened his shop in 2009.,5.0,MISCONCEPTION,54947.0
160,8lxRyLzStOK9eUhNRal38O,9059,contains too little/2476,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
161,aqdN5okrn7v96q2pZ6draC,9059,contains too little/2476,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
162,8lxRyLzStOK9eUhNRal38O,9065,correct statement/2474,You described the picture well.,,CONCEPT,
163,8lxRyLzStOK9eUhNRal38O,9067,wrong statement/2475,Your answer doesn't match the picture well. You could have said 'The girl is hugging her dog.',,MISCONCEPTION,
164,aazKG44PsKc5UnpTiDECut,9068,contains too little/2482,You didn't use all of the three verbs. What do you {{missingStatement}}?,,MISCONCEPTION,
165,aazKG44PsKc5UnpTiDECut,9069,is contained/2480,You wrote three good sentences.,,CONCEPT,
166,aazKG44PsKc5UnpTiDECut,9070,is not contained/2481,You didn't use any of the three verbs. What do you {{missingStatement}}?,,MISCONCEPTION,
167,aazKG44PsKc5UnpTiDECut,9586,too few/4347,Your answer contains too few {{countGranularity}}.,,MISCONCEPTION,
168,6P87Q52yNtW6JpIm040QHJ,9586,too few/4347,Your answer contains too few {{countGranularity}}.,,MISCONCEPTION,
169,aazKG44PsKc5UnpTiDECut,9588,too many/4348,Your answer contains too many {{countGranularity}}.,,MISCONCEPTION,
170,6P87Q52yNtW6JpIm040QHJ,9588,too many/4348,Your answer contains too many {{countGranularity}}.,,MISCONCEPTION,
171,6P87Q52yNtW6JpIm040QHJ,9071,contains too little/2489,You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
172,28NfdA6EwPi5Ld88l1sl6i,9071,contains too little/2489,You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
173,6P87Q52yNtW6JpIm040QHJ,9074,does not entail/2491,Your answer does not contain the expected text.,,MISCONCEPTION,
174,28NfdA6EwPi5Ld88l1sl6i,9074,does not entail/2491,Your answer does not contain the expected text.,,MISCONCEPTION,
175,6P87Q52yNtW6JpIm040QHJ,9583,entails/3866,You correctly mentioned: {{correctStatements}},,CONCEPT,
176,28NfdA6EwPi5Ld88l1sl6i,9583,entails/3866,You correctly mentioned: {{correctStatements}},,CONCEPT,
177,6P87Q52yNtW6JpIm040QHJ,9590,entails misconception/3873,"Here's an example: Some gases (called greenhouse gases) in the air ensure that some of the energy arriving via solar radiation is not radiated directly from the earth's surface in the form of infrared radiation. Greenhouse gases warm the earth's surface - so they are necessary, but too much of them provides too much heat.",,MISCONCEPTION,
178,63suDE8D54Z7PXe4WUmQrH,9595,contains too little/3877,You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
179,25RGLvb2p0G5zulfX9xQOj,9595,contains too little/3877,You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
180,63suDE8D54Z7PXe4WUmQrH,9599,does not entail/3878,Your answer does not contain the expected text.,,MISCONCEPTION,
181,25RGLvb2p0G5zulfX9xQOj,9599,does not entail/3878,Your answer does not contain the expected text.,,MISCONCEPTION,
182,63suDE8D54Z7PXe4WUmQrH,9603,entails/3876,You correctly mentioned: {{correctStatements}},,CONCEPT,
183,25RGLvb2p0G5zulfX9xQOj,9603,entails/3876,You correctly mentioned: {{correctStatements}},,CONCEPT,
184,63suDE8D54Z7PXe4WUmQrH,9607,entails misconception/3883,"Here's an example: Some gases (called greenhouse gases) in the air ensure that some of the energy arriving via solar radiation is not radiated directly from the earth's surface in the form of infrared radiation. Greenhouse gases warm the earth's surface - so they are necessary, but too much of them provides too much heat.",,MISCONCEPTION,
185,63suDE8D54Z7PXe4WUmQrH,9943,too few/4340,Your answer contains too few {{countGranularity}}.,,MISCONCEPTION,
186,63suDE8D54Z7PXe4WUmQrH,9944,too many/4339,Your answer contains too many {{countGranularity}}.,,MISCONCEPTION,
187,28NfdA6EwPi5Ld88l1sl6i,9578,contains too little/3863,"Furthermore, one should {{missingStatement}}.",,MISCONCEPTION,
188,aqdN5okrn7v96q2pZ6draC,9578,contains too little/3863,"Furthermore, one should {{missingStatement}}.",,MISCONCEPTION,
189,28NfdA6EwPi5Ld88l1sl6i,9580,does not entail/3865,"Your answer does not contain the expected recommendations. You should hide under a sturdy table, for example, and keep calm.",,MISCONCEPTION,
190,28NfdA6EwPi5Ld88l1sl6i,9582,entails misconception/3864,"It's dangerous to {{incorrectStatements}}. You should hide under a sturdy table, for example, and keep calm.",,MISCONCEPTION,
