aspectId,tasks_count
1145,336491,4
1146,336492,4
1147,336493,4
1148,336494,4
1149,336495,4
1150,336496,2
1151,336497,4
1152,336498,4
1153,336499,4
1154,336500,4
1155,336501,4
1156,336502,4
1157,336503,4
1158,336504,4
1159,336505,4
1160,336506,4
1161,336507,4
1162,336508,4
1163,336509,4
1164,336510,4
1165,336511,2
1166,336512,4
1167,336513,4
1168,336514,3
1169,336515,3
1170,336516,3
1171,336517,3
1172,336518,3
1173,336519,3
1179,34029,367
1180,34577,367
1181,347201,11
1182,347202,11
1183,347203,11
1184,347204,11
1185,347205,11
1186,347206,11
1187,347207,9
1188,347208,10
1189,347209,10
1190,347210,10
1191,347211,10
1192,347212,10
1193,347213,10
1194,347214,10
1195,347215,10
1235,349661,2
1236,349662,2
1240,349666,2
1241,349667,2
1242,349668,5
1243,349669,5
1244,349670,5
1245,349671,5
1246,349672,5
1247,349673,5
1248,349674,5
1249,349675,5
1250,349676,5
1251,349677,5
1252,349678,5
1253,349679,5
1254,349680,5
1255,349681,5
1256,349682,5
1257,349683,5
1258,349684,5
1259,349685,5
1260,349686,5
1261,349687,5
1262,349688,5
1263,349689,5
1264,349690,5
1265,349691,5
1266,349692,5
1267,349693,5
1268,349694,5
1269,349695,5
1270,349696,5
1271,349697,5
1272,349698,5
1273,349699,5
1274,349700,5
1275,349701,5
1276,349702,5
1281,349752,2
1282,35125,367
1283,35673,367
1284,36221,367
1289,36769,367
1290,37317,367
1291,37865,367
1292,379209,3
1293,379210,3
1304,379302,2
1305,379303,3
1306,379304,3
1307,379305,3
1308,379306,3
1309,379307,3
1310,379308,3
1311,379309,3
1314,379944,5
1315,379945,5
1316,379946,5
1317,379947,5
1318,379948,5
1319,379949,5
1320,381128,2
1321,381129,2
1322,381286,2
1323,381287,2
1324,381288,2
1325,381289,2
1410,38413,367
1411,38961,367
1412,39509,367
1413,40057,367
1414,40605,367
1415,41153,367
1416,41701,367
1417,42249,367
1418,42797,367
1419,43345,367
1420,43893,367
1421,44441,367
1422,44989,367
1423,45537,367
1424,46085,367
1425,46633,367
1426,47181,367
1427,47729,2
1428,49003,2
1429,49008,2
1430,49014,2
1431,49019,2
1432,49025,2
1433,49031,2
1434,49036,2
1435,49041,2
1436,49047,2
1437,49053,2
1438,49059,2
1439,49065,2
1440,49070,2
1441,49077,2
1442,49082,2
1443,49089,2
1444,49095,2
1445,49101,2
1446,49107,2
1447,49113,2
1448,49119,2
1449,49125,2
1450,49131,2
1451,49137,2
1452,49143,2
1453,49149,2
1454,49155,2
1455,49161,2
1456,49167,2
1457,49173,2
1458,49179,2
1459,49185,2
1460,49191,2
1461,49197,2
1462,49203,2
1463,49209,2
1464,49215,2
1465,49221,2
1466,49227,2
1467,49233,2
1468,49249,2
1469,49253,2
1470,49258,2
1471,49263,2
1478,49281,2
1480,49284,2
1481,49286,2
1484,49291,2
1485,49294,2
1486,49297,2
1487,49300,2
1488,49303,2
1489,49306,2
1490,49309,2
1491,49312,2
1492,49315,2
1493,49318,2
1494,49321,2
1495,49324,2
1496,49327,2
1497,49330,2
1498,49333,2
1499,49336,2
1500,49339,2
1501,49342,2
1502,49345,2
1503,49348,2
1504,49351,2
1505,49354,2
1506,49357,2
1507,49360,2
1508,49363,2
1509,49366,2
1510,49369,2
1511,49372,2
1512,49375,2
1513,49378,2
1514,49381,2
1515,49383,2
1516,49387,2
1517,49401,2
1561,49533,365
1562,49899,366
1563,50264,366
1564,50630,366
1565,50996,367
1566,51363,366
1567,51729,367
1568,52096,367
1569,52463,366
1570,52829,366
1571,53195,367
1572,53562,367
1573,53934,352
1574,54466,352
1575,54999,352
1576,55532,352
1577,56064,352
1578,56597,352
1584,57138,352
1585,57670,352
1594,58203,352
1595,58736,8
1596,58747,8
1597,58759,8
1598,58783,10
1599,58796,10
1600,58812,10
1601,5882,27
1602,5883,27
1603,5884,27
1604,58842,10
1605,5885,27
1606,58856,10
1607,5886,27
1608,5887,27
1609,58871,10
1610,5888,27
1611,5889,2
1612,5890,2
1613,58901,6
1614,58909,6
1615,58918,6
1616,5892,2
1618,58936,8
1620,58947,8
1621,58959,8
1622,58983,5
1623,58990,5
1624,58998,5
1625,59015,8
1626,59026,8
1627,59038,8
1628,59062,10
1629,59076,10
1630,5909,2
1631,59091,10
1632,59121,10
1633,59135,10
1634,59150,10
1638,59188,10
1639,59201,10
1640,59217,10
1641,59247,4
1642,59252,4
1643,59258,4
1644,59270,4
1645,59275,4
1646,59281,4
1647,59293,8
1648,59304,8
1649,59316,8
1650,59340,15
1651,59362,15
1652,59385,15
1653,59432,4
1654,59437,4
1655,59443,4
1656,59455,6
1657,59463,6
1658,59472,6
1659,59490,2
1660,59492,2
1661,59495,2
1662,59501,24
1663,59536,24
1664,59571,24
1665,59644,4
1666,59649,4
1667,59655,4
1668,59667,4
1669,59672,4
1670,59678,4
1671,59690,2
1672,59692,2
1673,59695,2
1674,59701,6
1675,59709,6
1676,59718,6
1677,59736,2
1678,59738,2
1679,59741,2
1680,59747,6
1681,59755,6
1682,59764,6
1683,59782,4
1684,59787,4
1685,59793,4
1686,59805,8
1687,59816,8
1688,59828,8
1689,59852,6
1690,59860,6
1691,59869,6
1692,59887,10
1693,59901,10
1694,59916,10
1695,59946,5
1696,59953,5
1697,59961,5
1698,59978,4
1699,59984,4
1700,59991,4
1701,60007,4
1702,60012,4
1703,60017,4
1704,60030,4
1705,60035,4
1706,60041,4
1707,60053,6
1708,60061,6
1709,60070,6
1710,60093,6
1711,60101,6
1712,60110,6
1713,60128,10
1714,60142,10
1715,60157,10
1716,60187,8
1717,60198,8
1718,60210,8
1719,60234,6
1720,60242,6
1721,60251,6
1722,60270,2
1723,60271,2
1724,60274,2
1725,60280,8
1726,60291,8
1727,60303,8
1728,60327,4
1729,60332,4
1730,60338,4
1731,60350,4
1732,60355,4
1733,60361,4
1734,60373,6
1735,60381,6
1736,60390,6
1737,60408,12
1738,60425,12
1739,60443,12
1740,60479,4
1741,60484,4
1742,60490,4
1743,60502,6
1744,60510,6
1745,60519,6
1746,60537,4
1747,60542,4
1748,60548,4
1749,60560,2
1750,60562,2
1751,60565,2
1752,60571,8
1753,60582,8
1754,60594,8
1755,60618,6
1756,60626,6
1757,60635,6
1758,60653,8
1759,60664,8
1760,60676,8
1761,60700,8
1762,60711,8
1763,60723,8
1764,60747,4
1765,60752,4
1766,60758,4
1767,60770,4
1768,60775,4
1769,60781,4
1770,60793,4
1771,60798,4
1772,60804,4
1816,6095,91
1817,6096,91
1818,6097,91
1819,6098,91
1820,6099,91
1821,6100,91
1822,6101,91
1827,61023,2
1830,61070,2
1833,61077,2
1844,61091,26
1845,61117,27
1846,61144,27
1847,61171,26
1848,61196,27
1849,61224,26
1850,61250,27
1851,61276,27
1852,61304,26
1853,61330,26
1854,61356,26
1855,61382,27
1856,61409,27
1857,61436,27
1858,61463,27
1859,61490,27
1860,61517,27
1861,61544,27
1862,61570,27
1863,61598,27
1864,61625,27
1865,61652,27
1866,61679,27
1867,61706,27
1868,61733,27
1869,61760,27
1870,61787,27
1871,61814,27
1872,61842,27
1873,61868,27
1874,61896,27
1875,61922,27
1876,61949,27
1877,61976,27
1878,62003,27
1879,62030,27
1880,62057,27
1881,62085,27
1882,62111,27
1883,62138,27
1884,62165,27
1885,62192,27
1886,62219,27
1887,62246,27
1888,62273,26
1889,62299,27
1890,62326,27
1897,62360,90
1898,62450,91
1899,62541,91
1900,62632,90
1901,62722,91
1902,62813,90
1903,62903,91
1904,62994,91
1905,63085,90
1906,63175,90
1907,63265,90
1908,63354,91
1909,63446,91
1910,63537,91
1911,63628,91
1912,63718,91
1913,63810,91
1914,63901,91
1915,63992,91
1916,64083,91
1917,64174,91
1918,64265,91
1919,64356,91
1920,64447,91
1921,64538,91
1922,64629,91
1923,64720,91
1924,64811,91
1925,64902,91
1926,64993,91
1927,65084,91
1928,65174,91
1929,65267,91
1930,65357,91
1931,65448,91
1932,65539,91
1933,65630,91
1934,65721,91
1935,65812,91
1936,65903,91
1937,65994,91
1938,66085,91
1939,66176,91
1940,66267,91
1941,66358,90
1942,66448,91
1943,66539,91
1948,67156,24
1949,67180,25
1952,67768,2
1953,67770,3
1954,67773,3
1956,67953,2
1957,67955,2
1958,67957,3
1960,67961,4
1969,68045,4
1970,68053,34
1971,68096,34
1972,68097,34
1973,68174,34
1974,68175,35
1975,68176,34
1976,68177,34
1977,68178,34
1978,68180,34
1979,68181,34
1980,68182,34
1981,68183,34
1982,68184,34
1983,68185,34
1984,68186,34
1985,68187,28
1986,68188,34
1987,68189,34
1988,68190,18
1989,68191,18
1990,68192,18
1991,68193,18
1992,68194,18
1993,68202,16
1994,68203,32
1995,68218,32
1996,68219,32
1997,68380,2
1998,68381,2
2002,6925,33
2004,70948,2
2005,70949,2
2015,70965,2
2016,70966,2
2017,70967,2
2018,70968,2
2019,70969,2
2020,70970,2
2021,70971,2
2022,70972,2
2023,70981,2
2024,70982,2
2025,70983,2
2026,70984,2
2027,70985,2
2028,70986,2
2029,70987,2
2030,70988,2
2031,70989,2
2032,70990,2
2033,70991,2
2034,70992,2
2035,70993,2
2036,70994,2
2037,70995,2
2038,70996,2
2039,70997,2
2040,70998,2
2041,70999,2
2043,71000,2
2044,71001,2
2045,71002,2
2046,71003,2
2047,71004,2
2048,71005,2
2049,71006,2
2050,71007,2
2051,71008,2
2052,71009,2
2053,71010,2
2054,71011,2
2055,71012,2
2056,71013,2
2057,71014,2
2060,71119,48
2061,71120,48
2062,71121,47
2063,71122,47
2064,71123,47
2065,71124,58
2066,71125,55
2067,71126,11
2068,71127,36
2069,71128,11
2070,71129,11
2071,71130,29
2072,71131,11
2073,71132,11
2074,71133,11
2075,71134,12
2076,71135,10
2077,71136,11
2078,71137,11
2079,71138,38
2080,71139,37
2081,71140,38
2082,71141,11
2083,71142,10
2084,71143,11
2085,71144,11
2086,71145,11
2087,71146,11
2088,71147,11
2089,71148,38
2090,71149,29
2091,71150,25
2092,71151,11
2093,71152,11
2094,71153,11
2095,71154,11
2096,71155,38
2097,71156,11
2098,71157,38
2099,71158,38
2100,71159,11
2101,71160,46
2102,71161,46
2103,71162,46
2105,71214,2
2107,71355,9
2108,71380,17
2109,71381,17
2110,71382,17
2111,71388,14
2112,71389,14
2113,71390,14
2114,71391,6
2115,71392,14
2116,71393,14
2119,7437,10
2120,7492,2
2122,7506,4
2129,80411,3
2130,80412,3
2167,80503,14
2168,80504,14
2169,80695,4
2170,80696,4
2171,80697,4
2173,80757,2
2174,80758,2
2175,80759,2
2176,80760,2
2177,80763,27
2178,80764,27
2179,80765,27
2180,80766,18
2181,80767,18
2182,80768,18
2183,80769,27
2184,80770,27
2185,80771,18
2186,80772,18
2187,80773,18
2188,80774,26
2189,80775,27
2190,80776,18
2191,80777,18
2192,80778,27
2193,80779,27
2194,80780,18
2195,80781,27
2196,80782,27
2197,80783,27
2198,80784,27
2199,80785,27
2204,8347,34
2205,8404,34
2206,8405,34
2207,8432,34
2208,8459,34
2209,8486,34
2210,8512,34
2211,8513,34
2212,8526,34
2213,8550,34
2214,8577,34
2215,8632,34
2216,8659,34
2217,8686,34
2218,8687,34
2219,8714,34
2220,8783,34
2221,88844,9
2222,88845,9
2223,88846,9
2224,88847,9
2225,88848,9
2226,88849,9
2227,88850,9
2228,88851,9
2229,88852,9
2230,88853,9
2231,88854,9
2232,88855,9
2233,88856,9
2234,88857,9
2235,88858,9
2236,88859,9
2237,88860,9
2238,88861,9
2239,88862,9
2240,88863,9
2241,88864,9
2242,88865,9
2243,88866,9
2244,9059,2
2254,9105,2
2255,9124,14
2256,9159,9
2260,9210,18
2263,92129,7
2264,92130,7
2265,92131,7
2266,9215,18
2274,92373,4
2286,9262,2
2290,9289,4
2291,9294,2
2292,9300,4
2293,9317,2
2294,9326,2
2295,9329,2
2296,9338,34
2297,9341,34
2302,9410,34
2303,9534,34
2305,9572,2
2319,9631,2
2320,9633,2
2325,9639,2
2339,9659,3
2342,9672,2
2356,9690,2
2359,9839,2
2360,9843,2
2361,9847,2
2362,9850,2
2363,9859,2
2364,9864,2
2365,9867,2
2366,9871,2
2367,9875,2
2368,9879,2
2369,9885,2
2370,9891,2
2371,9895,2
2372,9927,2
2373,9931,2
2374,9935,2
2375,9937,2
2376,9939,2
2377,9941,2
2383,9963,3
2384,9972,5
2385,9981,2
2387,9984,4
2389,9990,2
2390,9992,2
2391,9994,2
2392,9996,2
2393,9998,2
