taskId,language,description,topic_id,word_count,sentence_count
915,1pPszQK2X1b97Eat8NAdGf,DE,"Anschließend brainstormen Sie gemeinsam mögliche Marketingmaßnahmen. Was antworten Sie auf die Vorschläge Ihrer Kolleginnen? Jutta: ""Wir könnten Werbebroschüren über unsere Praxis produzieren lassen und diese per Wurfsendungen an alle Haushalte im Viertel verteilen."" Beschreiben Sie bitte positiven Aspekten von diesem Vorschlag, falls vorhanden.",,43,4
925,67O6lTzBuHz7WIvFT9QIZJ,DE,"""A"" ist der erste Buchstabe des Alphabets.",,5,1
926,1xgHkdji4n27IrsqwdFmhp,DE,"""A"" ist der erste Buchstabe des Alphabets.",,5,1
928,aANiFOmnISr6tHKrt45EPg,DE,"""A"" ist der erste Buchstabe des Alphabets.",,5,1
959,uWvEWUyna09NtbP0RMp63,DE,Der markierte Ausdruck ist eine Metapher. Welche Wirkung hat sie im folgenden Beispiel? «Red Bull verleiht Flügel.» (Werbeslogan),,18,3
960,2VX1HHa4SZp9Cs6Suof4ho,DE,Beschreibe den Hund im Bild.,,5,1
963,7Xx3NrODBh69k4BwlIa1jb,DE,Beschreiben Sie die folgende Grafik:,,5,1
1033,4hMWK3Mhj5haBKImBjmN0f,DE,"In der Kolonne KO3 wird das Gemisch bei Atmosphärendruck getrennt. Beschreiben Sie allgemein den Vorgang, der während des Verfahrens in der Kolonne KO3 abläuft. Antworten Sie in einem Satz.",,29,3
1034,3yYlsxQhH0J7pxKErqFl0l,DE,Die Behälter der Teilanlage müssen im Wechsel periodisch regeneriert werden. Beschreiben Sie den Regenerationsvorgang. Antworten Sie in einem Satz.,,19,3
1105,afIm0RTT4KK6XTC3ya0g1T,DE,"Nenne die drei Errungenschaften, die durch den Zug der Marktweiber erreicht wurden.",5289.0,12,1
1108,4T0hwZUZQEJ5VsGnDhcE5J,DE,"Was ist dir wichtig, wenn du mit Anderen zusammenarbeitest?",,9,1
1113,1Eoip711J8H71DVAO8BtMI,DE,"Erkläre in eigenen Worten, warum rund 1.500 Schafe vorzeitig ins Tal gebracht wurden.",5290.0,13,1
1114,3rYsJTZ4C6R7DcaE4A48GM,DE,"Beschreibe in eigenen Worten, warum die EU akzeptiert, dass es in Schweden wolfsfreie Zonen durch Bejagung von Wölfen gibt.",5290.0,19,1
1116,81xdUMIFiyC7gTSwml1MTv,DE,Was ist ein Kennzeichen der Erlebnislyrik? Antworten Sie in einem Satz.,5350.0,11,2
1117,7fE9sk0x2amalma0takBp5,DE,Welches Vorgehen planen Sie für den Schlussteil des Interpretationsaufsatzes? Nennen Sie die wichtigsten Schritte.,5349.0,14,2
1118,7CUm7BcYBG79uI8VPMUKCo,DE,Auf welchen inhaltlichen Aspekt hin würden Sie das Gedicht interpretieren? Schreiben Sie maximal 3 Sätze.,5349.0,15,2
1122,77ie2UMlNNealZTBPJN3An,DE,"Übersetzen Sie den Satz: ""A"" ist der erste Buchstabe des Alphabets.",,7,1
1124,790yfzUMFlJ8eXYT7OtUHW,DE,Schreiben Sie den Satz im Passiv Präsens. Der Termin – intensiv vorbereiten – vom Kollegen.,,15,2
1129,5gih6z8lRbv5ZAPRSSpPBB,DE,"Nenne fünf Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kauai , 22.09.2018 Hallo Jens Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,63,4
1132,6eVh0sUk73laFRNimbk7MC,DE,Mache aus den zwei Sätzen einen Relativsatz. Ich arbeite gern mit dem Laptop. Den Laptop habe ich letzte Woche bekommen.,5357.0,20,3
1133,avYO5lPPpNR7MVAKdARpVK,DE,Was war zuerst? Schreibe einen Satz mit nachdem im Plusquamperfekt. eine neue Wohnung finden – die Helfer bestellen – nachdem,5357.0,20,3
1134,6tsg9mDSnNP9MSZAtBpQ08,DE,Schreibe den Satz im Passiv Präsens. Der Termin – intensiv vorbereiten – vom Kollegen.,5357.0,14,2
1135,vO9lrQFWnd6rddJnOBDkJ,DE,Ergänze im Passiv Präsens. packen: Die Koffer,5357.0,7,2
1368,nqu0vtfgjH8ly72XMcGSF,DE,Wann war die Schlacht von Waterloo?,,6,1
1374,4zcsaIGJPKc5XQ9cX2N0vo,DE,"Übersetzen Sie ""er liebt mich"" auf Deutsch",,6,1
1375,XZZNGpJJoP9NfrRPSfR8w,DE,"Übersetzen Sie ""er liebt mich"" auf Deutsch:",,6,1
1378,9fRq8FcU04z6cylMYhxZpp,DE,"Übersetzen Sie ""er liebt mich"" auf Deutsch:",,6,1
1379,6tKWn39JVqC6nMBv9vQoGD,DE,"Übersetzen Sie ""er liebt mich"" auf Deutsch:",,6,1
1808,97MdgAui4Mk7m6cOU11GNV,DE,Ergänze im Passiv Präsens. fliegen: Das Flugzeug,5357.0,7,2
1809,7bJSSnEH7oC9X4OLEOBOHF,DE,Ergänze im Passiv Präsens. empfehlen: Das Restaurant,5357.0,7,2
1810,7FFk3hJ8VXl5PxDmcM1yg6,DE,Schreiben sie den Satz im Passiv Präsens. In den meisten Haushalten trennt man Abfall.,5357.0,14,2
1811,1mfdXT4GupD5I8EgTdLjnb,DE,Schreiben sie den Satz im Passiv Präsens. In Bayern trinkt man viel Bier.,5357.0,13,2
1812,3nyPPFNdnq3aWkfdyyblYZ,DE,War wird hier gemacht? Schreiben Sie im Passiv Präsens: der Kaffee - servieren,5357.0,13,2
1813,6jck1jG2yALa91FNC2Avae,DE,War wird hier gemacht? Schreiben Sie im Passiv Präsens: der Ordner - abholen,5357.0,13,2
1814,3DSHS6PDsDJ6jCx4ZaYAkq,DE,Ordnen Sie den Satz und schreiben Sie im Passiv Präsens. in Koffer und Taschen - Die Kleidung - wird - eingepackt,5357.0,21,2
1815,3h77kJLwUzk9jnm3I5I72t,DE,Ordnen Sie den Satz und schreiben Sie im Passiv Präsens. wird - abgestellt - Der Kühlschrank,5357.0,16,2
1816,acRRmel9dq79Mz98xPSL7U,DE,Wer macht was? Schreiben Sie den Satz dann im Passiv Präsens. oft untersuchen: die Ärztin - das Kind,5357.0,18,3
1817,5h3g4hte7GG97F5Dc8VSfx,DE,Wer macht was? Schreiben Sie den Satz dann im Passiv Präsens. empfehlen: die Ärztin - das Medikament,5357.0,17,3
2060,4pKkeNj3T6ZaUqdC7cefmS,DE,"Gib deine Antwort in Stichworten an. Was ist deiner Meinung nach eine Eigenschaft, die einem Leader helfen kann, mit seiner eigenen Sensibilität umzugehen?",4986.0,23,2
2061,5uQBlerTLL09zTEJkjoY0P,DE,"Beantworte diese Frage mit ZWEI Stichwörtern: Die meisten Veränderungsprojekte haben Auswirkungen auf zwei Ebenen, welche sind das deiner Meinung nach?",4988.0,20,1
2062,2SlBVhjmVIN9brWa5caXzs,DE,"Nenne in wenigen Worten ein Beispiel für einen technologischen Wandel, der die Arbeitsmittel betrifft.",4983.0,14,1
2063,3PEjuP7EEn6a1U8sGBCKv8,DE,"Nenne ein Beispiel für eine organisatorische Veränderung, die das Organisationsmodell betrifft.",4985.0,11,1
2064,8qiNixePl585WRsLTvsO5L,DE,"Beantworte diese Frage, indem du eine Beschreibung formulierst: Was ist die Erwartung an die Führungsrolle? (Nenne mindestens 1)",4988.0,18,2
2065,7niZcHw13T26fs05I4CQiX,DE,"Beantworte diese Frage, indem du die entsprechende Kammer im Modell benennst, das der Beschreibung entspricht: Die Firma, in der Carl arbeitet, soll verlagert werden, sein Arbeitsplatz ist direkt bedroht. Carl ist sich bewusst, dass er nach vorn blicken und eine andere Arbeit finden muss, aber es fällt ihm noch schwer, sich zu entscheiden. Er erinnert sich nostalgisch an seine Situation vor der Bekanntgabe der Nachricht. Dies beeinträchtigt seine Produktivität.",4987.0,69,4
2066,4My3qZPpoD29iUxDtDEVQp,DE,"Beantworte diese Frage, indem du die Phase der Veränderungskurve benennst, in der sich Alexandra befindet: Alexandras Firma wurde umstrukturiert, was zu Entlassungen unter den Führungskräften führte. Dadurch war Alexandra von einem Tag auf den anderen nicht mehr Chefin eines vierköpfigen, sondern eines siebenköpfigen Teams. Die neuen Mitarbeiter in ihrem Team haben Schwierigkeiten, sich an diese Veränderung zu gewöhnen. Alexandra macht ihre Arbeit jedoch weiterhin so, wie sie es vor der Integration der neuen Mitarbeiter getan hat.",4986.0,76,4
2067,2jnGAP7Hufw8aZUcKNJMc7,DE,"Vervollständige diesen Satz mit drei Adjektiven: Wenn du dich in Schritt 3 des Kotter-Modells (Vision und Strategie entwickeln) befindest, muss die Vision ___________ sein.",4989.0,24,1
2068,5lqXRJhkFvMaTGrslIY6YY,DE,"Damit sich eine Bereitschaft zur Veränderung entwickelt, muss ein Gefühl der Dringlichkeit geschaffen werden. Dazu müssen die Verantwortlichen bestimmte Fragen beantworten können. Gib eine davon hier an:",4993.0,27,3
2069,89qzhqauONB6K7kRLpV64m,DE,"Beantworte diese Frage in einem vollständigen Satz: Welches Signal sendet eine Person, die Widerstand leistet, eigentlich aus?",4986.0,17,1
2070,DgC1xLQRqo95OXxMTuMjN,DE,"Beantworte diese Frage, indem du die Methode benennst: Welche Kommunikationsmaßnahme würdest du einführen, um die persönlichen Bedürfnisse der Personen nach zusätzlicher Unterstützung zu ermitteln?",4984.0,24,1
2071,aqldUKdUSre6kdvHuBrYt7,DE,"Wie nennt man interne und externe Personengruppen, die direkt oder indirekt von den Aktivitäten des Unternehmens betroffen sind und daher ihre Interessen gegenüber dem Unternehmen geltend machen?",4986.0,27,1
2072,1Khq1NcVb2T84UFefrMlqJ,DE,"Beantworte diese Frage, indem du eine bestimmte Art von Handlung angibst: Wenn Carl seine Überzeugungskraft einsetzt, um ein Projekt zu bekommen, das ursprünglich Alexandra gewidmet war, was tut er dann?",4985.0,30,1
2073,1MoRHyQX5pJ6OVL1qZqP6i,DE,"Beantworte diese Frage mit einem Wort: Welche Art von Veränderung stellt die Einrichtung einer Online-Plattform im Kontext der Coronavirus-Pandemie dar? Es handelt sich um eine revolutionäre, globale und ____ Veränderung.",4986.0,30,2
2074,2BEhOwnzxgT6prfp7BvxuZ,DE,"Nenne eine Maßnahme, mit der Veränderungsprozesse im Alltag verankert werden können.",4985.0,11,1
2075,2XCZvkZWgxOaAr62HhDWR3,DE,Nenne ein Beispiel für eine Interessengruppe.,4991.0,6,1
2076,3FGpNp7eJHi75fsSSV17zn,DE,"Beantworte diese Frage, indem du BEIDE erwartete Antworten gibst: Wenn das neue Projekt bei Alexandra zu großen Spannungen führt, welche zwei Reaktionen sind möglich (eine eher positive und eine eher negative)?",4986.0,31,1
2077,4unxe0YKsV57iyJC6yj14a,DE,Nenne ein Beispiel für eine technische Entwicklung im Transportwesen.,4983.0,9,1
2078,5F5z68DvGND93wql4U4JTo,DE,"Beantworte diese Frage, indem du die entsprechende Methode benennst: Welche Methode der aktiven Unterstützung und Begleitung würdest du einsetzen, damit die Mitarbeiter die neu geforderten Fähigkeiten entwickeln?",4989.0,27,1
2079,5OD6pEEQ0Og74G6ac34ELo,DE,Wie nennt man einen immer wieder durchgeführten Bericht über erfolgreiche Leistungen aufgrund von Veränderungen?,4987.0,14,1
2080,5UI7ddBqEUf9RzaFurONES,DE,"Nenne in einem Satz ein Beispiel für eine Aufgabe, die mit der Rolle des Vermittlers/des Facilitators verbunden ist.",4987.0,18,1
2081,7h8f9nExZtt7r8M3Ccet2q,DE,"Schreibe die richtige Antwort in Stichworten auf: Mit welcher Kommunikationsmaßnahme informiert Alexandra ihre Teams über die Herausforderungen und unangenehmen Hürden, die sie erwarten?",4989.0,23,1
2082,7lQ0BAuQLHG5SFqQxJkmm7,DE,"Beantworte diese Frage, indem du die drei Antworten (in alphabetischer Reihenfolge) angibst: Welche drei Bedingungen müssen erfüllt sein, damit sich das Verhalten im Rahmen einer Unternehmensumstrukturierung ändert?",4984.0,27,1
2104,WQpEgyLgi089ljEf8PuJw,DE,"Walter (28) ist Buchhalter Debitoren bei der Generaldirektion SBB in Bern. Nennen Sie einige Aufgaben sowie mögliche Kompetenzen und Verantwortung seiner Stelle. ----- Taskbase Kommentar: Bei der folgenden Aufgabe handelt es sich um eine offene Aufgabe. Für die Aufgabe war keine Musterlösung hinterlegt. Taskbase hat die Aufgabe im besten Wissen, mit den vorhandenen Informationen aufgesetzt. Da keine Musterlösung vorhanden war ist es möglich, dass manche Antworten gemäss der Einschätzung von hep fehlen. Bei einer Zusammenarbeit würden diese didaktischen Diskussionen passieren. Der Feedbacktext soll dem Lernenden einen Hinweis geben, was eine korrekte Antwort sein könnte. Der Feedbacktext enthält keine Musterlösung.",,99,9
2105,aqFM7iL1gxE8Nl9d5EwMZ7,DE,"Wie nennt man diese Variante der Organisation? ----- Taskbase Kommentar: Bei dieser Aufgabe handelt es sich um eine Cloze Aufgabe, die mit einem Wort beantwortet werden kann. Für die Aufgabe war eine Musterlösung vorhanden, anhand welcher die Aufgabe aufgesetzt wurde. Das Feedback gibt dem Lernenden einen Hinweis auf die richtige Lösung, enthält die Musterlösung aber nicht.",,56,4
2106,5CFVvAUF1ql5IyB56TENAa,DE,"Warum wurde wohl diese Organisation gewählt? ----- Taskbase Kommentar: Bei dieser Aufgabe handelt es sich um eine offene Aufgabe. Für die Aufgabe war eine Musterlösung vorhanden, anhand welcher die Aufgabe aufgesetzt wurde. Das Feedback gibt dem Lernenden einen Hinweis auf die richtige Lösung, enthält die Musterlösung aber nicht. Als Feedback ist ebenfalls hinterlegt, wenn der Lernende Grammatik- oder Rechtschreibfehler macht. Dies liegt allerdings in der Hoheit von hep und kann individuell auf eure didaktischen Anforderungen angepasst werden.",,77,6
2107,3OSeZ6O83us8GUTd4pseaY,DE,"Wie sind die Abteilungen organisiert? ----- Taskbase Kommentar: Bei dieser Aufgabe handelt es sich um eine offene Aufgabe. Für die Aufgabe war eine Musterlösung vorhanden, anhand welcher die Aufgabe aufgesetzt wurde. Das Feedback gibt dem Lernenden einen Hinweis auf die richtige Lösung, enthält die Musterlösung aber nicht. Als Feedback ist ebenfalls hinterlegt, wenn der Lernende Grammatik- oder Rechtschreibfehler macht. Dies liegt allerdings in der Hoheit von hep und kann individuell auf eure didaktischen Anforderungen angepasst werden.",,76,6
2164,1bE5K6vfUmkaLCVEop9wJM,DE,"Formuliere deine Antwort mithilfe mehrerer Stichwörter. Nenne mindestens ZWEI Dimensionen/Lebensbereiche einer Person, die ein „Tyrann, Täter“ beeinträchtigen kann.",5425.0,18,2
2206,2OCzVPx47hE9q61ls1ggvQ,DE,"Gottfried Benn (1886–1956) Reisen (1950) Meinen Sie, Zürich zum Beispiel sei eine tiefere Stadt, wo man Wunder und Weihen immer als Inhalt hat? Meinen Sie, aus Habana, weiß und hibiskusrot, bräche ein ewiges Manna für Ihre Wüstennot? Bahnhofstraßen und Rueen, Boulevards, Lidos, Laan – selbst auf den Fifth Avenueen fällt Sie die Leere an – Ach, vergeblich das Fahren! Spät erst erfahren Sie sich: bleiben und stille bewahren das sich umgrenzende Ich. Benutzen Sie folgenden Formulierungsbaustein um die Einleitung Ihrer Interpretation zu beginnen. In dem Gedicht … von … aus dem Jahr … fragt das lyrische Ich …",5356.0,98,6
2239,s8jsymMwfZ7Fn4A59dRSU,DE,"Beschreibe deinen Hund. Erwähne hierbei die Rasse, die Farbe, die Größe, das Alter und was dir sonst noch einfällt.",,19,2
2241,4zCCSDzZTms68NuZVvcVct,DE,Schreiben den Satz im Präteritum. Gestern - erzählen - ich - eine Geschichte.,,13,2
2242,7zfjwIwagx5az8LCkxXHsO,DE,"Erkläre, warum es aus ethischer Sicht wichtig ist, Daten zu schützen.",,11,1
2243,7SD9u9MoZjYaAhDd6kLBRo,DE,Nenne einen Vor- UND einen Nachteil des Verfahrens mit Übermittlungsbogen/Laufzettel.,,10,1
2244,3fXs9eN4lDd7hkGplAKFO3,DE,"Gib eine Eigenschaft an, die eine Idee haben muss, um in ein Projekt münden zu können:",,16,1
2245,9oRkVfq3T2P6F9BloLII3S,DE,Was ist ein Input aus der Sicht eines Prozesses zur Befriedigung eines Kundenbedürfnisses?,,13,1
2246,8D1z6MPJmr65Takllixd2i,DE,Was ist ein Output aus der Sicht eines Prozesses zur Befriedigung eines Kundenbedürfnisses?,,13,1
2247,3WLihIbee4L8jhzHkIfzSf,DE,"Welcher Begriff bezeichnet die Situation, in der der Output eines Prozesses auch der Input eines anderen ist?",,17,1
2252,2JIQtvavj715NCtZBhwpKb,DE,"Beschreibe in einem bis zwei Sätzen, welche Probleme im Umgang mit den Flüchtlingen deutlich werden.",,15,1
2257,7Pv0gEhr6Xc8mgGlUvktVK,DE,Bilde den Satz im Konjunktiv 2. Florian - gerne ein neues Auto haben.,,13,2
2265,9YNgZK9qGs3aIva1dwBYZa,DE,"Nenne einen Hinweis, den uns das Journal liefert.",,8,1
2266,5NM4ASUhva5aCNnFd8qMlv,DE,"Welches sind die zwei Dinge, für die das Hauptbuch im Laufe eines Jahres verwendet wird?",,15,1
2270,SOMP2AgEC08C9MNNjovKJ,DE,"Formuliere einen Satz im Konjunktiv II, unter Verwendung der vorgegebenen Elemente. Du - mir heute Abend helfen können.",,18,2
2271,aY3j1u00B739hp4ZmHLVHe,DE,"Formuliere einen Satz im Konjunktiv II, unter Verwendung der vorgegebenen Elemente. Brianna - gerne mehr Geld haben",,17,2
2296,527EsNbu7Mva1FIzFhT8ad,DE,Warum radikalisierten sich Teile der britischen Frauenbewegung? Beschreibe in eigenen Worten.,5289.0,11,2
2307,4Rg8Yp2yGgf7aV1xzYfiVy,DE,"Erkläre die Bildhaftigkeit des markierten Ausdrucks: Da Tonio daheim seine Zeit vertrödelte, beim Unterricht langsamen undabgewandten Geistes war und bei den Lehrern schlecht angeschrieben stand, fielen seine Noten ins Bodenlose , was seinen Vater, einen Kaufmann aus Bremen, sehr erzürnte. Der Mutter Tonios jedoch, die Consuelo mit Vornamen hieß und überhaupt so anders war als die übrigen Damen der Stadt, weil der Vater sie sich einstmals von ganz unten auf der Landkarte heraufgeholt hatte, waren die Zeugnisse einerlei… Thomas Mann: Tonio Kröger (leicht verändert)",,84,2
2353,LiHAY4BB975PIk5fa7IuJ,DE,Schreibe den Satz Passiv Präsens. das Paket - sollen - bringen,,11,2
2355,aYH2E7OnEXD6ZkBuRluem2,DE,Schreibe den Satz mit dem passenden Reflexivpronomen. ich - sich entspannen - im Wellness-Center,,14,2
2360,7cbUVIncPWj7bkifUWUKkv,DE,Gib mithilfe eines Stichwortes ein Beispiel für ein Grundbedürfnis.,5198.0,9,1
2363,3MoZ9FVC8qe9MAcngw2J70,DE,"Gib deine Antwort in einem Satz an. Nenne einen Grund, warum der Arbeitgeber Ansprüche wegen Verletzung des Arbeitsvertrags geltend machen kann.",5197.0,21,2
